Avian          Bat            Canine         Equine         Human          Seal           Swine          
512            452            439            622            611            602            499            
330            584            501            516            554            583            503            
339            607            508            547            567            534            514            
345            -              465            518            591            544            522            
364            -              -              506            569            528            471            
479            -              -              479            615            559            534            
478            -              -              -              534            559            551            
421            -              -              -              544            521            565            
603            -              -              -              548            522            521            
573            -              -              -              524            534            -              
554            -              -              -              359            499            -              
491            -              -              -              557            518            -              
592            -              -              -              561            493            -              
544            -              -              -              402            503            -              
592            -              -              -              473            544            -              
552            -              -              -              549            523            -              
513            -              -              -              398            533            -              
568            -              -              -              625            526            -              
580            -              -              -              496            -              -              
282            -              -              -              478            -              -              
515            -              -              -              456            -              -              
539            -              -              -              539            -              -              
571            -              -              -              428            -              -              
527            -              -              -              471            -              -              
316            -              -              -              481            -              -              
522            -              -              -              447            -              -              
640            -              -              -              466            -              -              
607            -              -              -              447            -              -              
525            -              -              -              496            -              -              
310            -              -              -              439            -              -              
556            -              -              -              448            -              -              
505            -              -              -              515            -              -              
564            -              -              -              516            -              -              
604            -              -              -              424            -              -              
527            -              -              -              541            -              -              
527            -              -              -              578            -              -              
498            -              -              -              551            -              -              
452            -              -              -              429            -              -              
472            -              -              -              405            -              -              
539            -              -              -              510            -              -              
529            -              -              -              381            -              -              
506            -              -              -              411            -              -              
450            -              -              -              399            -              -              
499            -              -              -              498            -              -              
520            -              -              -              466            -              -              
526            -              -              -              573            -              -              
463            -              -              -              539            -              -              
562            -              -              -              502            -              -              
518            -              -              -              472            -              -              
484            -              -              -              466            -              -              
532            -              -              -              488            -              -              
514            -              -              -              573            -              -              
541            -              -              -              616            -              -              
510            -              -              -              521            -              -              
597            -              -              -              531            -              -              
574            -              -              -              543            -              -              
-              -              -              -              535            -              -              
-              -              -              -              559            -              -              
-              -              -              -              519            -              -              
-              -              -              -              543            -              -              
-              -              -              -              531            -              -              
-              -              -              -              523            -              -              
-              -              -              -              519            -              -              
-              -              -              -              535            -              -              
-              -              -              -              539            -              -              
-              -              -              -              542            -              -              
-              -              -              -              536            -              -              
-              -              -              -              579            -              -              
-              -              -              -              527            -              -              
-              -              -              -              519            -              -              
-              -              -              -              520            -              -              
-              -              -              -              562            -              -              
-              -              -              -              569            -              -              
-              -              -              -              577            -              -              
-              -              -              -              518            -              -              
-              -              -              -              601            -              -              
-              -              -              -              511            -              -              
-              -              -              -              592            -              -              
-              -              -              -              608            -              -              
-              -              -              -              602            -              -              
-              -              -              -              596            -              -              
-              -              -              -              496            -              -              
-              -              -              -              549            -              -              
-              -              -              -              534            -              -              
-              -              -              -              593            -              -              
-              -              -              -              610            -              -              
-              -              -              -              489            -              -              
-              -              -              -              520            -              -              
-              -              -              -              541            -              -              
-              -              -              -              599            -              -              
-              -              -              -              619            -              -              
-              -              -              -              520            -              -              
-              -              -              -              523            -              -              
-              -              -              -              581            -              -              
-              -              -              -              628            -              -              
-              -              -              -              450            -              -              
-              -              -              -              460            -              -              
-              -              -              -              491            -              -              
-              -              -              -              507            -              -              
-              -              -              -              402            -              -              
-              -              -              -              547            -              -              
-              -              -              -              556            -              -              
-              -              -              -              622            -              -              
-              -              -              -              541            -              -              
-              -              -              -              665            -              -              
-              -              -              -              565            -              -              
-              -              -              -              618            -              -              
-              -              -              -              550            -              -              
-              -              -              -              521            -              -              
-              -              -              -              606            -              -              
-              -              -              -              495            -              -              
-              -              -              -              524            -              -              
-              -              -              -              594            -              -              
-              -              -              -              527            -              -              
-              -              -              -              383            -              -              
-              -              -              -              566            -              -              
-              -              -              -              428            -              -              
-              -              -              -              551            -              -              
-              -              -              -              515            -              -              
-              -              -              -              354            -              -              
-              -              -              -              590            -              -              
-              -              -              -              566            -              -              
-              -              -              -              386            -              -              
-              -              -              -              458            -              -              
-              -              -              -              622            -              -              
-              -              -              -              629            -              -              
-              -              -              -              606            -              -              
-              -              -              -              619            -              -              
-              -              -              -              591            -              -              
-              -              -              -              572            -              -              
-              -              -              -              608            -              -              
-              -              -              -              622            -              -              
-              -              -              -              571            -              -              
-              -              -              -              560            -              -              
-              -              -              -              594            -              -              
-              -              -              -              513            -              -              
-              -              -              -              484            -              -              
-              -              -              -              523            -              -              
-              -              -              -              485            -              -              
-              -              -              -              498            -              -              
-              -              -              -              435            -              -              
-              -              -              -              487            -              -              
-              -              -              -              479            -              -              
-              -              -              -              438            -              -              
-              -              -              -              494            -              -              
-              -              -              -              561            -              -              
-              -              -              -              498            -              -              
-              -              -              -              490            -              -              
-              -              -              -              527            -              -              
-              -              -              -              467            -              -              
-              -              -              -              539            -              -              
-              -              -              -              407            -              -              
-              -              -              -              535            -              -              
-              -              -              -              512            -              -              
-              -              -              -              540            -              -              
-              -              -              -              465            -              -              
-              -              -              -              457            -              -              
-              -              -              -              466            -              -              
-              -              -              -              509            -              -              
-              -              -              -              507            -              -              
-              -              -              -              514            -              -              
-              -              -              -              545            -              -              
-              -              -              -              528            -              -              
-              -              -              -              561            -              -              
-              -              -              -              528            -              -              
-              -              -              -              547            -              -              
-              -              -              -              490            -              -              
-              -              -              -              536            -              -              
-              -              -              -              484            -              -              
-              -              -              -              498            -              -              
-              -              -              -              424            -              -              
-              -              -              -              500            -              -              
-              -              -              -              426            -              -              
-              -              -              -              -              
