Avian          Bat            Canine         Equine         Human          Seal           Swine          
21             3              18             26             25             12             22             
9              16             26             13             21             13             27             
15             20             9              18             26             11             21             
12             -              24             12             30             6              12             
11             -              -              23             26             9              21             
19             -              -              9              24             9              11             
22             -              -              -              23             11             9              
20             -              -              -              27             13             11             
23             -              -              -              21             11             19             
24             -              -              -              22             12             -              
24             -              -              -              16             12             -              
16             -              -              -              31             8              -              
14             -              -              -              25             10             -              
17             -              -              -              15             10             -              
14             -              -              -              19             12             -              
18             -              -              -              29             10             -              
13             -              -              -              13             8              -              
16             -              -              -              24             3              -              
19             -              -              -              14             -              -              
9              -              -              -              20             -              -              
20             -              -              -              14             -              -              
19             -              -              -              18             -              -              
18             -              -              -              28             -              -              
18             -              -              -              20             -              -              
8              -              -              -              17             -              -              
16             -              -              -              25             -              -              
14             -              -              -              18             -              -              
20             -              -              -              30             -              -              
15             -              -              -              21             -              -              
8              -              -              -              21             -              -              
19             -              -              -              28             -              -              
13             -              -              -              20             -              -              
15             -              -              -              20             -              -              
11             -              -              -              16             -              -              
12             -              -              -              29             -              -              
16             -              -              -              27             -              -              
14             -              -              -              17             -              -              
16             -              -              -              17             -              -              
17             -              -              -              20             -              -              
12             -              -              -              16             -              -              
17             -              -              -              15             -              -              
12             -              -              -              10             -              -              
21             -              -              -              22             -              -              
11             -              -              -              19             -              -              
9              -              -              -              18             -              -              
10             -              -              -              15             -              -              
10             -              -              -              16             -              -              
9              -              -              -              16             -              -              
10             -              -              -              16             -              -              
13             -              -              -              21             -              -              
12             -              -              -              17             -              -              
4              -              -              -              13             -              -              
16             -              -              -              12             -              -              
3              -              -              -              18             -              -              
18             -              -              -              12             -              -              
20             -              -              -              12             -              -              
-              -              -              -              11             -              -              
-              -              -              -              11             -              -              
-              -              -              -              11             -              -              
-              -              -              -              12             -              -              
-              -              -              -              10             -              -              
-              -              -              -              10             -              -              
-              -              -              -              11             -              -              
-              -              -              -              12             -              -              
-              -              -              -              10             -              -              
-              -              -              -              8              -              -              
-              -              -              -              12             -              -              
-              -              -              -              22             -              -              
-              -              -              -              12             -              -              
-              -              -              -              12             -              -              
-              -              -              -              11             -              -              
-              -              -              -              11             -              -              
-              -              -              -              12             -              -              
-              -              -              -              14             -              -              
-              -              -              -              13             -              -              
-              -              -              -              15             -              -              
-              -              -              -              11             -              -              
-              -              -              -              13             -              -              
-              -              -              -              15             -              -              
-              -              -              -              15             -              -              
-              -              -              -              13             -              -              
-              -              -              -              13             -              -              
-              -              -              -              13             -              -              
-              -              -              -              12             -              -              
-              -              -              -              12             -              -              
-              -              -              -              15             -              -              
-              -              -              -              21             -              -              
-              -              -              -              12             -              -              
-              -              -              -              12             -              -              
-              -              -              -              14             -              -              
-              -              -              -              10             -              -              
-              -              -              -              14             -              -              
-              -              -              -              16             -              -              
-              -              -              -              12             -              -              
-              -              -              -              15             -              -              
-              -              -              -              10             -              -              
-              -              -              -              7              -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              7              -              -              
-              -              -              -              6              -              -              
-              -              -              -              12             -              -              
-              -              -              -              13             -              -              
-              -              -              -              14             -              -              
-              -              -              -              15             -              -              
-              -              -              -              14             -              -              
-              -              -              -              19             -              -              
-              -              -              -              17             -              -              
-              -              -              -              14             -              -              
-              -              -              -              18             -              -              
-              -              -              -              13             -              -              
-              -              -              -              18             -              -              
-              -              -              -              18             -              -              
-              -              -              -              19             -              -              
-              -              -              -              14             -              -              
-              -              -              -              18             -              -              
-              -              -              -              13             -              -              
-              -              -              -              21             -              -              
-              -              -              -              16             -              -              
-              -              -              -              14             -              -              
-              -              -              -              19             -              -              
-              -              -              -              14             -              -              
-              -              -              -              9              -              -              
-              -              -              -              13             -              -              
-              -              -              -              15             -              -              
-              -              -              -              16             -              -              
-              -              -              -              15             -              -              
-              -              -              -              12             -              -              
-              -              -              -              15             -              -              
-              -              -              -              16             -              -              
-              -              -              -              15             -              -              
-              -              -              -              12             -              -              
-              -              -              -              13             -              -              
-              -              -              -              13             -              -              
-              -              -              -              15             -              -              
-              -              -              -              14             -              -              
-              -              -              -              14             -              -              
-              -              -              -              11             -              -              
-              -              -              -              11             -              -              
-              -              -              -              12             -              -              
-              -              -              -              9              -              -              
-              -              -              -              15             -              -              
-              -              -              -              12             -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              7              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              5              -              -              
-              -              -              -              12             -              -              
-              -              -              -              9              -              -              
-              -              -              -              12             -              -              
-              -              -              -              10             -              -              
-              -              -              -              8              -              -              
-              -              -              -              6              -              -              
-              -              -              -              8              -              -              
-              -              -              -              7              -              -              
-              -              -              -              9              -              -              
-              -              -              -              14             -              -              
-              -              -              -              8              -              -              
-              -              -              -              13             -              -              
-              -              -              -              8              -              -              
-              -              -              -              14             -              -              
-              -              -              -              10             -              -              
-              -              -              -              8              -              -              
-              -              -              -              6              -              -              
-              -              -              -              8              -              -              
-              -              -              -              7              -              -              
-              -              -              -              -              
