Avian          Bat            Canine         Equine         Human          Seal           Swine          
755            718            802            847            879            828            795            
501            815            744            785            798            830            835            
517            834            773            809            816            795            808            
570            -              752            771            814            798            729            
601            -              -              754            846            794            743            
683            -              -              698            877            804            766            
693            -              -              -              791            807            764            
671            -              -              -              812            738            818            
826            -              -              -              804            784            780            
806            -              -              -              796            736            -              
771            -              -              -              764            688            -              
707            -              -              -              821            753            -              
817            -              -              -              793            718            -              
772            -              -              -              611            738            -              
819            -              -              -              773            780            -              
805            -              -              -              823            719            -              
787            -              -              -              747            705            -              
806            -              -              -              834            744            -              
790            -              -              -              784            -              -              
670            -              -              -              776            -              -              
749            -              -              -              791            -              -              
779            -              -              -              793            -              -              
810            -              -              -              623            -              -              
764            -              -              -              700            -              -              
674            -              -              -              769            -              -              
774            -              -              -              690            -              -              
827            -              -              -              754            -              -              
780            -              -              -              687            -              -              
732            -              -              -              762            -              -              
646            -              -              -              709            -              -              
799            -              -              -              761            -              -              
671            -              -              -              734            -              -              
799            -              -              -              806            -              -              
803            -              -              -              772            -              -              
713            -              -              -              747            -              -              
754            -              -              -              906            -              -              
798            -              -              -              845            -              -              
789            -              -              -              654            -              -              
804            -              -              -              669            -              -              
761            -              -              -              781            -              -              
763            -              -              -              570            -              -              
739            -              -              -              688            -              -              
753            -              -              -              659            -              -              
781            -              -              -              690            -              -              
808            -              -              -              689            -              -              
825            -              -              -              824            -              -              
719            -              -              -              739            -              -              
832            -              -              -              742            -              -              
794            -              -              -              700            -              -              
685            -              -              -              682            -              -              
812            -              -              -              722            -              -              
771            -              -              -              766            -              -              
781            -              -              -              894            -              -              
715            -              -              -              756            -              -              
837            -              -              -              805            -              -              
855            -              -              -              812            -              -              
-              -              -              -              780            -              -              
-              -              -              -              820            -              -              
-              -              -              -              809            -              -              
-              -              -              -              804            -              -              
-              -              -              -              805            -              -              
-              -              -              -              813            -              -              
-              -              -              -              784            -              -              
-              -              -              -              825            -              -              
-              -              -              -              820            -              -              
-              -              -              -              763            -              -              
-              -              -              -              780            -              -              
-              -              -              -              778            -              -              
-              -              -              -              824            -              -              
-              -              -              -              799            -              -              
-              -              -              -              768            -              -              
-              -              -              -              812            -              -              
-              -              -              -              812            -              -              
-              -              -              -              816            -              -              
-              -              -              -              826            -              -              
-              -              -              -              858            -              -              
-              -              -              -              812            -              -              
-              -              -              -              861            -              -              
-              -              -              -              847            -              -              
-              -              -              -              876            -              -              
-              -              -              -              857            -              -              
-              -              -              -              778            -              -              
-              -              -              -              777            -              -              
-              -              -              -              764            -              -              
-              -              -              -              874            -              -              
-              -              -              -              866            -              -              
-              -              -              -              719            -              -              
-              -              -              -              799            -              -              
-              -              -              -              811            -              -              
-              -              -              -              838            -              -              
-              -              -              -              880            -              -              
-              -              -              -              772            -              -              
-              -              -              -              801            -              -              
-              -              -              -              861            -              -              
-              -              -              -              883            -              -              
-              -              -              -              746            -              -              
-              -              -              -              745            -              -              
-              -              -              -              775            -              -              
-              -              -              -              781            -              -              
-              -              -              -              757            -              -              
-              -              -              -              834            -              -              
-              -              -              -              835            -              -              
-              -              -              -              911            -              -              
-              -              -              -              791            -              -              
-              -              -              -              835            -              -              
-              -              -              -              724            -              -              
-              -              -              -              800            -              -              
-              -              -              -              710            -              -              
-              -              -              -              701            -              -              
-              -              -              -              788            -              -              
-              -              -              -              634            -              -              
-              -              -              -              785            -              -              
-              -              -              -              776            -              -              
-              -              -              -              722            -              -              
-              -              -              -              703            -              -              
-              -              -              -              735            -              -              
-              -              -              -              623            -              -              
-              -              -              -              724            -              -              
-              -              -              -              716            -              -              
-              -              -              -              609            -              -              
-              -              -              -              766            -              -              
-              -              -              -              750            -              -              
-              -              -              -              554            -              -              
-              -              -              -              747            -              -              
-              -              -              -              814            -              -              
-              -              -              -              810            -              -              
-              -              -              -              808            -              -              
-              -              -              -              804            -              -              
-              -              -              -              774            -              -              
-              -              -              -              810            -              -              
-              -              -              -              800            -              -              
-              -              -              -              790            -              -              
-              -              -              -              773            -              -              
-              -              -              -              728            -              -              
-              -              -              -              809            -              -              
-              -              -              -              691            -              -              
-              -              -              -              696            -              -              
-              -              -              -              715            -              -              
-              -              -              -              690            -              -              
-              -              -              -              672            -              -              
-              -              -              -              697            -              -              
-              -              -              -              721            -              -              
-              -              -              -              695            -              -              
-              -              -              -              698            -              -              
-              -              -              -              739            -              -              
-              -              -              -              784            -              -              
-              -              -              -              722            -              -              
-              -              -              -              717            -              -              
-              -              -              -              739            -              -              
-              -              -              -              690            -              -              
-              -              -              -              719            -              -              
-              -              -              -              659            -              -              
-              -              -              -              738            -              -              
-              -              -              -              748            -              -              
-              -              -              -              734            -              -              
-              -              -              -              712            -              -              
-              -              -              -              672            -              -              
-              -              -              -              718            -              -              
-              -              -              -              728            -              -              
-              -              -              -              789            -              -              
-              -              -              -              796            -              -              
-              -              -              -              814            -              -              
-              -              -              -              808            -              -              
-              -              -              -              816            -              -              
-              -              -              -              800            -              -              
-              -              -              -              831            -              -              
-              -              -              -              750            -              -              
-              -              -              -              788            -              -              
-              -              -              -              731            -              -              
-              -              -              -              746            -              -              
-              -              -              -              684            -              -              
-              -              -              -              746            -              -              
-              -              -              -              680            -              -              
-              -              -              -              -              
