Avian          Bat            Canine         Equine         Human          Seal           Swine          
813            761            850            915            933            880            836            
536            856            816            845            848            888            880            
565            879            822            867            869            830            852            
619            -              813            824            876            829            754            
634            -              -              813            904            831            809            
736            -              -              762            930            840            811            
745            -              -              -              832            855            807            
719            -              -              -              866            782            868            
884            -              -              -              843            823            838            
869            -              -              -              833            772            -              
828            -              -              -              792            728            -              
757            -              -              -              883            794            -              
869            -              -              -              846            756            -              
828            -              -              -              654            779            -              
871            -              -              -              818            819            -              
857            -              -              -              883            764            -              
833            -              -              -              775            739            -              
857            -              -              -              888            759            -              
850            -              -              -              825            -              -              
712            -              -              -              819            -              -              
812            -              -              -              816            -              -              
836            -              -              -              837            -              -              
867            -              -              -              666            -              -              
824            -              -              -              760            -              -              
717            -              -              -              808            -              -              
835            -              -              -              737            -              -              
893            -              -              -              791            -              -              
846            -              -              -              744            -              -              
786            -              -              -              815            -              -              
687            -              -              -              748            -              -              
865            -              -              -              813            -              -              
722            -              -              -              786            -              -              
854            -              -              -              852            -              -              
857            -              -              -              812            -              -              
756            -              -              -              816            -              -              
807            -              -              -              962            -              -              
844            -              -              -              895            -              -              
830            -              -              -              706            -              -              
843            -              -              -              727            -              -              
803            -              -              -              832            -              -              
812            -              -              -              600            -              -              
783            -              -              -              728            -              -              
807            -              -              -              706            -              -              
826            -              -              -              744            -              -              
853            -              -              -              746            -              -              
869            -              -              -              862            -              -              
764            -              -              -              796            -              -              
879            -              -              -              803            -              -              
843            -              -              -              757            -              -              
716            -              -              -              738            -              -              
864            -              -              -              754            -              -              
815            -              -              -              827            -              -              
817            -              -              -              950            -              -              
740            -              -              -              807            -              -              
903            -              -              -              862            -              -              
922            -              -              -              871            -              -              
-              -              -              -              834            -              -              
-              -              -              -              875            -              -              
-              -              -              -              862            -              -              
-              -              -              -              862            -              -              
-              -              -              -              857            -              -              
-              -              -              -              866            -              -              
-              -              -              -              829            -              -              
-              -              -              -              884            -              -              
-              -              -              -              876            -              -              
-              -              -              -              801            -              -              
-              -              -              -              833            -              -              
-              -              -              -              830            -              -              
-              -              -              -              876            -              -              
-              -              -              -              854            -              -              
-              -              -              -              803            -              -              
-              -              -              -              867            -              -              
-              -              -              -              867            -              -              
-              -              -              -              869            -              -              
-              -              -              -              873            -              -              
-              -              -              -              913            -              -              
-              -              -              -              869            -              -              
-              -              -              -              917            -              -              
-              -              -              -              904            -              -              
-              -              -              -              940            -              -              
-              -              -              -              916            -              -              
-              -              -              -              816            -              -              
-              -              -              -              840            -              -              
-              -              -              -              817            -              -              
-              -              -              -              940            -              -              
-              -              -              -              925            -              -              
-              -              -              -              775            -              -              
-              -              -              -              855            -              -              
-              -              -              -              859            -              -              
-              -              -              -              900            -              -              
-              -              -              -              944            -              -              
-              -              -              -              836            -              -              
-              -              -              -              857            -              -              
-              -              -              -              918            -              -              
-              -              -              -              937            -              -              
-              -              -              -              797            -              -              
-              -              -              -              795            -              -              
-              -              -              -              812            -              -              
-              -              -              -              813            -              -              
-              -              -              -              793            -              -              
-              -              -              -              869            -              -              
-              -              -              -              883            -              -              
-              -              -              -              963            -              -              
-              -              -              -              850            -              -              
-              -              -              -              898            -              -              
-              -              -              -              789            -              -              
-              -              -              -              861            -              -              
-              -              -              -              784            -              -              
-              -              -              -              774            -              -              
-              -              -              -              851            -              -              
-              -              -              -              685            -              -              
-              -              -              -              836            -              -              
-              -              -              -              842            -              -              
-              -              -              -              771            -              -              
-              -              -              -              771            -              -              
-              -              -              -              806            -              -              
-              -              -              -              677            -              -              
-              -              -              -              802            -              -              
-              -              -              -              759            -              -              
-              -              -              -              659            -              -              
-              -              -              -              841            -              -              
-              -              -              -              795            -              -              
-              -              -              -              603            -              -              
-              -              -              -              799            -              -              
-              -              -              -              863            -              -              
-              -              -              -              858            -              -              
-              -              -              -              852            -              -              
-              -              -              -              846            -              -              
-              -              -              -              826            -              -              
-              -              -              -              856            -              -              
-              -              -              -              844            -              -              
-              -              -              -              834            -              -              
-              -              -              -              815            -              -              
-              -              -              -              777            -              -              
-              -              -              -              849            -              -              
-              -              -              -              734            -              -              
-              -              -              -              731            -              -              
-              -              -              -              748            -              -              
-              -              -              -              721            -              -              
-              -              -              -              684            -              -              
-              -              -              -              724            -              -              
-              -              -              -              763            -              -              
-              -              -              -              727            -              -              
-              -              -              -              730            -              -              
-              -              -              -              769            -              -              
-              -              -              -              821            -              -              
-              -              -              -              752            -              -              
-              -              -              -              744            -              -              
-              -              -              -              766            -              -              
-              -              -              -              718            -              -              
-              -              -              -              751            -              -              
-              -              -              -              702            -              -              
-              -              -              -              770            -              -              
-              -              -              -              775            -              -              
-              -              -              -              796            -              -              
-              -              -              -              747            -              -              
-              -              -              -              703            -              -              
-              -              -              -              761            -              -              
-              -              -              -              761            -              -              
-              -              -              -              829            -              -              
-              -              -              -              840            -              -              
-              -              -              -              861            -              -              
-              -              -              -              851            -              -              
-              -              -              -              862            -              -              
-              -              -              -              841            -              -              
-              -              -              -              878            -              -              
-              -              -              -              789            -              -              
-              -              -              -              830            -              -              
-              -              -              -              773            -              -              
-              -              -              -              783            -              -              
-              -              -              -              721            -              -              
-              -              -              -              794            -              -              
-              -              -              -              714            -              -              
-              -              -              -              -              
