Avian          Bat            Canine         Equine         Human          Seal           Swine          
12             3              15             17             16             9              17             
3              13             17             10             18             10             18             
6              17             6              14             20             6              15             
6              -              16             8              20             5              8              
5              -              -              15             20             6              11             
10             -              -              6              19             4              8              
11             -              -              -              20             6              6              
10             -              -              -              21             7              6              
17             -              -              -              18             5              8              
18             -              -              -              19             6              -              
17             -              -              -              13             6              -              
10             -              -              -              21             5              -              
11             -              -              -              18             4              -              
11             -              -              -              13             5              -              
11             -              -              -              15             5              -              
3              -              -              -              22             4              -              
3              -              -              -              10             5              -              
6              -              -              -              20             1              -              
16             -              -              -              11             -              -              
9              -              -              -              16             -              -              
16             -              -              -              11             -              -              
16             -              -              -              15             -              -              
15             -              -              -              16             -              -              
16             -              -              -              13             -              -              
8              -              -              -              14             -              -              
14             -              -              -              17             -              -              
12             -              -              -              15             -              -              
16             -              -              -              19             -              -              
13             -              -              -              15             -              -              
8              -              -              -              15             -              -              
16             -              -              -              19             -              -              
10             -              -              -              12             -              -              
12             -              -              -              18             -              -              
8              -              -              -              13             -              -              
10             -              -              -              23             -              -              
16             -              -              -              14             -              -              
13             -              -              -              13             -              -              
16             -              -              -              12             -              -              
17             -              -              -              11             -              -              
9              -              -              -              11             -              -              
14             -              -              -              6              -              -              
11             -              -              -              7              -              -              
16             -              -              -              16             -              -              
5              -              -              -              11             -              -              
3              -              -              -              13             -              -              
3              -              -              -              14             -              -              
2              -              -              -              12             -              -              
3              -              -              -              13             -              -              
4              -              -              -              13             -              -              
13             -              -              -              12             -              -              
12             -              -              -              9              -              -              
4              -              -              -              9              -              -              
6              -              -              -              9              -              -              
0              -              -              -              12             -              -              
16             -              -              -              9              -              -              
18             -              -              -              9              -              -              
-              -              -              -              8              -              -              
-              -              -              -              8              -              -              
-              -              -              -              8              -              -              
-              -              -              -              9              -              -              
-              -              -              -              7              -              -              
-              -              -              -              7              -              -              
-              -              -              -              8              -              -              
-              -              -              -              9              -              -              
-              -              -              -              7              -              -              
-              -              -              -              4              -              -              
-              -              -              -              9              -              -              
-              -              -              -              16             -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              8              -              -              
-              -              -              -              8              -              -              
-              -              -              -              9              -              -              
-              -              -              -              11             -              -              
-              -              -              -              10             -              -              
-              -              -              -              9              -              -              
-              -              -              -              8              -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              10             -              -              
-              -              -              -              10             -              -              
-              -              -              -              9              -              -              
-              -              -              -              6              -              -              
-              -              -              -              9              -              -              
-              -              -              -              15             -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              7              -              -              
-              -              -              -              11             -              -              
-              -              -              -              13             -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              8              -              -              
-              -              -              -              4              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              4              -              -              
-              -              -              -              3              -              -              
-              -              -              -              9              -              -              
-              -              -              -              10             -              -              
-              -              -              -              11             -              -              
-              -              -              -              12             -              -              
-              -              -              -              11             -              -              
-              -              -              -              18             -              -              
-              -              -              -              15             -              -              
-              -              -              -              13             -              -              
-              -              -              -              18             -              -              
-              -              -              -              13             -              -              
-              -              -              -              15             -              -              
-              -              -              -              18             -              -              
-              -              -              -              19             -              -              
-              -              -              -              14             -              -              
-              -              -              -              15             -              -              
-              -              -              -              13             -              -              
-              -              -              -              18             -              -              
-              -              -              -              14             -              -              
-              -              -              -              13             -              -              
-              -              -              -              16             -              -              
-              -              -              -              14             -              -              
-              -              -              -              7              -              -              
-              -              -              -              13             -              -              
-              -              -              -              15             -              -              
-              -              -              -              16             -              -              
-              -              -              -              15             -              -              
-              -              -              -              11             -              -              
-              -              -              -              13             -              -              
-              -              -              -              13             -              -              
-              -              -              -              13             -              -              
-              -              -              -              11             -              -              
-              -              -              -              13             -              -              
-              -              -              -              13             -              -              
-              -              -              -              15             -              -              
-              -              -              -              7              -              -              
-              -              -              -              5              -              -              
-              -              -              -              4              -              -              
-              -              -              -              3              -              -              
-              -              -              -              9              -              -              
-              -              -              -              6              -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              3              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              5              -              -              
-              -              -              -              6              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              1              -              -              
-              -              -              -              9              -              -              
-              -              -              -              6              -              -              
-              -              -              -              7              -              -              
-              -              -              -              6              -              -              
-              -              -              -              5              -              -              
-              -              -              -              0              -              -              
-              -              -              -              2              -              -              
-              -              -              -              0              -              -              
-              -              -              -              2              -              -              
-              -              -              -              6              -              -              
-              -              -              -              2              -              -              
-              -              -              -              5              -              -              
-              -              -              -              0              -              -              
-              -              -              -              5              -              -              
-              -              -              -              4              -              -              
-              -              -              -              3              -              -              
-              -              -              -              2              -              -              
-              -              -              -              1              -              -              
-              -              -              -              2              -              -              
-              -              -              -              -              
