Avian          Bat            Canine         Equine         Human          Seal           Swine          
618            563            620            643            721            634            627            
417            646            570            606            672            641            665            
430            665            605            611            661            635            642            
489            -              588            601            670            637            607            
505            -              -              570            687            636            631            
549            -              -              534            719            624            610            
570            -              -              -              652            631            604            
547            -              -              -              661            568            611            
706            -              -              -              666            605            580            
684            -              -              -              646            563            -              
644            -              -              -              622            532            -              
586            -              -              -              680            584            -              
640            -              -              -              657            543            -              
605            -              -              -              487            556            -              
641            -              -              -              644            606            -              
617            -              -              -              668            562            -              
604            -              -              -              617            537            -              
633            -              -              -              667            573            -              
646            -              -              -              621            -              -              
535            -              -              -              633            -              -              
619            -              -              -              650            -              -              
626            -              -              -              640            -              -              
662            -              -              -              504            -              -              
631            -              -              -              580            -              -              
535            -              -              -              618            -              -              
617            -              -              -              563            -              -              
667            -              -              -              597            -              -              
647            -              -              -              538            -              -              
593            -              -              -              632            -              -              
524            -              -              -              570            -              -              
646            -              -              -              611            -              -              
531            -              -              -              580            -              -              
648            -              -              -              660            -              -              
640            -              -              -              616            -              -              
574            -              -              -              578            -              -              
616            -              -              -              723            -              -              
652            -              -              -              695            -              -              
649            -              -              -              549            -              -              
655            -              -              -              558            -              -              
637            -              -              -              625            -              -              
634            -              -              -              438            -              -              
611            -              -              -              562            -              -              
631            -              -              -              548            -              -              
627            -              -              -              575            -              -              
647            -              -              -              580            -              -              
651            -              -              -              666            -              -              
591            -              -              -              614            -              -              
663            -              -              -              617            -              -              
625            -              -              -              586            -              -              
542            -              -              -              568            -              -              
673            -              -              -              598            -              -              
639            -              -              -              583            -              -              
596            -              -              -              694            -              -              
594            -              -              -              580            -              -              
675            -              -              -              610            -              -              
689            -              -              -              618            -              -              
-              -              -              -              599            -              -              
-              -              -              -              631            -              -              
-              -              -              -              615            -              -              
-              -              -              -              615            -              -              
-              -              -              -              616            -              -              
-              -              -              -              621            -              -              
-              -              -              -              610            -              -              
-              -              -              -              634            -              -              
-              -              -              -              627            -              -              
-              -              -              -              592            -              -              
-              -              -              -              600            -              -              
-              -              -              -              593            -              -              
-              -              -              -              627            -              -              
-              -              -              -              601            -              -              
-              -              -              -              598            -              -              
-              -              -              -              616            -              -              
-              -              -              -              605            -              -              
-              -              -              -              629            -              -              
-              -              -              -              639            -              -              
-              -              -              -              643            -              -              
-              -              -              -              618            -              -              
-              -              -              -              642            -              -              
-              -              -              -              632            -              -              
-              -              -              -              658            -              -              
-              -              -              -              635            -              -              
-              -              -              -              600            -              -              
-              -              -              -              596            -              -              
-              -              -              -              587            -              -              
-              -              -              -              661            -              -              
-              -              -              -              644            -              -              
-              -              -              -              536            -              -              
-              -              -              -              605            -              -              
-              -              -              -              634            -              -              
-              -              -              -              642            -              -              
-              -              -              -              661            -              -              
-              -              -              -              597            -              -              
-              -              -              -              622            -              -              
-              -              -              -              641            -              -              
-              -              -              -              670            -              -              
-              -              -              -              568            -              -              
-              -              -              -              584            -              -              
-              -              -              -              594            -              -              
-              -              -              -              611            -              -              
-              -              -              -              584            -              -              
-              -              -              -              637            -              -              
-              -              -              -              636            -              -              
-              -              -              -              691            -              -              
-              -              -              -              620            -              -              
-              -              -              -              675            -              -              
-              -              -              -              609            -              -              
-              -              -              -              662            -              -              
-              -              -              -              582            -              -              
-              -              -              -              572            -              -              
-              -              -              -              646            -              -              
-              -              -              -              538            -              -              
-              -              -              -              637            -              -              
-              -              -              -              634            -              -              
-              -              -              -              599            -              -              
-              -              -              -              568            -              -              
-              -              -              -              584            -              -              
-              -              -              -              511            -              -              
-              -              -              -              575            -              -              
-              -              -              -              576            -              -              
-              -              -              -              499            -              -              
-              -              -              -              627            -              -              
-              -              -              -              615            -              -              
-              -              -              -              438            -              -              
-              -              -              -              609            -              -              
-              -              -              -              652            -              -              
-              -              -              -              650            -              -              
-              -              -              -              649            -              -              
-              -              -              -              650            -              -              
-              -              -              -              617            -              -              
-              -              -              -              659            -              -              
-              -              -              -              646            -              -              
-              -              -              -              639            -              -              
-              -              -              -              635            -              -              
-              -              -              -              581            -              -              
-              -              -              -              659            -              -              
-              -              -              -              546            -              -              
-              -              -              -              553            -              -              
-              -              -              -              561            -              -              
-              -              -              -              563            -              -              
-              -              -              -              546            -              -              
-              -              -              -              570            -              -              
-              -              -              -              602            -              -              
-              -              -              -              583            -              -              
-              -              -              -              561            -              -              
-              -              -              -              603            -              -              
-              -              -              -              642            -              -              
-              -              -              -              593            -              -              
-              -              -              -              576            -              -              
-              -              -              -              607            -              -              
-              -              -              -              567            -              -              
-              -              -              -              600            -              -              
-              -              -              -              538            -              -              
-              -              -              -              597            -              -              
-              -              -              -              621            -              -              
-              -              -              -              602            -              -              
-              -              -              -              581            -              -              
-              -              -              -              556            -              -              
-              -              -              -              594            -              -              
-              -              -              -              595            -              -              
-              -              -              -              622            -              -              
-              -              -              -              630            -              -              
-              -              -              -              640            -              -              
-              -              -              -              634            -              -              
-              -              -              -              641            -              -              
-              -              -              -              627            -              -              
-              -              -              -              654            -              -              
-              -              -              -              597            -              -              
-              -              -              -              619            -              -              
-              -              -              -              600            -              -              
-              -              -              -              584            -              -              
-              -              -              -              548            -              -              
-              -              -              -              590            -              -              
-              -              -              -              543            -              -              
-              -              -              -              -              
