Avian          Bat            Canine         Equine         Human          Seal           Swine          
139            115            150            164            182            176            139            
72             159            133            159            163            167            165            
78             157            152            148            168            161            143            
99             -              154            154            183            167            156            
104            -              -              149            171            160            132            
108            -              -              132            179            166            161            
121            -              -              -              156            180            173            
109            -              -              -              168            150            158            
173            -              -              -              164            160            142            
161            -              -              -              155            156            -              
149            -              -              -              91             150            -              
127            -              -              -              174            161            -              
174            -              -              -              179            130            -              
158            -              -              -              127            147            -              
174            -              -              -              146            175            -              
150            -              -              -              172            157            -              
148            -              -              -              111            141            -              
177            -              -              -              172            167            -              
134            -              -              -              129            -              -              
64             -              -              -              142            -              -              
124            -              -              -              171            -              -              
126            -              -              -              162            -              -              
148            -              -              -              100            -              -              
129            -              -              -              151            -              -              
78             -              -              -              136            -              -              
123            -              -              -              111            -              -              
159            -              -              -              134            -              -              
146            -              -              -              116            -              -              
133            -              -              -              158            -              -              
70             -              -              -              118            -              -              
144            -              -              -              129            -              -              
121            -              -              -              129            -              -              
148            -              -              -              147            -              -              
137            -              -              -              131            -              -              
129            -              -              -              142            -              -              
159            -              -              -              196            -              -              
135            -              -              -              165            -              -              
151            -              -              -              135            -              -              
153            -              -              -              138            -              -              
153            -              -              -              151            -              -              
157            -              -              -              93             -              -              
146            -              -              -              144            -              -              
130            -              -              -              135            -              -              
176            -              -              -              125            -              -              
176            -              -              -              117            -              -              
177            -              -              -              158            -              -              
165            -              -              -              141            -              -              
188            -              -              -              140            -              -              
170            -              -              -              129            -              -              
145            -              -              -              111            -              -              
152            -              -              -              142            -              -              
146            -              -              -              154            -              -              
148            -              -              -              180            -              -              
141            -              -              -              146            -              -              
160            -              -              -              149            -              -              
159            -              -              -              148            -              -              
-              -              -              -              150            -              -              
-              -              -              -              162            -              -              
-              -              -              -              146            -              -              
-              -              -              -              152            -              -              
-              -              -              -              151            -              -              
-              -              -              -              155            -              -              
-              -              -              -              153            -              -              
-              -              -              -              159            -              -              
-              -              -              -              154            -              -              
-              -              -              -              162            -              -              
-              -              -              -              148            -              -              
-              -              -              -              160            -              -              
-              -              -              -              147            -              -              
-              -              -              -              142            -              -              
-              -              -              -              149            -              -              
-              -              -              -              168            -              -              
-              -              -              -              161            -              -              
-              -              -              -              162            -              -              
-              -              -              -              163            -              -              
-              -              -              -              171            -              -              
-              -              -              -              147            -              -              
-              -              -              -              172            -              -              
-              -              -              -              173            -              -              
-              -              -              -              173            -              -              
-              -              -              -              170            -              -              
-              -              -              -              141            -              -              
-              -              -              -              161            -              -              
-              -              -              -              158            -              -              
-              -              -              -              182            -              -              
-              -              -              -              169            -              -              
-              -              -              -              123            -              -              
-              -              -              -              147            -              -              
-              -              -              -              166            -              -              
-              -              -              -              178            -              -              
-              -              -              -              177            -              -              
-              -              -              -              168            -              -              
-              -              -              -              172            -              -              
-              -              -              -              171            -              -              
-              -              -              -              166            -              -              
-              -              -              -              125            -              -              
-              -              -              -              150            -              -              
-              -              -              -              128            -              -              
-              -              -              -              151            -              -              
-              -              -              -              133            -              -              
-              -              -              -              163            -              -              
-              -              -              -              171            -              -              
-              -              -              -              177            -              -              
-              -              -              -              177            -              -              
-              -              -              -              169            -              -              
-              -              -              -              158            -              -              
-              -              -              -              143            -              -              
-              -              -              -              151            -              -              
-              -              -              -              135            -              -              
-              -              -              -              137            -              -              
-              -              -              -              109            -              -              
-              -              -              -              128            -              -              
-              -              -              -              127            -              -              
-              -              -              -              129            -              -              
-              -              -              -              117            -              -              
-              -              -              -              146            -              -              
-              -              -              -              129            -              -              
-              -              -              -              129            -              -              
-              -              -              -              148            -              -              
-              -              -              -              110            -              -              
-              -              -              -              162            -              -              
-              -              -              -              138            -              -              
-              -              -              -              84             -              -              
-              -              -              -              122            -              -              
-              -              -              -              176            -              -              
-              -              -              -              186            -              -              
-              -              -              -              177            -              -              
-              -              -              -              172            -              -              
-              -              -              -              152            -              -              
-              -              -              -              166            -              -              
-              -              -              -              174            -              -              
-              -              -              -              179            -              -              
-              -              -              -              170            -              -              
-              -              -              -              147            -              -              
-              -              -              -              168            -              -              
-              -              -              -              155            -              -              
-              -              -              -              149            -              -              
-              -              -              -              150            -              -              
-              -              -              -              157            -              -              
-              -              -              -              129            -              -              
-              -              -              -              144            -              -              
-              -              -              -              159            -              -              
-              -              -              -              151            -              -              
-              -              -              -              147            -              -              
-              -              -              -              156            -              -              
-              -              -              -              178            -              -              
-              -              -              -              145            -              -              
-              -              -              -              138            -              -              
-              -              -              -              166            -              -              
-              -              -              -              148            -              -              
-              -              -              -              192            -              -              
-              -              -              -              128            -              -              
-              -              -              -              154            -              -              
-              -              -              -              183            -              -              
-              -              -              -              169            -              -              
-              -              -              -              140            -              -              
-              -              -              -              138            -              -              
-              -              -              -              153            -              -              
-              -              -              -              149            -              -              
-              -              -              -              176            -              -              
-              -              -              -              175            -              -              
-              -              -              -              180            -              -              
-              -              -              -              168            -              -              
-              -              -              -              180            -              -              
-              -              -              -              180            -              -              
-              -              -              -              179            -              -              
-              -              -              -              157            -              -              
-              -              -              -              177            -              -              
-              -              -              -              177            -              -              
-              -              -              -              163            -              -              
-              -              -              -              144            -              -              
-              -              -              -              165            -              -              
-              -              -              -              138            -              -              
-              -              -              -              -              
