Avian          Bat            Canine         Equine         Human          Seal           Swine          
656            595            647            678            757            659            660            
440            677            604            628            708            669            698            
460            700            623            640            701            650            673            
529            -              619            621            713            651            625            
528            -              -              603            730            651            674            
586            -              -              561            757            637            635            
609            -              -              -              687            651            624            
577            -              -              -              702            587            638            
747            -              -              -              699            620            599            
730            -              -              -              677            575            -              
684            -              -              -              642            550            -              
619            -              -              -              724            598            -              
668            -              -              -              697            556            -              
633            -              -              -              515            573            -              
669            -              -              -              678            620            -              
627            -              -              -              714            582            -              
616            -              -              -              638            551            -              
653            -              -              -              709            580            -              
689            -              -              -              649            -              -              
565            -              -              -              666            -              -              
669            -              -              -              669            -              -              
668            -              -              -              674            -              -              
703            -              -              -              532            -              -              
672            -              -              -              621            -              -              
563            -              -              -              646            -              -              
663            -              -              -              596            -              -              
714            -              -              -              625            -              -              
692            -              -              -              577            -              -              
631            -              -              -              671            -              -              
553            -              -              -              597            -              -              
691            -              -              -              647            -              -              
571            -              -              -              613            -              -              
687            -              -              -              695            -              -              
672            -              -              -              645            -              -              
608            -              -              -              626            -              -              
657            -              -              -              759            -              -              
691            -              -              -              728            -              -              
685            -              -              -              589            -              -              
689            -              -              -              596            -              -              
666            -              -              -              657            -              -              
668            -              -              -              447            -              -              
642            -              -              -              593            -              -              
656            -              -              -              585            -              -              
644            -              -              -              608            -              -              
665            -              -              -              617            -              -              
667            -              -              -              695            -              -              
608            -              -              -              652            -              -              
680            -              -              -              656            -              -              
644            -              -              -              622            -              -              
567            -              -              -              603            -              -              
715            -              -              -              617            -              -              
672            -              -              -              613            -              -              
607            -              -              -              722            -              -              
610            -              -              -              600            -              -              
730            -              -              -              638            -              -              
744            -              -              -              644            -              -              
-              -              -              -              626            -              -              
-              -              -              -              658            -              -              
-              -              -              -              640            -              -              
-              -              -              -              641            -              -              
-              -              -              -              641            -              -              
-              -              -              -              645            -              -              
-              -              -              -              629            -              -              
-              -              -              -              660            -              -              
-              -              -              -              653            -              -              
-              -              -              -              600            -              -              
-              -              -              -              624            -              -              
-              -              -              -              619            -              -              
-              -              -              -              653            -              -              
-              -              -              -              628            -              -              
-              -              -              -              609            -              -              
-              -              -              -              643            -              -              
-              -              -              -              630            -              -              
-              -              -              -              656            -              -              
-              -              -              -              663            -              -              
-              -              -              -              666            -              -              
-              -              -              -              644            -              -              
-              -              -              -              666            -              -              
-              -              -              -              655            -              -              
-              -              -              -              684            -              -              
-              -              -              -              662            -              -              
-              -              -              -              614            -              -              
-              -              -              -              623            -              -              
-              -              -              -              608            -              -              
-              -              -              -              685            -              -              
-              -              -              -              667            -              -              
-              -              -              -              568            -              -              
-              -              -              -              633            -              -              
-              -              -              -              656            -              -              
-              -              -              -              666            -              -              
-              -              -              -              686            -              -              
-              -              -              -              628            -              -              
-              -              -              -              647            -              -              
-              -              -              -              667            -              -              
-              -              -              -              695            -              -              
-              -              -              -              593            -              -              
-              -              -              -              610            -              -              
-              -              -              -              609            -              -              
-              -              -              -              626            -              -              
-              -              -              -              598            -              -              
-              -              -              -              651            -              -              
-              -              -              -              658            -              -              
-              -              -              -              719            -              -              
-              -              -              -              645            -              -              
-              -              -              -              719            -              -              
-              -              -              -              652            -              -              
-              -              -              -              713            -              -              
-              -              -              -              634            -              -              
-              -              -              -              621            -              -              
-              -              -              -              700            -              -              
-              -              -              -              568            -              -              
-              -              -              -              670            -              -              
-              -              -              -              691            -              -              
-              -              -              -              642            -              -              
-              -              -              -              622            -              -              
-              -              -              -              635            -              -              
-              -              -              -              549            -              -              
-              -              -              -              635            -              -              
-              -              -              -              613            -              -              
-              -              -              -              534            -              -              
-              -              -              -              681            -              -              
-              -              -              -              653            -              -              
-              -              -              -              470            -              -              
-              -              -              -              643            -              -              
-              -              -              -              691            -              -              
-              -              -              -              689            -              -              
-              -              -              -              686            -              -              
-              -              -              -              683            -              -              
-              -              -              -              653            -              -              
-              -              -              -              693            -              -              
-              -              -              -              681            -              -              
-              -              -              -              674            -              -              
-              -              -              -              669            -              -              
-              -              -              -              617            -              -              
-              -              -              -              691            -              -              
-              -              -              -              574            -              -              
-              -              -              -              575            -              -              
-              -              -              -              580            -              -              
-              -              -              -              584            -              -              
-              -              -              -              555            -              -              
-              -              -              -              591            -              -              
-              -              -              -              630            -              -              
-              -              -              -              608            -              -              
-              -              -              -              587            -              -              
-              -              -              -              617            -              -              
-              -              -              -              667            -              -              
-              -              -              -              611            -              -              
-              -              -              -              588            -              -              
-              -              -              -              621            -              -              
-              -              -              -              585            -              -              
-              -              -              -              618            -              -              
-              -              -              -              564            -              -              
-              -              -              -              614            -              -              
-              -              -              -              641            -              -              
-              -              -              -              643            -              -              
-              -              -              -              600            -              -              
-              -              -              -              577            -              -              
-              -              -              -              618            -              -              
-              -              -              -              616            -              -              
-              -              -              -              637            -              -              
-              -              -              -              649            -              -              
-              -              -              -              659            -              -              
-              -              -              -              652            -              -              
-              -              -              -              660            -              -              
-              -              -              -              645            -              -              
-              -              -              -              673            -              -              
-              -              -              -              605            -              -              
-              -              -              -              636            -              -              
-              -              -              -              621            -              -              
-              -              -              -              601            -              -              
-              -              -              -              562            -              -              
-              -              -              -              614            -              -              
-              -              -              -              555            -              -              
-              -              -              -              -              
