Avian          Bat            Canine         Equine         Human          Seal           Swine          
20             11             21             33             18             27             8              
12             10             38             38             14             30             12             
18             10             31             29             13             20             13             
9              -              30             33             19             17             7              
10             -              -              26             15             22             23             
16             -              -              37             15             23             20             
13             -              -              -              6              28             23             
18             -              -              -              13             25             23             
17             -              -              -              6              24             39             
17             -              -              -              6              24             -              
17             -              -              -              8              22             -              
17             -              -              -              18             27             -              
24             -              -              -              13             25             -              
28             -              -              -              15             24             -              
24             -              -              -              11             25             -              
42             -              -              -              14             25             -              
34             -              -              -              7              20             -              
31             -              -              -              12             8              -              
17             -              -              -              13             -              -              
12             -              -              -              10             -              -              
13             -              -              -              6              -              -              
15             -              -              -              10             -              -              
16             -              -              -              15             -              -              
19             -              -              -              19             -              -              
15             -              -              -              11             -              -              
15             -              -              -              14             -              -              
19             -              -              -              9              -              -              
21             -              -              -              18             -              -              
16             -              -              -              14             -              -              
12             -              -              -              12             -              -              
21             -              -              -              16             -              -              
11             -              -              -              19             -              -              
16             -              -              -              11             -              -              
22             -              -              -              11             -              -              
9              -              -              -              21             -              -              
12             -              -              -              20             -              -              
7              -              -              -              17             -              -              
5              -              -              -              12             -              -              
5              -              -              -              20             -              -              
13             -              -              -              19             -              -              
15             -              -              -              21             -              -              
13             -              -              -              9              -              -              
29             -              -              -              10             -              -              
28             -              -              -              21             -              -              
27             -              -              -              20             -              -              
28             -              -              -              9              -              -              
28             -              -              -              19             -              -              
30             -              -              -              22             -              -              
30             -              -              -              21             -              -              
6              -              -              -              21             -              -              
10             -              -              -              13             -              -              
11             -              -              -              31             -              -              
25             -              -              -              28             -              -              
9              -              -              -              31             -              -              
11             -              -              -              29             -              -              
12             -              -              -              33             -              -              
-              -              -              -              27             -              -              
-              -              -              -              28             -              -              
-              -              -              -              28             -              -              
-              -              -              -              32             -              -              
-              -              -              -              27             -              -              
-              -              -              -              29             -              -              
-              -              -              -              26             -              -              
-              -              -              -              33             -              -              
-              -              -              -              30             -              -              
-              -              -              -              30             -              -              
-              -              -              -              29             -              -              
-              -              -              -              26             -              -              
-              -              -              -              26             -              -              
-              -              -              -              28             -              -              
-              -              -              -              24             -              -              
-              -              -              -              28             -              -              
-              -              -              -              30             -              -              
-              -              -              -              26             -              -              
-              -              -              -              23             -              -              
-              -              -              -              32             -              -              
-              -              -              -              31             -              -              
-              -              -              -              32             -              -              
-              -              -              -              34             -              -              
-              -              -              -              38             -              -              
-              -              -              -              32             -              -              
-              -              -              -              24             -              -              
-              -              -              -              36             -              -              
-              -              -              -              32             -              -              
-              -              -              -              42             -              -              
-              -              -              -              36             -              -              
-              -              -              -              24             -              -              
-              -              -              -              28             -              -              
-              -              -              -              26             -              -              
-              -              -              -              38             -              -              
-              -              -              -              39             -              -              
-              -              -              -              33             -              -              
-              -              -              -              31             -              -              
-              -              -              -              31             -              -              
-              -              -              -              29             -              -              
-              -              -              -              26             -              -              
-              -              -              -              24             -              -              
-              -              -              -              22             -              -              
-              -              -              -              17             -              -              
-              -              -              -              22             -              -              
-              -              -              -              21             -              -              
-              -              -              -              26             -              -              
-              -              -              -              24             -              -              
-              -              -              -              34             -              -              
-              -              -              -              19             -              -              
-              -              -              -              22             -              -              
-              -              -              -              10             -              -              
-              -              -              -              22             -              -              
-              -              -              -              24             -              -              
-              -              -              -              9              -              -              
-              -              -              -              21             -              -              
-              -              -              -              18             -              -              
-              -              -              -              9              -              -              
-              -              -              -              6              -              -              
-              -              -              -              14             -              -              
-              -              -              -              20             -              -              
-              -              -              -              16             -              -              
-              -              -              -              18             -              -              
-              -              -              -              6              -              -              
-              -              -              -              15             -              -              
-              -              -              -              21             -              -              
-              -              -              -              7              -              -              
-              -              -              -              17             -              -              
-              -              -              -              18             -              -              
-              -              -              -              10             -              -              
-              -              -              -              9              -              -              
-              -              -              -              7              -              -              
-              -              -              -              9              -              -              
-              -              -              -              16             -              -              
-              -              -              -              12             -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              8              -              -              
-              -              -              -              13             -              -              
-              -              -              -              8              -              -              
-              -              -              -              15             -              -              
-              -              -              -              13             -              -              
-              -              -              -              14             -              -              
-              -              -              -              10             -              -              
-              -              -              -              3              -              -              
-              -              -              -              6              -              -              
-              -              -              -              14             -              -              
-              -              -              -              7              -              -              
-              -              -              -              6              -              -              
-              -              -              -              16             -              -              
-              -              -              -              12             -              -              
-              -              -              -              12             -              -              
-              -              -              -              15             -              -              
-              -              -              -              13             -              -              
-              -              -              -              10             -              -              
-              -              -              -              14             -              -              
-              -              -              -              17             -              -              
-              -              -              -              15             -              -              
-              -              -              -              7              -              -              
-              -              -              -              21             -              -              
-              -              -              -              16             -              -              
-              -              -              -              10             -              -              
-              -              -              -              19             -              -              
-              -              -              -              12             -              -              
-              -              -              -              25             -              -              
-              -              -              -              25             -              -              
-              -              -              -              28             -              -              
-              -              -              -              25             -              -              
-              -              -              -              27             -              -              
-              -              -              -              23             -              -              
-              -              -              -              28             -              -              
-              -              -              -              31             -              -              
-              -              -              -              25             -              -              
-              -              -              -              21             -              -              
-              -              -              -              20             -              -              
-              -              -              -              23             -              -              
-              -              -              -              24             -              -              
-              -              -              -              22             -              -              
-              -              -              -              -              
