Avian          Bat            Canine         Equine         Human          Seal           Swine          
9              0              3              9              9              3              5              
6              3              9              3              3              3              9              
9              3              3              4              6              5              6              
6              -              8              4              10             1              4              
6              -              -              8              6              3              10             
9              -              -              3              5              5              3              
11             -              -              -              3              5              3              
10             -              -              -              6              6              5              
6              -              -              -              3              6              11             
6              -              -              -              3              6              -              
7              -              -              -              3              6              -              
6              -              -              -              10             3              -              
3              -              -              -              7              6              -              
6              -              -              -              2              5              -              
3              -              -              -              4              7              -              
15             -              -              -              7              6              -              
10             -              -              -              3              3              -              
10             -              -              -              4              2              -              
3              -              -              -              3              -              -              
0              -              -              -              4              -              -              
4              -              -              -              3              -              -              
3              -              -              -              3              -              -              
3              -              -              -              12             -              -              
2              -              -              -              7              -              -              
0              -              -              -              3              -              -              
2              -              -              -              8              -              -              
2              -              -              -              3              -              -              
4              -              -              -              11             -              -              
2              -              -              -              6              -              -              
0              -              -              -              6              -              -              
3              -              -              -              9              -              -              
3              -              -              -              8              -              -              
3              -              -              -              2              -              -              
3              -              -              -              3              -              -              
2              -              -              -              6              -              -              
0              -              -              -              13             -              -              
1              -              -              -              4              -              -              
0              -              -              -              5              -              -              
0              -              -              -              9              -              -              
3              -              -              -              5              -              -              
3              -              -              -              9              -              -              
1              -              -              -              3              -              -              
5              -              -              -              6              -              -              
6              -              -              -              8              -              -              
6              -              -              -              5              -              -              
7              -              -              -              1              -              -              
8              -              -              -              4              -              -              
6              -              -              -              3              -              -              
6              -              -              -              3              -              -              
0              -              -              -              9              -              -              
0              -              -              -              8              -              -              
0              -              -              -              4              -              -              
10             -              -              -              3              -              -              
3              -              -              -              6              -              -              
2              -              -              -              3              -              -              
2              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              4              -              -              
-              -              -              -              3              -              -              
-              -              -              -              6              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              6              -              -              
-              -              -              -              3              -              -              
-              -              -              -              4              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              4              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              5              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              6              -              -              
-              -              -              -              2              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              1              -              -              
-              -              -              -              2              -              -              
-              -              -              -              1              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              3              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              3              -              -              
-              -              -              -              0              -              -              
-              -              -              -              3              -              -              
-              -              -              -              2              -              -              
-              -              -              -              1              -              -              
-              -              -              -              3              -              -              
-              -              -              -              0              -              -              
-              -              -              -              2              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              1              -              -              
-              -              -              -              2              -              -              
-              -              -              -              3              -              -              
-              -              -              -              2              -              -              
-              -              -              -              1              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              7              -              -              
-              -              -              -              9              -              -              
-              -              -              -              7              -              -              
-              -              -              -              8              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              6              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              6              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              4              -              -              
-              -              -              -              3              -              -              
-              -              -              -              4              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              4              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              5              -              -              
-              -              -              -              4              -              -              
-              -              -              -              3              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              7              -              -              
-              -              -              -              7              -              -              
-              -              -              -              8              -              -              
-              -              -              -              6              -              -              
-              -              -              -              8              -              -              
-              -              -              -              8              -              -              
-              -              -              -              9              -              -              
-              -              -              -              6              -              -              
-              -              -              -              5              -              -              
-              -              -              -              4              -              -              
-              -              -              -              7              -              -              
-              -              -              -              5              -              -              
-              -              -              -              -              
