Avian          Bat            Canine         Equine         Human          Seal           Swine          
7              9              18             23             11             23             11             
6              5              19             20             7              19             12             
12             5              20             20             14             9              12             
9              -              13             16             9              9              8              
4              -              -              22             13             8              9              
5              -              -              18             12             14             15             
6              -              -              -              10             14             17             
7              -              -              -              11             14             19             
8              -              -              -              11             11             13             
7              -              -              -              10             9              -              
6              -              -              -              9              10             -              
9              -              -              -              10             8              -              
14             -              -              -              9              11             -              
12             -              -              -              7              16             -              
14             -              -              -              12             15             -              
20             -              -              -              13             7              -              
18             -              -              -              9              14             -              
18             -              -              -              11             14             -              
6              -              -              -              12             -              -              
6              -              -              -              10             -              -              
5              -              -              -              12             -              -              
6              -              -              -              7              -              -              
6              -              -              -              6              -              -              
9              -              -              -              3              -              -              
9              -              -              -              10             -              -              
8              -              -              -              8              -              -              
10             -              -              -              9              -              -              
5              -              -              -              7              -              -              
4              -              -              -              8              -              -              
6              -              -              -              7              -              -              
14             -              -              -              8              -              -              
7              -              -              -              11             -              -              
3              -              -              -              8              -              -              
6              -              -              -              10             -              -              
3              -              -              -              18             -              -              
10             -              -              -              14             -              -              
9              -              -              -              8              -              -              
4              -              -              -              3              -              -              
6              -              -              -              3              -              -              
10             -              -              -              10             -              -              
10             -              -              -              3              -              -              
10             -              -              -              3              -              -              
3              -              -              -              3              -              -              
8              -              -              -              5              -              -              
12             -              -              -              4              -              -              
13             -              -              -              8              -              -              
8              -              -              -              7              -              -              
9              -              -              -              3              -              -              
11             -              -              -              4              -              -              
0              -              -              -              5              -              -              
12             -              -              -              6              -              -              
9              -              -              -              12             -              -              
20             -              -              -              15             -              -              
18             -              -              -              17             -              -              
21             -              -              -              17             -              -              
22             -              -              -              16             -              -              
-              -              -              -              15             -              -              
-              -              -              -              18             -              -              
-              -              -              -              17             -              -              
-              -              -              -              17             -              -              
-              -              -              -              21             -              -              
-              -              -              -              16             -              -              
-              -              -              -              15             -              -              
-              -              -              -              17             -              -              
-              -              -              -              19             -              -              
-              -              -              -              5              -              -              
-              -              -              -              16             -              -              
-              -              -              -              20             -              -              
-              -              -              -              18             -              -              
-              -              -              -              17             -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              12             -              -              
-              -              -              -              15             -              -              
-              -              -              -              14             -              -              
-              -              -              -              15             -              -              
-              -              -              -              15             -              -              
-              -              -              -              15             -              -              
-              -              -              -              15             -              -              
-              -              -              -              18             -              -              
-              -              -              -              17             -              -              
-              -              -              -              16             -              -              
-              -              -              -              15             -              -              
-              -              -              -              15             -              -              
-              -              -              -              16             -              -              
-              -              -              -              18             -              -              
-              -              -              -              21             -              -              
-              -              -              -              18             -              -              
-              -              -              -              15             -              -              
-              -              -              -              16             -              -              
-              -              -              -              16             -              -              
-              -              -              -              20             -              -              
-              -              -              -              12             -              -              
-              -              -              -              16             -              -              
-              -              -              -              21             -              -              
-              -              -              -              8              -              -              
-              -              -              -              21             -              -              
-              -              -              -              15             -              -              
-              -              -              -              12             -              -              
-              -              -              -              22             -              -              
-              -              -              -              18             -              -              
-              -              -              -              18             -              -              
-              -              -              -              14             -              -              
-              -              -              -              12             -              -              
-              -              -              -              6              -              -              
-              -              -              -              8              -              -              
-              -              -              -              3              -              -              
-              -              -              -              5              -              -              
-              -              -              -              4              -              -              
-              -              -              -              3              -              -              
-              -              -              -              6              -              -              
-              -              -              -              5              -              -              
-              -              -              -              3              -              -              
-              -              -              -              7              -              -              
-              -              -              -              10             -              -              
-              -              -              -              6              -              -              
-              -              -              -              5              -              -              
-              -              -              -              8              -              -              
-              -              -              -              7              -              -              
-              -              -              -              8              -              -              
-              -              -              -              9              -              -              
-              -              -              -              3              -              -              
-              -              -              -              5              -              -              
-              -              -              -              8              -              -              
-              -              -              -              8              -              -              
-              -              -              -              8              -              -              
-              -              -              -              8              -              -              
-              -              -              -              9              -              -              
-              -              -              -              7              -              -              
-              -              -              -              10             -              -              
-              -              -              -              8              -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              7              -              -              
-              -              -              -              8              -              -              
-              -              -              -              27             -              -              
-              -              -              -              25             -              -              
-              -              -              -              27             -              -              
-              -              -              -              21             -              -              
-              -              -              -              21             -              -              
-              -              -              -              27             -              -              
-              -              -              -              24             -              -              
-              -              -              -              26             -              -              
-              -              -              -              30             -              -              
-              -              -              -              27             -              -              
-              -              -              -              23             -              -              
-              -              -              -              19             -              -              
-              -              -              -              27             -              -              
-              -              -              -              17             -              -              
-              -              -              -              16             -              -              
-              -              -              -              21             -              -              
-              -              -              -              17             -              -              
-              -              -              -              25             -              -              
-              -              -              -              24             -              -              
-              -              -              -              22             -              -              
-              -              -              -              15             -              -              
-              -              -              -              22             -              -              
-              -              -              -              20             -              -              
-              -              -              -              27             -              -              
-              -              -              -              11             -              -              
-              -              -              -              11             -              -              
-              -              -              -              10             -              -              
-              -              -              -              11             -              -              
-              -              -              -              12             -              -              
-              -              -              -              13             -              -              
-              -              -              -              13             -              -              
-              -              -              -              12             -              -              
-              -              -              -              7              -              -              
-              -              -              -              10             -              -              
-              -              -              -              10             -              -              
-              -              -              -              7              -              -              
-              -              -              -              7              -              -              
-              -              -              -              11             -              -              
-              -              -              -              -              
