Avian          Bat            Canine         Equine         Human          Seal           Swine          
157            166            203            237            176            221            176            
96             179            212            217            140            219            182            
105            179            199            227            168            180            179            
90             -              194            203            163            178            129            
106            -              -              210            174            180            135            
150            -              -              201            173            203            176            
136            -              -              -              145            204            183            
142            -              -              -              164            195            230            
137            -              -              -              144            203            239            
139            -              -              -              156            197            -              
144            -              -              -              150            178            -              
138            -              -              -              159            196            -              
201            -              -              -              149            200            -              
195            -              -              -              139            206            -              
202            -              -              -              140            199            -              
230            -              -              -              169            182            -              
217            -              -              -              137            188            -              
204            -              -              -              179            179            -              
161            -              -              -              176            -              -              
147            -              -              -              153            -              -              
143            -              -              -              147            -              -              
168            -              -              -              163            -              -              
164            -              -              -              134            -              -              
152            -              -              -              139            -              -              
154            -              -              -              162            -              -              
172            -              -              -              141            -              -              
179            -              -              -              166            -              -              
154            -              -              -              167            -              -              
155            -              -              -              144            -              -              
134            -              -              -              151            -              -              
174            -              -              -              166            -              -              
151            -              -              -              173            -              -              
167            -              -              -              157            -              -              
185            -              -              -              167            -              -              
148            -              -              -              190            -              -              
150            -              -              -              203            -              -              
153            -              -              -              167            -              -              
145            -              -              -              117            -              -              
154            -              -              -              131            -              -              
137            -              -              -              175            -              -              
144            -              -              -              153            -              -              
141            -              -              -              135            -              -              
151            -              -              -              121            -              -              
182            -              -              -              136            -              -              
188            -              -              -              129            -              -              
202            -              -              -              167            -              -              
156            -              -              -              144            -              -              
199            -              -              -              147            -              -              
199            -              -              -              135            -              -              
149            -              -              -              135            -              -              
149            -              -              -              137            -              -              
143            -              -              -              214            -              -              
210            -              -              -              228            -              -              
130            -              -              -              207            -              -              
173            -              -              -              224            -              -              
178            -              -              -              227            -              -              
-              -              -              -              208            -              -              
-              -              -              -              217            -              -              
-              -              -              -              222            -              -              
-              -              -              -              221            -              -              
-              -              -              -              216            -              -              
-              -              -              -              221            -              -              
-              -              -              -              200            -              -              
-              -              -              -              224            -              -              
-              -              -              -              223            -              -              
-              -              -              -              201            -              -              
-              -              -              -              209            -              -              
-              -              -              -              211            -              -              
-              -              -              -              223            -              -              
-              -              -              -              226            -              -              
-              -              -              -              194            -              -              
-              -              -              -              224            -              -              
-              -              -              -              237            -              -              
-              -              -              -              213            -              -              
-              -              -              -              210            -              -              
-              -              -              -              247            -              -              
-              -              -              -              225            -              -              
-              -              -              -              251            -              -              
-              -              -              -              249            -              -              
-              -              -              -              256            -              -              
-              -              -              -              254            -              -              
-              -              -              -              202            -              -              
-              -              -              -              217            -              -              
-              -              -              -              209            -              -              
-              -              -              -              255            -              -              
-              -              -              -              258            -              -              
-              -              -              -              207            -              -              
-              -              -              -              222            -              -              
-              -              -              -              203            -              -              
-              -              -              -              234            -              -              
-              -              -              -              258            -              -              
-              -              -              -              208            -              -              
-              -              -              -              210            -              -              
-              -              -              -              251            -              -              
-              -              -              -              242            -              -              
-              -              -              -              204            -              -              
-              -              -              -              185            -              -              
-              -              -              -              203            -              -              
-              -              -              -              187            -              -              
-              -              -              -              195            -              -              
-              -              -              -              218            -              -              
-              -              -              -              225            -              -              
-              -              -              -              244            -              -              
-              -              -              -              205            -              -              
-              -              -              -              179            -              -              
-              -              -              -              137            -              -              
-              -              -              -              148            -              -              
-              -              -              -              150            -              -              
-              -              -              -              153            -              -              
-              -              -              -              151            -              -              
-              -              -              -              117            -              -              
-              -              -              -              166            -              -              
-              -              -              -              151            -              -              
-              -              -              -              129            -              -              
-              -              -              -              149            -              -              
-              -              -              -              171            -              -              
-              -              -              -              128            -              -              
-              -              -              -              167            -              -              
-              -              -              -              146            -              -              
-              -              -              -              125            -              -              
-              -              -              -              160            -              -              
-              -              -              -              142            -              -              
-              -              -              -              133            -              -              
-              -              -              -              156            -              -              
-              -              -              -              172            -              -              
-              -              -              -              169            -              -              
-              -              -              -              166            -              -              
-              -              -              -              163            -              -              
-              -              -              -              173            -              -              
-              -              -              -              163            -              -              
-              -              -              -              163            -              -              
-              -              -              -              160            -              -              
-              -              -              -              146            -              -              
-              -              -              -              160            -              -              
-              -              -              -              158            -              -              
-              -              -              -              160            -              -              
-              -              -              -              156            -              -              
-              -              -              -              168            -              -              
-              -              -              -              137            -              -              
-              -              -              -              129            -              -              
-              -              -              -              133            -              -              
-              -              -              -              133            -              -              
-              -              -              -              119            -              -              
-              -              -              -              143            -              -              
-              -              -              -              152            -              -              
-              -              -              -              154            -              -              
-              -              -              -              141            -              -              
-              -              -              -              156            -              -              
-              -              -              -              145            -              -              
-              -              -              -              133            -              -              
-              -              -              -              133            -              -              
-              -              -              -              138            -              -              
-              -              -              -              156            -              -              
-              -              -              -              134            -              -              
-              -              -              -              153            -              -              
-              -              -              -              147            -              -              
-              -              -              -              126            -              -              
-              -              -              -              143            -              -              
-              -              -              -              145            -              -              
-              -              -              -              192            -              -              
-              -              -              -              191            -              -              
-              -              -              -              202            -              -              
-              -              -              -              199            -              -              
-              -              -              -              202            -              -              
-              -              -              -              196            -              -              
-              -              -              -              205            -              -              
-              -              -              -              184            -              -              
-              -              -              -              194            -              -              
-              -              -              -              152            -              -              
-              -              -              -              182            -              -              
-              -              -              -              159            -              -              
-              -              -              -              180            -              -              
-              -              -              -              159            -              -              
-              -              -              -              -              
