Avian          Bat            Canine         Equine         Human          Seal           Swine          
1128           1237           994            1119           1276           1123           1220           
811            1135           1051           991            1257           1088           1231           
746            1237           1011           1058           1259           990            1228           
822            -              987            1001           1297           962            1033           
760            -              -              935            1249           954            1049           
1046           -              -              982            1318           992            1019           
1056           -              -              -              1301           1021           1043           
1011           -              -              -              1248           869            1064           
1041           -              -              -              1279           912            1102           
1051           -              -              -              1251           873            -              
943            -              -              -              1254           844            -              
1143           -              -              -              1307           938            -              
1114           -              -              -              1245           845            -              
1170           -              -              -              1069           903            -              
1114           -              -              -              1228           839            -              
1108           -              -              -              1218           809            -              
1072           -              -              -              1351           808            -              
1060           -              -              -              1428           883            -              
1190           -              -              -              1220           -              -              
1092           -              -              -              1187           -              -              
1090           -              -              -              1195           -              -              
1162           -              -              -              1106           -              -              
1143           -              -              -              1321           -              -              
1132           -              -              -              1115           -              -              
1158           -              -              -              1219           -              -              
1063           -              -              -              1267           -              -              
1136           -              -              -              1061           -              -              
1080           -              -              -              1308           -              -              
876            -              -              -              1278           -              -              
1104           -              -              -              1197           -              -              
1141           -              -              -              1271           -              -              
1086           -              -              -              1287           -              -              
1119           -              -              -              1170           -              -              
1131           -              -              -              1201           -              -              
1029           -              -              -              1334           -              -              
1106           -              -              -              1286           -              -              
1218           -              -              -              1238           -              -              
1236           -              -              -              860            -              -              
1269           -              -              -              825            -              -              
1219           -              -              -              1149           -              -              
1239           -              -              -              1083           -              -              
1115           -              -              -              837            -              -              
1225           -              -              -              870            -              -              
840            -              -              -              1062           -              -              
890            -              -              -              1083           -              -              
761            -              -              -              948            -              -              
764            -              -              -              1036           -              -              
911            -              -              -              1134           -              -              
840            -              -              -              986            -              -              
1346           -              -              -              1143           -              -              
1202           -              -              -              1003           -              -              
1160           -              -              -              1229           -              -              
986            -              -              -              1242           -              -              
1036           -              -              -              1031           -              -              
1210           -              -              -              1153           -              -              
1202           -              -              -              1154           -              -              
-              -              -              -              1121           -              -              
-              -              -              -              1135           -              -              
-              -              -              -              1127           -              -              
-              -              -              -              1143           -              -              
-              -              -              -              1171           -              -              
-              -              -              -              1135           -              -              
-              -              -              -              1097           -              -              
-              -              -              -              1101           -              -              
-              -              -              -              1144           -              -              
-              -              -              -              1115           -              -              
-              -              -              -              1130           -              -              
-              -              -              -              1199           -              -              
-              -              -              -              1115           -              -              
-              -              -              -              1128           -              -              
-              -              -              -              1122           -              -              
-              -              -              -              1156           -              -              
-              -              -              -              1205           -              -              
-              -              -              -              1164           -              -              
-              -              -              -              1107           -              -              
-              -              -              -              1183           -              -              
-              -              -              -              1137           -              -              
-              -              -              -              1144           -              -              
-              -              -              -              1163           -              -              
-              -              -              -              1157           -              -              
-              -              -              -              1172           -              -              
-              -              -              -              1028           -              -              
-              -              -              -              1176           -              -              
-              -              -              -              1162           -              -              
-              -              -              -              1111           -              -              
-              -              -              -              1169           -              -              
-              -              -              -              1245           -              -              
-              -              -              -              1133           -              -              
-              -              -              -              1117           -              -              
-              -              -              -              1132           -              -              
-              -              -              -              1123           -              -              
-              -              -              -              1022           -              -              
-              -              -              -              1062           -              -              
-              -              -              -              1144           -              -              
-              -              -              -              1222           -              -              
-              -              -              -              1029           -              -              
-              -              -              -              1147           -              -              
-              -              -              -              1055           -              -              
-              -              -              -              1112           -              -              
-              -              -              -              908            -              -              
-              -              -              -              1101           -              -              
-              -              -              -              1116           -              -              
-              -              -              -              1199           -              -              
-              -              -              -              1032           -              -              
-              -              -              -              1230           -              -              
-              -              -              -              1193           -              -              
-              -              -              -              1130           -              -              
-              -              -              -              1234           -              -              
