Avian          Bat            Canine         Equine         Human          Seal           Swine          
1565           1631           1255           1564           1751           1512           1642           
1106           1579           1423           1362           1761           1449           1635           
1040           1739           1377           1422           1734           1345           1693           
1095           -              1306           1368           1805           1325           1430           
1022           -              -              1294           1721           1300           1450           
1468           -              -              1340           1849           1363           1378           
1500           -              -              -              1771           1400           1416           
1388           -              -              -              1685           1224           1421           
1549           -              -              -              1758           1256           1456           
1541           -              -              -              1703           1247           -              
1401           -              -              -              1583           1192           -              
1640           -              -              -              1778           1273           -              
1516           -              -              -              1709           1191           -              
1544           -              -              -              1449           1267           -              
1517           -              -              -              1654           1206           -              
1472           -              -              -              1668           1156           -              
1391           -              -              -              1731           1192           -              
1399           -              -              -              1975           1234           -              
1718           -              -              -              1673           -              -              
1346           -              -              -              1584           -              -              
1538           -              -              -              1531           -              -              
1623           -              -              -              1541           -              -              
1622           -              -              -              1736           -              -              
1585           -              -              -              1520           -              -              
1454           -              -              -              1625           -              -              
1538           -              -              -              1675           -              -              
1666           -              -              -              1438           -              -              
1571           -              -              -              1701           -              -              
1259           -              -              -              1710           -              -              
1396           -              -              -              1598           -              -              
1597           -              -              -              1658           -              -              
1529           -              -              -              1764           -              -              
1595           -              -              -              1578           -              -              
1618           -              -              -              1536           -              -              
1474           -              -              -              1800           -              -              
1496           -              -              -              1748           -              -              
1671           -              -              -              1642           -              -              
1554           -              -              -              1151           -              -              
1618           -              -              -              1088           -              -              
1669           -              -              -              1578           -              -              
1665           -              -              -              1355           -              -              
1534           -              -              -              1110           -              -              
1601           -              -              -              1137           -              -              
1143           -              -              -              1540           -              -              
1235           -              -              -              1537           -              -              
1099           -              -              -              1416           -              -              
1071           -              -              -              1471           -              -              
1254           -              -              -              1583           -              -              
1144           -              -              -              1429           -              -              
1678           -              -              -              1632           -              -              
1608           -              -              -              1433           -              -              
1548           -              -              -              1631           -              -              
1367           -              -              -              1651           -              -              
1366           -              -              -              1384           -              -              
1711           -              -              -              1515           -              -              
1666           -              -              -              1534           -              -              
-              -              -              -              1478           -              -              
-              -              -              -              1510           -              -              
-              -              -              -              1469           -              -              
-              -              -              -              1505           -              -              
-              -              -              -              1532           -              -              
-              -              -              -              1476           -              -              
-              -              -              -              1447           -              -              
-              -              -              -              1457           -              -              
-              -              -              -              1521           -              -              
-              -              -              -              1478           -              -              
-              -              -              -              1495           -              -              
-              -              -              -              1601           -              -              
-              -              -              -              1467           -              -              
-              -              -              -              1482           -              -              
-              -              -              -              1468           -              -              
-              -              -              -              1528           -              -              
-              -              -              -              1593           -              -              
