Avian          Bat            Canine         Equine         Human          Seal           Swine          
9              3              12             8              9              2              10             
8              11             13             4              9              4              12             
3              15             2              7              9              9              12             
12             -              9              3              11             5              10             
9              -              -              9              9              3              9              
9              -              -              6              10             8              9              
9              -              -              -              9              7              12             
8              -              -              -              9              7              0              
9              -              -              -              9              8              0              
9              -              -              -              9              7              -              
9              -              -              -              7              7              -              
9              -              -              -              10             7              -              
4              -              -              -              10             7              -              
5              -              -              -              11             10             -              
4              -              -              -              9              9              -              
3              -              -              -              9              8              -              
3              -              -              -              6              8              -              
3              -              -              -              7              2              -              
6              -              -              -              9              -              -              
6              -              -              -              6              -              -              
6              -              -              -              9              -              -              
6              -              -              -              9              -              -              
6              -              -              -              9              -              -              
6              -              -              -              9              -              -              
6              -              -              -              11             -              -              
6              -              -              -              7              -              -              
6              -              -              -              9              -              -              
6              -              -              -              8              -              -              
6              -              -              -              10             -              -              
6              -              -              -              7              -              -              
6              -              -              -              10             -              -              
6              -              -              -              12             -              -              
6              -              -              -              13             -              -              
6              -              -              -              9              -              -              
6              -              -              -              9              -              -              
9              -              -              -              12             -              -              
7              -              -              -              10             -              -              
6              -              -              -              7              -              -              
6              -              -              -              8              -              -              
6              -              -              -              7              -              -              
6              -              -              -              3              -              -              
6              -              -              -              6              -              -              
9              -              -              -              6              -              -              
7              -              -              -              13             -              -              
6              -              -              -              11             -              -              
6              -              -              -              5              -              -              
7              -              -              -              13             -              -              
6              -              -              -              13             -              -              
9              -              -              -              12             -              -              
6              -              -              -              11             -              -              
2              -              -              -              7              -              -              
2              -              -              -              4              -              -              
0              -              -              -              3              -              -              
3              -              -              -              11             -              -              
6              -              -              -              8              -              -              
6              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              9              -              -              
-              -              -              -              6              -              -              
-              -              -              -              2              -              -              
-              -              -              -              3              -              -              
-              -              -              -              7              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              2              -              -              
-              -              -              -              13             -              -              
-              -              -              -              3              -              -              
-              -              -              -              6              -              -              
-              -              -              -              5              -              -              
-              -              -              -              6              -              -              
-              -              -              -              2              -              -              
-              -              -              -              5              -              -              
-              -              -              -              4              -              -              
-              -              -              -              3              -              -              
-              -              -              -              8              -              -              
-              -              -              -              6              -              -              
-              -              -              -              5              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              5              -              -              
-              -              -              -              4              -              -              
-              -              -              -              2              -              -              
-              -              -              -              3              -              -              
-              -              -              -              6              -              -              
-              -              -              -              21             -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              0              -              -              
-              -              -              -              9              -              -              
-              -              -              -              4              -              -              
-              -              -              -              11             -              -              
-              -              -              -              6              -              -              
-              -              -              -              0              -              -              
-              -              -              -              10             -              -              
-              -              -              -              1              -              -              
-              -              -              -              2              -              -              
-              -              -              -              1              -              -              
-              -              -              -              4              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              5              -              -              
-              -              -              -              6              -              -              
-              -              -              -              10             -              -              
-              -              -              -              6              -              -              
-              -              -              -              10             -              -              
-              -              -              -              16             -              -              
-              -              -              -              6              -              -              
-              -              -              -              11             -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              12             -              -              
-              -              -              -              5              -              -              
-              -              -              -              9              -              -              
-              -              -              -              5              -              -              
-              -              -              -              3              -              -              
-              -              -              -              12             -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              14             -              -              
-              -              -              -              9              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              7              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              8              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              8              -              -              
-              -              -              -              6              -              -              
-              -              -              -              9              -              -              
-              -              -              -              3              -              -              
-              -              -              -              2              -              -              
-              -              -              -              0              -              -              
-              -              -              -              2              -              -              
-              -              -              -              6              -              -              
-              -              -              -              5              -              -              
-              -              -              -              0              -              -              
-              -              -              -              3              -              -              
-              -              -              -              6              -              -              
-              -              -              -              3              -              -              
-              -              -              -              18             -              -              
-              -              -              -              2              -              -              
-              -              -              -              3              -              -              
-              -              -              -              5              -              -              
-              -              -              -              6              -              -              
-              -              -              -              2              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              3              -              -              
-              -              -              -              7              -              -              
-              -              -              -              3              -              -              
-              -              -              -              2              -              -              
-              -              -              -              2              -              -              
-              -              -              -              3              -              -              
-              -              -              -              7              -              -              
-              -              -              -              8              -              -              
-              -              -              -              8              -              -              
-              -              -              -              8              -              -              
-              -              -              -              11             -              -              
-              -              -              -              8              -              -              
-              -              -              -              8              -              -              
-              -              -              -              8              -              -              
-              -              -              -              8              -              -              
-              -              -              -              6              -              -              
-              -              -              -              7              -              -              
-              -              -              -              8              -              -              
-              -              -              -              7              -              -              
-              -              -              -              5              -              -              
-              -              -              -              -              
