Avian          Bat            Canine         Equine         Human          Seal           Swine          
42             61             51             56             75             58             82             
39             59             45             66             68             61             79             
30             63             63             57             65             80             71             
33             -              40             62             61             70             47             
37             -              -              48             60             74             62             
59             -              -              47             67             102            58             
60             -              -              -              63             96             55             
60             -              -              -              66             101            52             
61             -              -              -              68             88             67             
69             -              -              -              68             97             -              
66             -              -              -              35             94             -              
55             -              -              -              51             93             -              
35             -              -              -              58             92             -              
34             -              -              -              43             98             -              
35             -              -              -              58             98             -              
62             -              -              -              56             73             -              
57             -              -              -              69             88             -              
60             -              -              -              58             93             -              
66             -              -              -              61             -              -              
62             -              -              -              66             -              -              
60             -              -              -              37             -              -              
60             -              -              -              51             -              -              
63             -              -              -              55             -              -              
65             -              -              -              60             -              -              
62             -              -              -              62             -              -              
58             -              -              -              59             -              -              
61             -              -              -              58             -              -              
71             -              -              -              66             -              -              
59             -              -              -              52             -              -              
65             -              -              -              69             -              -              
62             -              -              -              69             -              -              
64             -              -              -              54             -              -              
67             -              -              -              59             -              -              
60             -              -              -              58             -              -              
68             -              -              -              61             -              -              
54             -              -              -              63             -              -              
66             -              -              -              57             -              -              
80             -              -              -              42             -              -              
81             -              -              -              36             -              -              
63             -              -              -              66             -              -              
67             -              -              -              45             -              -              
88             -              -              -              39             -              -              
92             -              -              -              36             -              -              
89             -              -              -              80             -              -              
94             -              -              -              86             -              -              
87             -              -              -              71             -              -              
77             -              -              -              64             -              -              
95             -              -              -              56             -              -              
65             -              -              -              64             -              -              
63             -              -              -              79             -              -              
54             -              -              -              77             -              -              
54             -              -              -              65             -              -              
57             -              -              -              71             -              -              
115            -              -              -              60             -              -              
70             -              -              -              59             -              -              
73             -              -              -              61             -              -              
-              -              -              -              58             -              -              
-              -              -              -              58             -              -              
-              -              -              -              62             -              -              
-              -              -              -              63             -              -              
-              -              -              -              63             -              -              
-              -              -              -              64             -              -              
-              -              -              -              70             -              -              
-              -              -              -              59             -              -              
-              -              -              -              62             -              -              
-              -              -              -              67             -              -              
-              -              -              -              66             -              -              
-              -              -              -              63             -              -              
-              -              -              -              67             -              -              
-              -              -              -              62             -              -              
-              -              -              -              62             -              -              
-              -              -              -              58             -              -              
-              -              -              -              58             -              -              
-              -              -              -              64             -              -              
-              -              -              -              61             -              -              
-              -              -              -              82             -              -              
-              -              -              -              56             -              -              
-              -              -              -              81             -              -              
-              -              -              -              82             -              -              
-              -              -              -              79             -              -              
-              -              -              -              81             -              -              
-              -              -              -              61             -              -              
-              -              -              -              60             -              -              
-              -              -              -              63             -              -              
-              -              -              -              90             -              -              
-              -              -              -              88             -              -              
-              -              -              -              81             -              -              
-              -              -              -              63             -              -              
-              -              -              -              48             -              -              
-              -              -              -              87             -              -              
-              -              -              -              105            -              -              
-              -              -              -              76             -              -              
-              -              -              -              55             -              -              
-              -              -              -              84             -              -              
-              -              -              -              93             -              -              
-              -              -              -              64             -              -              
-              -              -              -              66             -              -              
-              -              -              -              70             -              -              
-              -              -              -              63             -              -              
-              -              -              -              36             -              -              
-              -              -              -              60             -              -              
-              -              -              -              60             -              -              
-              -              -              -              62             -              -              
-              -              -              -              57             -              -              
-              -              -              -              80             -              -              
-              -              -              -              67             -              -              
-              -              -              -              56             -              -              
-              -              -              -              60             -              -              
-              -              -              -              65             -              -              
-              -              -              -              60             -              -              
-              -              -              -              41             -              -              
-              -              -              -              54             -              -              
-              -              -              -              60             -              -              
-              -              -              -              55             -              -              
-              -              -              -              58             -              -              
-              -              -              -              72             -              -              
-              -              -              -              74             -              -              
-              -              -              -              68             -              -              
-              -              -              -              66             -              -              
-              -              -              -              79             -              -              
-              -              -              -              82             -              -              
-              -              -              -              46             -              -              
-              -              -              -              48             -              -              
-              -              -              -              64             -              -              
-              -              -              -              86             -              -              
-              -              -              -              85             -              -              
-              -              -              -              91             -              -              
-              -              -              -              89             -              -              
-              -              -              -              89             -              -              
-              -              -              -              86             -              -              
-              -              -              -              91             -              -              
-              -              -              -              82             -              -              
-              -              -              -              82             -              -              
-              -              -              -              83             -              -              
-              -              -              -              80             -              -              
-              -              -              -              103            -              -              
-              -              -              -              105            -              -              
-              -              -              -              103            -              -              
-              -              -              -              106            -              -              
-              -              -              -              111            -              -              
-              -              -              -              107            -              -              
-              -              -              -              115            -              -              
-              -              -              -              118            -              -              
-              -              -              -              107            -              -              
-              -              -              -              110            -              -              
-              -              -              -              101            -              -              
-              -              -              -              117            -              -              
-              -              -              -              117            -              -              
-              -              -              -              118            -              -              
-              -              -              -              109            -              -              
-              -              -              -              95             -              -              
-              -              -              -              113            -              -              
-              -              -              -              117            -              -              
-              -              -              -              116            -              -              
-              -              -              -              100            -              -              
-              -              -              -              98             -              -              
-              -              -              -              110            -              -              
-              -              -              -              109            -              -              
-              -              -              -              102            -              -              
-              -              -              -              101            -              -              
-              -              -              -              97             -              -              
-              -              -              -              97             -              -              
-              -              -              -              99             -              -              
-              -              -              -              84             -              -              
-              -              -              -              103            -              -              
-              -              -              -              84             -              -              
-              -              -              -              96             -              -              
-              -              -              -              86             -              -              
-              -              -              -              82             -              -              
-              -              -              -              101            -              -              
-              -              -              -              77             -              -              
-              -              -              -              90             -              -              
-              -              -              -              78             -              -              
-              -              -              -              -              
