Avian          Bat            Canine         Equine         Human          Seal           Swine          
126            141            166            184            170            195            178            
83             172            158            202            134            205            174            
60             183            190            199            140            194            158            
72             -              147            185            156            169            131            
86             -              -              152            131            180            131            
139            -              -              169            147            211            193            
138            -              -              -              146            207            203            
129            -              -              -              141            204            204            
139            -              -              -              143            192            214            
145            -              -              -              148            210            -              
138            -              -              -              89             190            -              
119            -              -              -              144            200            -              
180            -              -              -              156            206            -              
173            -              -              -              105            197            -              
180            -              -              -              125            198            -              
208            -              -              -              129            172            -              
217            -              -              -              129            199            -              
210            -              -              -              134            163            -              
143            -              -              -              144            -              -              
119            -              -              -              145            -              -              
143            -              -              -              113            -              -              
138            -              -              -              133            -              -              
136            -              -              -              117            -              -              
147            -              -              -              142            -              -              
126            -              -              -              141            -              -              
131            -              -              -              140            -              -              
152            -              -              -              156            -              -              
166            -              -              -              150            -              -              
131            -              -              -              139            -              -              
123            -              -              -              141            -              -              
149            -              -              -              150            -              -              
146            -              -              -              153            -              -              
150            -              -              -              138            -              -              
141            -              -              -              129            -              -              
145            -              -              -              151            -              -              
125            -              -              -              153            -              -              
128            -              -              -              132            -              -              
159            -              -              -              123            -              -              
166            -              -              -              123            -              -              
123            -              -              -              132            -              -              
128            -              -              -              141            -              -              
137            -              -              -              109            -              -              
199            -              -              -              119            -              -              
186            -              -              -              141            -              -              
197            -              -              -              149            -              -              
194            -              -              -              146            -              -              
169            -              -              -              136            -              -              
235            -              -              -              119            -              -              
159            -              -              -              123            -              -              
160            -              -              -              153            -              -              
121            -              -              -              136            -              -              
128            -              -              -              222            -              -              
191            -              -              -              209            -              -              
239            -              -              -              213            -              -              
189            -              -              -              201            -              -              
196            -              -              -              194            -              -              
-              -              -              -              197            -              -              
-              -              -              -              206            -              -              
-              -              -              -              199            -              -              
-              -              -              -              196            -              -              
-              -              -              -              193            -              -              
-              -              -              -              206            -              -              
-              -              -              -              199            -              -              
-              -              -              -              185            -              -              
-              -              -              -              184            -              -              
-              -              -              -              209            -              -              
-              -              -              -              202            -              -              
-              -              -              -              203            -              -              
-              -              -              -              195            -              -              
-              -              -              -              196            -              -              
-              -              -              -              210            -              -              
-              -              -              -              195            -              -              
-              -              -              -              194            -              -              
-              -              -              -              200            -              -              
-              -              -              -              186            -              -              
-              -              -              -              255            -              -              
-              -              -              -              190            -              -              
-              -              -              -              252            -              -              
-              -              -              -              255            -              -              
-              -              -              -              252            -              -              
-              -              -              -              251            -              -              
-              -              -              -              191            -              -              
-              -              -              -              197            -              -              
-              -              -              -              204            -              -              
-              -              -              -              243            -              -              
-              -              -              -              264            -              -              
-              -              -              -              224            -              -              
-              -              -              -              183            -              -              
-              -              -              -              174            -              -              
-              -              -              -              230            -              -              
-              -              -              -              271            -              -              
-              -              -              -              202            -              -              
-              -              -              -              188            -              -              
-              -              -              -              236            -              -              
-              -              -              -              268            -              -              
-              -              -              -              190            -              -              
-              -              -              -              184            -              -              
-              -              -              -              196            -              -              
-              -              -              -              187            -              -              
-              -              -              -              125            -              -              
-              -              -              -              185            -              -              
-              -              -              -              189            -              -              
-              -              -              -              196            -              -              
-              -              -              -              169            -              -              
-              -              -              -              180            -              -              
-              -              -              -              151            -              -              
-              -              -              -              122            -              -              
-              -              -              -              146            -              -              
-              -              -              -              154            -              -              
-              -              -              -              131            -              -              
-              -              -              -              131            -              -              
-              -              -              -              132            -              -              
-              -              -              -              132            -              -              
-              -              -              -              138            -              -              
-              -              -              -              130            -              -              
-              -              -              -              167            -              -              
-              -              -              -              155            -              -              
-              -              -              -              167            -              -              
-              -              -              -              135            -              -              
-              -              -              -              162            -              -              
-              -              -              -              169            -              -              
-              -              -              -              114            -              -              
-              -              -              -              116            -              -              
-              -              -              -              159            -              -              
-              -              -              -              183            -              -              
-              -              -              -              172            -              -              
-              -              -              -              188            -              -              
-              -              -              -              189            -              -              
-              -              -              -              187            -              -              
-              -              -              -              166            -              -              
-              -              -              -              190            -              -              
-              -              -              -              179            -              -              
-              -              -              -              164            -              -              
-              -              -              -              169            -              -              
-              -              -              -              159            -              -              
-              -              -              -              190            -              -              
-              -              -              -              188            -              -              
-              -              -              -              193            -              -              
-              -              -              -              193            -              -              
-              -              -              -              213            -              -              
-              -              -              -              188            -              -              
-              -              -              -              204            -              -              
-              -              -              -              207            -              -              
-              -              -              -              184            -              -              
-              -              -              -              205            -              -              
-              -              -              -              221            -              -              
-              -              -              -              199            -              -              
-              -              -              -              215            -              -              
-              -              -              -              216            -              -              
-              -              -              -              193            -              -              
-              -              -              -              196            -              -              
-              -              -              -              175            -              -              
-              -              -              -              212            -              -              
-              -              -              -              205            -              -              
-              -              -              -              174            -              -              
-              -              -              -              185            -              -              
-              -              -              -              210            -              -              
-              -              -              -              197            -              -              
-              -              -              -              218            -              -              
-              -              -              -              210            -              -              
-              -              -              -              217            -              -              
-              -              -              -              212            -              -              
-              -              -              -              210            -              -              
-              -              -              -              201            -              -              
-              -              -              -              214            -              -              
-              -              -              -              206            -              -              
-              -              -              -              202            -              -              
-              -              -              -              202            -              -              
-              -              -              -              198            -              -              
-              -              -              -              206            -              -              
-              -              -              -              182            -              -              
-              -              -              -              189            -              -              
-              -              -              -              175            -              -              
-              -              -              -              -              
