Avian          Bat            Canine         Equine         Human          Seal           Swine          
9              0              3              6              14             3              21             
0              0              2              14             6              3              34             
0              0              4              18             15             11             18             
0              -              0              4              5              10             18             
1              -              -              0              14             8              20             
7              -              -              14             12             11             8              
5              -              -              -              10             7              11             
5              -              -              -              16             18             11             
7              -              -              -              9              15             14             
10             -              -              -              12             12             -              
9              -              -              -              7              14             -              
6              -              -              -              9              16             -              
17             -              -              -              11             19             -              
21             -              -              -              27             16             -              
17             -              -              -              7              13             -              
19             -              -              -              16             15             -              
25             -              -              -              9              15             -              
20             -              -              -              16             8              -              
11             -              -              -              8              -              -              
19             -              -              -              15             -              -              
8              -              -              -              9              -              -              
12             -              -              -              10             -              -              
11             -              -              -              17             -              -              
8              -              -              -              15             -              -              
16             -              -              -              7              -              -              
7              -              -              -              25             -              -              
7              -              -              -              3              -              -              
18             -              -              -              21             -              -              
18             -              -              -              12             -              -              
17             -              -              -              26             -              -              
14             -              -              -              21             -              -              
10             -              -              -              11             -              -              
18             -              -              -              12             -              -              
11             -              -              -              6              -              -              
21             -              -              -              12             -              -              
6              -              -              -              6              -              -              
7              -              -              -              9              -              -              
6              -              -              -              30             -              -              
3              -              -              -              17             -              -              
6              -              -              -              17             -              -              
6              -              -              -              15             -              -              
5              -              -              -              31             -              -              
3              -              -              -              32             -              -              
24             -              -              -              7              -              -              
23             -              -              -              10             -              -              
19             -              -              -              22             -              -              
19             -              -              -              17             -              -              
33             -              -              -              9              -              -              
23             -              -              -              9              -              -              
3              -              -              -              9              -              -              
12             -              -              -              11             -              -              
13             -              -              -              6              -              -              
7              -              -              -              11             -              -              
15             -              -              -              4              -              -              
24             -              -              -              20             -              -              
19             -              -              -              18             -              -              
-              -              -              -              15             -              -              
-              -              -              -              17             -              -              
-              -              -              -              15             -              -              
-              -              -              -              22             -              -              
-              -              -              -              16             -              -              
-              -              -              -              15             -              -              
-              -              -              -              16             -              -              
-              -              -              -              13             -              -              
-              -              -              -              12             -              -              
-              -              -              -              4              -              -              
-              -              -              -              9              -              -              
-              -              -              -              7              -              -              
-              -              -              -              15             -              -              
-              -              -              -              12             -              -              
-              -              -              -              14             -              -              
-              -              -              -              20             -              -              
-              -              -              -              13             -              -              
-              -              -              -              6              -              -              
-              -              -              -              10             -              -              
-              -              -              -              11             -              -              
-              -              -              -              16             -              -              
-              -              -              -              11             -              -              
-              -              -              -              11             -              -              
-              -              -              -              11             -              -              
-              -              -              -              10             -              -              
-              -              -              -              14             -              -              
-              -              -              -              16             -              -              
-              -              -              -              12             -              -              
-              -              -              -              17             -              -              
-              -              -              -              11             -              -              
-              -              -              -              2              -              -              
-              -              -              -              17             -              -              
-              -              -              -              3              -              -              
-              -              -              -              11             -              -              
-              -              -              -              24             -              -              
-              -              -              -              13             -              -              
-              -              -              -              5              -              -              
-              -              -              -              11             -              -              
-              -              -              -              15             -              -              
-              -              -              -              5              -              -              
-              -              -              -              8              -              -              
-              -              -              -              12             -              -              
-              -              -              -              4              -              -              
-              -              -              -              8              -              -              
-              -              -              -              12             -              -              
-              -              -              -              14             -              -              
-              -              -              -              11             -              -              
-              -              -              -              18             -              -              
-              -              -              -              9              -              -              
-              -              -              -              1              -              -              
-              -              -              -              6              -              -              
-              -              -              -              2              -              -              
-              -              -              -              6              -              -              
-              -              -              -              7              -              -              
-              -              -              -              0              -              -              
-              -              -              -              11             -              -              
-              -              -              -              6              -              -              
-              -              -              -              13             -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              4              -              -              
-              -              -              -              6              -              -              
-              -              -              -              13             -              -              
-              -              -              -              7              -              -              
-              -              -              -              8              -              -              
-              -              -              -              8              -              -              
-              -              -              -              9              -              -              
-              -              -              -              6              -              -              
-              -              -              -              10             -              -              
-              -              -              -              11             -              -              
-              -              -              -              11             -              -              
-              -              -              -              10             -              -              
-              -              -              -              10             -              -              
-              -              -              -              12             -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              13             -              -              
-              -              -              -              10             -              -              
-              -              -              -              17             -              -              
-              -              -              -              18             -              -              
-              -              -              -              23             -              -              
-              -              -              -              22             -              -              
-              -              -              -              15             -              -              
-              -              -              -              21             -              -              
-              -              -              -              17             -              -              
-              -              -              -              21             -              -              
-              -              -              -              16             -              -              
-              -              -              -              18             -              -              
-              -              -              -              9              -              -              
-              -              -              -              22             -              -              
-              -              -              -              16             -              -              
-              -              -              -              12             -              -              
-              -              -              -              11             -              -              
-              -              -              -              9              -              -              
-              -              -              -              7              -              -              
-              -              -              -              12             -              -              
-              -              -              -              4              -              -              
-              -              -              -              7              -              -              
-              -              -              -              6              -              -              
-              -              -              -              12             -              -              
-              -              -              -              20             -              -              
-              -              -              -              12             -              -              
-              -              -              -              22             -              -              
-              -              -              -              19             -              -              
-              -              -              -              14             -              -              
-              -              -              -              17             -              -              
-              -              -              -              16             -              -              
-              -              -              -              19             -              -              
-              -              -              -              19             -              -              
-              -              -              -              19             -              -              
-              -              -              -              13             -              -              
-              -              -              -              23             -              -              
-              -              -              -              15             -              -              
-              -              -              -              23             -              -              
-              -              -              -              9              -              -              
-              -              -              -              17             -              -              
-              -              -              -              24             -              -              
-              -              -              -              -              
