Avian          Bat            Canine         Equine         Human          Seal           Swine          
6              0              0              0              8              0              3              
0              0              0              10             0              0              13             
0              0              3              13             10             3              6              
0              -              0              3              2              2              9              
0              -              -              0              9              0              0              
0              -              -              9              8              2              2              
0              -              -              -              0              4              3              
0              -              -              -              12             7              3              
0              -              -              -              0              4              6              
1              -              -              -              0              1              -              
3              -              -              -              1              1              -              
0              -              -              -              6              3              -              
9              -              -              -              8              4              -              
11             -              -              -              16             5              -              
9              -              -              -              2              2              -              
5              -              -              -              11             3              -              
4              -              -              -              0              4              -              
6              -              -              -              7              1              -              
0              -              -              -              2              -              -              
0              -              -              -              6              -              -              
0              -              -              -              0              -              -              
1              -              -              -              8              -              -              
0              -              -              -              15             -              -              
0              -              -              -              15             -              -              
0              -              -              -              0              -              -              
0              -              -              -              16             -              -              
0              -              -              -              0              -              -              
0              -              -              -              15             -              -              
0              -              -              -              11             -              -              
0              -              -              -              18             -              -              
0              -              -              -              9              -              -              
1              -              -              -              8              -              -              
0              -              -              -              9              -              -              
0              -              -              -              0              -              -              
2              -              -              -              0              -              -              
0              -              -              -              3              -              -              
2              -              -              -              7              -              -              
0              -              -              -              18             -              -              
0              -              -              -              15             -              -              
0              -              -              -              12             -              -              
0              -              -              -              9              -              -              
0              -              -              -              19             -              -              
0              -              -              -              15             -              -              
8              -              -              -              0              -              -              
9              -              -              -              0              -              -              
7              -              -              -              0              -              -              
10             -              -              -              3              -              -              
15             -              -              -              0              -              -              
9              -              -              -              0              -              -              
0              -              -              -              0              -              -              
6              -              -              -              0              -              -              
6              -              -              -              0              -              -              
1              -              -              -              8              -              -              
0              -              -              -              0              -              -              
6              -              -              -              12             -              -              
3              -              -              -              8              -              -              
-              -              -              -              10             -              -              
-              -              -              -              10             -              -              
-              -              -              -              9              -              -              
-              -              -              -              14             -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              7              -              -              
-              -              -              -              6              -              -              
-              -              -              -              7              -              -              
-              -              -              -              3              -              -              
-              -              -              -              5              -              -              
-              -              -              -              0              -              -              
-              -              -              -              9              -              -              
-              -              -              -              8              -              -              
-              -              -              -              10             -              -              
-              -              -              -              13             -              -              
-              -              -              -              10             -              -              
-              -              -              -              0              -              -              
-              -              -              -              5              -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              11             -              -              
-              -              -              -              11             -              -              
-              -              -              -              6              -              -              
-              -              -              -              15             -              -              
-              -              -              -              9              -              -              
-              -              -              -              0              -              -              
-              -              -              -              11             -              -              
-              -              -              -              0              -              -              
-              -              -              -              6              -              -              
-              -              -              -              18             -              -              
-              -              -              -              13             -              -              
-              -              -              -              2              -              -              
-              -              -              -              9              -              -              
-              -              -              -              12             -              -              
-              -              -              -              4              -              -              
-              -              -              -              5              -              -              
-              -              -              -              7              -              -              
-              -              -              -              1              -              -              
-              -              -              -              2              -              -              
-              -              -              -              6              -              -              
-              -              -              -              9              -              -              
-              -              -              -              8              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              2              -              -              
-              -              -              -              1              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              1              -              -              
-              -              -              -              3              -              -              
-              -              -              -              0              -              -              
-              -              -              -              1              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              5              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              3              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              1              -              -              
-              -              -              -              1              -              -              
-              -              -              -              1              -              -              
-              -              -              -              1              -              -              
-              -              -              -              3              -              -              
-              -              -              -              1              -              -              
-              -              -              -              1              -              -              
-              -              -              -              2              -              -              
-              -              -              -              0              -              -              
-              -              -              -              2              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              3              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              9              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              6              -              -              
-              -              -              -              5              -              -              
-              -              -              -              7              -              -              
-              -              -              -              5              -              -              
-              -              -              -              7              -              -              
-              -              -              -              4              -              -              
-              -              -              -              6              -              -              
-              -              -              -              5              -              -              
-              -              -              -              11             -              -              
-              -              -              -              6              -              -              
-              -              -              -              8              -              -              
-              -              -              -              0              -              -              
-              -              -              -              5              -              -              
-              -              -              -              5              -              -              
-              -              -              -              -              
