Avian          Bat            Canine         Equine         Human          Seal           Swine          
34             24             94             100            45             110            55             
27             40             85             95             29             112            64             
45             50             93             107            36             55             62             
36             -              76             94             38             57             46             
54             -              -              73             36             56             47             
33             -              -              85             31             61             118            
29             -              -              -              62             48             114            
34             -              -              -              32             54             102            
33             -              -              -              60             61             91             
39             -              -              -              58             51             -              
28             -              -              -              66             54             -              
36             -              -              -              35             56             -              
120            -              -              -              32             53             -              
110            -              -              -              47             62             -              
120            -              -              -              29             57             -              
94             -              -              -              35             62             -              
92             -              -              -              40             63             -              
112            -              -              -              45             49             -              
49             -              -              -              36             -              -              
60             -              -              -              39             -              -              
52             -              -              -              39             -              -              
55             -              -              -              41             -              -              
59             -              -              -              40             -              -              
49             -              -              -              32             -              -              
56             -              -              -              38             -              -              
33             -              -              -              44             -              -              
46             -              -              -              41             -              -              
58             -              -              -              44             -              -              
53             -              -              -              35             -              -              
57             -              -              -              43             -              -              
52             -              -              -              43             -              -              
45             -              -              -              25             -              -              
66             -              -              -              44             -              -              
42             -              -              -              38             -              -              
60             -              -              -              34             -              -              
38             -              -              -              35             -              -              
43             -              -              -              33             -              -              
52             -              -              -              45             -              -              
49             -              -              -              35             -              -              
49             -              -              -              37             -              -              
57             -              -              -              24             -              -              
45             -              -              -              42             -              -              
52             -              -              -              44             -              -              
58             -              -              -              37             -              -              
57             -              -              -              35             -              -              
54             -              -              -              67             -              -              
65             -              -              -              66             -              -              
64             -              -              -              39             -              -              
75             -              -              -              37             -              -              
72             -              -              -              33             -              -              
64             -              -              -              52             -              -              
61             -              -              -              127            -              -              
74             -              -              -              113            -              -              
79             -              -              -              109            -              -              
66             -              -              -              111            -              -              
66             -              -              -              113            -              -              
-              -              -              -              105            -              -              
-              -              -              -              109            -              -              
-              -              -              -              100            -              -              
-              -              -              -              110            -              -              
-              -              -              -              104            -              -              
-              -              -              -              105            -              -              
-              -              -              -              104            -              -              
-              -              -              -              103            -              -              
-              -              -              -              100            -              -              
-              -              -              -              80             -              -              
-              -              -              -              99             -              -              
-              -              -              -              114            -              -              
-              -              -              -              106            -              -              
-              -              -              -              98             -              -              
-              -              -              -              103            -              -              
-              -              -              -              98             -              -              
-              -              -              -              92             -              -              
-              -              -              -              100            -              -              
-              -              -              -              88             -              -              
-              -              -              -              110            -              -              
-              -              -              -              103            -              -              
-              -              -              -              111            -              -              
-              -              -              -              104            -              -              
-              -              -              -              105            -              -              
-              -              -              -              113            -              -              
-              -              -              -              82             -              -              
-              -              -              -              122            -              -              
-              -              -              -              115            -              -              
-              -              -              -              113            -              -              
-              -              -              -              113            -              -              
-              -              -              -              80             -              -              
-              -              -              -              109            -              -              
-              -              -              -              113            -              -              
-              -              -              -              108            -              -              
-              -              -              -              118            -              -              
-              -              -              -              107            -              -              
-              -              -              -              104            -              -              
-              -              -              -              105            -              -              
-              -              -              -              120            -              -              
-              -              -              -              87             -              -              
-              -              -              -              90             -              -              
-              -              -              -              107            -              -              
-              -              -              -              80             -              -              
-              -              -              -              83             -              -              
-              -              -              -              95             -              -              
-              -              -              -              105            -              -              
-              -              -              -              115            -              -              
-              -              -              -              118            -              -              
-              -              -              -              56             -              -              
-              -              -              -              49             -              -              
-              -              -              -              60             -              -              
-              -              -              -              49             -              -              
-              -              -              -              46             -              -              
-              -              -              -              55             -              -              
-              -              -              -              33             -              -              
-              -              -              -              36             -              -              
-              -              -              -              56             -              -              
-              -              -              -              61             -              -              
-              -              -              -              48             -              -              
-              -              -              -              36             -              -              
-              -              -              -              43             -              -              
-              -              -              -              35             -              -              
-              -              -              -              58             -              -              
-              -              -              -              59             -              -              
-              -              -              -              55             -              -              
-              -              -              -              38             -              -              
-              -              -              -              46             -              -              
-              -              -              -              39             -              -              
-              -              -              -              63             -              -              
-              -              -              -              63             -              -              
-              -              -              -              56             -              -              
-              -              -              -              62             -              -              
-              -              -              -              54             -              -              
-              -              -              -              45             -              -              
-              -              -              -              61             -              -              
-              -              -              -              54             -              -              
-              -              -              -              51             -              -              
-              -              -              -              53             -              -              
-              -              -              -              48             -              -              
-              -              -              -              77             -              -              
-              -              -              -              72             -              -              
-              -              -              -              78             -              -              
-              -              -              -              78             -              -              
-              -              -              -              78             -              -              
-              -              -              -              54             -              -              
-              -              -              -              71             -              -              
-              -              -              -              55             -              -              
-              -              -              -              48             -              -              
-              -              -              -              72             -              -              
-              -              -              -              81             -              -              
-              -              -              -              75             -              -              
-              -              -              -              76             -              -              
-              -              -              -              72             -              -              
-              -              -              -              51             -              -              
-              -              -              -              86             -              -              
-              -              -              -              59             -              -              
-              -              -              -              75             -              -              
-              -              -              -              76             -              -              
-              -              -              -              66             -              -              
-              -              -              -              48             -              -              
-              -              -              -              94             -              -              
-              -              -              -              59             -              -              
-              -              -              -              82             -              -              
-              -              -              -              60             -              -              
-              -              -              -              47             -              -              
-              -              -              -              59             -              -              
-              -              -              -              60             -              -              
-              -              -              -              55             -              -              
-              -              -              -              64             -              -              
-              -              -              -              54             -              -              
-              -              -              -              47             -              -              
-              -              -              -              57             -              -              
-              -              -              -              70             -              -              
-              -              -              -              62             -              -              
-              -              -              -              63             -              -              
-              -              -              -              61             -              -              
-              -              -              -              68             -              -              
-              -              -              -              -              
