Avian          Bat            Canine         Equine         Human          Seal           Swine          
3              0              3              6              6              3              18             
0              0              2              4              6              3              21             
0              0              1              5              5              8              12             
0              -              0              1              3              8              9              
1              -              -              0              5              8              20             
7              -              -              5              4              9              6              
5              -              -              -              10             3              8              
5              -              -              -              4              11             8              
7              -              -              -              9              11             8              
9              -              -              -              12             11             -              
6              -              -              -              6              13             -              
6              -              -              -              3              13             -              
8              -              -              -              3              15             -              
10             -              -              -              11             11             -              
8              -              -              -              5              11             -              
14             -              -              -              5              12             -              
21             -              -              -              9              11             -              
14             -              -              -              9              7              -              
11             -              -              -              6              -              -              
19             -              -              -              9              -              -              
8              -              -              -              9              -              -              
11             -              -              -              2              -              -              
11             -              -              -              2              -              -              
8              -              -              -              0              -              -              
16             -              -              -              7              -              -              
7              -              -              -              9              -              -              
7              -              -              -              3              -              -              
18             -              -              -              6              -              -              
18             -              -              -              1              -              -              
17             -              -              -              8              -              -              
14             -              -              -              12             -              -              
9              -              -              -              3              -              -              
18             -              -              -              3              -              -              
11             -              -              -              6              -              -              
19             -              -              -              12             -              -              
6              -              -              -              3              -              -              
5              -              -              -              2              -              -              
6              -              -              -              12             -              -              
3              -              -              -              2              -              -              
6              -              -              -              5              -              -              
6              -              -              -              6              -              -              
5              -              -              -              12             -              -              
3              -              -              -              17             -              -              
16             -              -              -              7              -              -              
14             -              -              -              10             -              -              
12             -              -              -              22             -              -              
9              -              -              -              14             -              -              
18             -              -              -              9              -              -              
14             -              -              -              9              -              -              
3              -              -              -              9              -              -              
6              -              -              -              11             -              -              
7              -              -              -              6              -              -              
6              -              -              -              3              -              -              
15             -              -              -              4              -              -              
18             -              -              -              8              -              -              
16             -              -              -              10             -              -              
-              -              -              -              5              -              -              
-              -              -              -              7              -              -              
-              -              -              -              6              -              -              
-              -              -              -              8              -              -              
-              -              -              -              7              -              -              
-              -              -              -              6              -              -              
-              -              -              -              9              -              -              
-              -              -              -              7              -              -              
-              -              -              -              5              -              -              
-              -              -              -              1              -              -              
-              -              -              -              4              -              -              
-              -              -              -              7              -              -              
-              -              -              -              6              -              -              
-              -              -              -              4              -              -              
-              -              -              -              4              -              -              
-              -              -              -              7              -              -              
-              -              -              -              3              -              -              
-              -              -              -              6              -              -              
-              -              -              -              5              -              -              
-              -              -              -              2              -              -              
-              -              -              -              7              -              -              
-              -              -              -              2              -              -              
-              -              -              -              2              -              -              
-              -              -              -              2              -              -              
-              -              -              -              1              -              -              
-              -              -              -              3              -              -              
-              -              -              -              5              -              -              
-              -              -              -              6              -              -              
-              -              -              -              2              -              -              
-              -              -              -              2              -              -              
-              -              -              -              2              -              -              
-              -              -              -              6              -              -              
-              -              -              -              3              -              -              
-              -              -              -              5              -              -              
-              -              -              -              6              -              -              
-              -              -              -              0              -              -              
-              -              -              -              3              -              -              
-              -              -              -              2              -              -              
-              -              -              -              3              -              -              
-              -              -              -              1              -              -              
-              -              -              -              3              -              -              
-              -              -              -              5              -              -              
-              -              -              -              3              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              5              -              -              
-              -              -              -              3              -              -              
-              -              -              -              18             -              -              
-              -              -              -              9              -              -              
-              -              -              -              1              -              -              
-              -              -              -              6              -              -              
-              -              -              -              2              -              -              
-              -              -              -              4              -              -              
-              -              -              -              6              -              -              
-              -              -              -              0              -              -              
-              -              -              -              11             -              -              
-              -              -              -              6              -              -              
-              -              -              -              12             -              -              
-              -              -              -              6              -              -              
-              -              -              -              9              -              -              
-              -              -              -              3              -              -              
-              -              -              -              6              -              -              
-              -              -              -              13             -              -              
-              -              -              -              2              -              -              
-              -              -              -              8              -              -              
-              -              -              -              8              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              10             -              -              
-              -              -              -              10             -              -              
-              -              -              -              10             -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              8              -              -              
-              -              -              -              8              -              -              
-              -              -              -              11             -              -              
-              -              -              -              10             -              -              
-              -              -              -              15             -              -              
-              -              -              -              18             -              -              
-              -              -              -              23             -              -              
-              -              -              -              22             -              -              
-              -              -              -              15             -              -              
-              -              -              -              18             -              -              
-              -              -              -              17             -              -              
-              -              -              -              21             -              -              
-              -              -              -              16             -              -              
-              -              -              -              18             -              -              
-              -              -              -              9              -              -              
-              -              -              -              13             -              -              
-              -              -              -              16             -              -              
-              -              -              -              12             -              -              
-              -              -              -              11             -              -              
-              -              -              -              9              -              -              
-              -              -              -              7              -              -              
-              -              -              -              12             -              -              
-              -              -              -              4              -              -              
-              -              -              -              7              -              -              
-              -              -              -              6              -              -              
-              -              -              -              12             -              -              
-              -              -              -              20             -              -              
-              -              -              -              12             -              -              
-              -              -              -              22             -              -              
-              -              -              -              13             -              -              
-              -              -              -              9              -              -              
-              -              -              -              10             -              -              
-              -              -              -              11             -              -              
-              -              -              -              12             -              -              
-              -              -              -              15             -              -              
-              -              -              -              13             -              -              
-              -              -              -              8              -              -              
-              -              -              -              12             -              -              
-              -              -              -              9              -              -              
-              -              -              -              15             -              -              
-              -              -              -              9              -              -              
-              -              -              -              12             -              -              
-              -              -              -              19             -              -              
-              -              -              -              -              
