Avian          Bat            Canine         Equine         Human          Seal           Swine          
0              1              6              10             0              9              0              
0              0              14             8              0              9              0              
0              0              9              7              1              0              0              
0              -              11             9              0              0              1              
0              -              -              6              1              0              9              
2              -              -              5              0              0              4              
3              -              -              -              2              0              8              
1              -              -              -              0              0              9              
5              -              -              -              0              0              8              
6              -              -              -              0              0              -              
2              -              -              -              0              0              -              
0              -              -              -              0              0              -              
8              -              -              -              0              0              -              
11             -              -              -              0              0              -              
8              -              -              -              0              0              -              
9              -              -              -              1              0              -              
11             -              -              -              2              1              -              
9              -              -              -              0              0              -              
3              -              -              -              0              -              -              
0              -              -              -              0              -              -              
2              -              -              -              0              -              -              
1              -              -              -              0              -              -              
4              -              -              -              0              -              -              
1              -              -              -              0              -              -              
0              -              -              -              0              -              -              
2              -              -              -              0              -              -              
3              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
3              -              -              -              0              -              -              
6              -              -              -              0              -              -              
3              -              -              -              0              -              -              
6              -              -              -              3              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
1              -              -              -              0              -              -              
3              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
3              -              -              -              2              -              -              
4              -              -              -              4              -              -              
3              -              -              -              0              -              -              
2              -              -              -              8              -              -              
3              -              -              -              6              -              -              
0              -              -              -              6              -              -              
2              -              -              -              6              -              -              
0              -              -              -              0              -              -              
0              -              -              -              9              -              -              
9              -              -              -              9              -              -              
11             -              -              -              8              -              -              
0              -              -              -              12             -              -              
0              -              -              -              11             -              -              
-              -              -              -              12             -              -              
-              -              -              -              10             -              -              
-              -              -              -              12             -              -              
-              -              -              -              12             -              -              
-              -              -              -              11             -              -              
-              -              -              -              11             -              -              
-              -              -              -              9              -              -              
-              -              -              -              12             -              -              
-              -              -              -              12             -              -              
-              -              -              -              11             -              -              
-              -              -              -              12             -              -              
-              -              -              -              7              -              -              
-              -              -              -              12             -              -              
-              -              -              -              11             -              -              
-              -              -              -              9              -              -              
-              -              -              -              10             -              -              
-              -              -              -              9              -              -              
-              -              -              -              10             -              -              
-              -              -              -              10             -              -              
-              -              -              -              12             -              -              
-              -              -              -              7              -              -              
-              -              -              -              12             -              -              
-              -              -              -              9              -              -              
-              -              -              -              18             -              -              
-              -              -              -              12             -              -              
-              -              -              -              10             -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              12             -              -              
-              -              -              -              9              -              -              
-              -              -              -              12             -              -              
-              -              -              -              9              -              -              
-              -              -              -              12             -              -              
-              -              -              -              12             -              -              
-              -              -              -              12             -              -              
-              -              -              -              12             -              -              
-              -              -              -              8              -              -              
-              -              -              -              9              -              -              
-              -              -              -              5              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              11             -              -              
-              -              -              -              3              -              -              
-              -              -              -              11             -              -              
-              -              -              -              8              -              -              
-              -              -              -              8              -              -              
-              -              -              -              6              -              -              
-              -              -              -              5              -              -              
-              -              -              -              9              -              -              
-              -              -              -              3              -              -              
-              -              -              -              10             -              -              
-              -              -              -              10             -              -              
-              -              -              -              3              -              -              
-              -              -              -              12             -              -              
-              -              -              -              3              -              -              
-              -              -              -              0              -              -              
-              -              -              -              4              -              -              
-              -              -              -              0              -              -              
-              -              -              -              4              -              -              
-              -              -              -              6              -              -              
-              -              -              -              0              -              -              
-              -              -              -              2              -              -              
-              -              -              -              6              -              -              
-              -              -              -              2              -              -              
-              -              -              -              4              -              -              
-              -              -              -              0              -              -              
-              -              -              -              11             -              -              
-              -              -              -              4              -              -              
-              -              -              -              5              -              -              
-              -              -              -              5              -              -              
-              -              -              -              4              -              -              
-              -              -              -              4              -              -              
-              -              -              -              7              -              -              
-              -              -              -              5              -              -              
-              -              -              -              4              -              -              
-              -              -              -              3              -              -              
-              -              -              -              5              -              -              
-              -              -              -              4              -              -              
-              -              -              -              11             -              -              
-              -              -              -              11             -              -              
-              -              -              -              8              -              -              
-              -              -              -              9              -              -              
-              -              -              -              0              -              -              
-              -              -              -              11             -              -              
-              -              -              -              3              -              -              
-              -              -              -              7              -              -              
-              -              -              -              10             -              -              
-              -              -              -              13             -              -              
-              -              -              -              12             -              -              
-              -              -              -              9              -              -              
-              -              -              -              15             -              -              
-              -              -              -              8              -              -              
-              -              -              -              15             -              -              
-              -              -              -              13             -              -              
-              -              -              -              18             -              -              
-              -              -              -              12             -              -              
-              -              -              -              15             -              -              
-              -              -              -              12             -              -              
-              -              -              -              15             -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              17             -              -              
-              -              -              -              2              -              -              
-              -              -              -              2              -              -              
-              -              -              -              1              -              -              
-              -              -              -              6              -              -              
-              -              -              -              3              -              -              
-              -              -              -              0              -              -              
-              -              -              -              3              -              -              
-              -              -              -              1              -              -              
-              -              -              -              3              -              -              
-              -              -              -              0              -              -              
-              -              -              -              1              -              -              
-              -              -              -              2              -              -              
-              -              -              -              6              -              -              
-              -              -              -              3              -              -              
-              -              -              -              -              
