Avian          Bat            Canine         Equine         Human          Seal           Swine          
19             20             25             32             19             36             29             
15             27             22             34             23             29             33             
24             38             28             28             18             13             24             
18             -              19             28             13             12             23             
25             -              -              13             20             13             25             
23             -              -              30             16             17             32             
17             -              -              -              20             8              35             
19             -              -              -              17             16             29             
24             -              -              -              19             16             38             
25             -              -              -              22             12             -              
13             -              -              -              20             18             -              
22             -              -              -              12             17             -              
37             -              -              -              12             21             -              
34             -              -              -              32             17             -              
37             -              -              -              16             17             -              
40             -              -              -              17             18             -              
40             -              -              -              25             17             -              
40             -              -              -              24             10             -              
17             -              -              -              18             -              -              
25             -              -              -              25             -              -              
15             -              -              -              21             -              -              
24             -              -              -              14             -              -              
20             -              -              -              24             -              -              
20             -              -              -              21             -              -              
28             -              -              -              20             -              -              
19             -              -              -              26             -              -              
19             -              -              -              15             -              -              
41             -              -              -              24             -              -              
39             -              -              -              12             -              -              
33             -              -              -              29             -              -              
31             -              -              -              26             -              -              
25             -              -              -              9              -              -              
29             -              -              -              19             -              -              
20             -              -              -              19             -              -              
37             -              -              -              22             -              -              
17             -              -              -              12             -              -              
28             -              -              -              15             -              -              
32             -              -              -              36             -              -              
30             -              -              -              23             -              -              
24             -              -              -              18             -              -              
28             -              -              -              9              -              -              
25             -              -              -              33             -              -              
23             -              -              -              35             -              -              
25             -              -              -              26             -              -              
21             -              -              -              19             -              -              
20             -              -              -              50             -              -              
20             -              -              -              44             -              -              
24             -              -              -              22             -              -              
29             -              -              -              21             -              -              
21             -              -              -              20             -              -              
37             -              -              -              34             -              -              
39             -              -              -              35             -              -              
15             -              -              -              34             -              -              
23             -              -              -              31             -              -              
27             -              -              -              34             -              -              
27             -              -              -              42             -              -              
-              -              -              -              30             -              -              
-              -              -              -              32             -              -              
-              -              -              -              32             -              -              
-              -              -              -              34             -              -              
-              -              -              -              32             -              -              
-              -              -              -              34             -              -              
-              -              -              -              32             -              -              
-              -              -              -              33             -              -              
-              -              -              -              31             -              -              
-              -              -              -              16             -              -              
-              -              -              -              33             -              -              
-              -              -              -              32             -              -              
-              -              -              -              38             -              -              
-              -              -              -              30             -              -              
-              -              -              -              32             -              -              
-              -              -              -              25             -              -              
-              -              -              -              23             -              -              
-              -              -              -              31             -              -              
-              -              -              -              31             -              -              
-              -              -              -              29             -              -              
-              -              -              -              36             -              -              
-              -              -              -              28             -              -              
-              -              -              -              28             -              -              
-              -              -              -              31             -              -              
-              -              -              -              30             -              -              
-              -              -              -              24             -              -              
-              -              -              -              29             -              -              
-              -              -              -              27             -              -              
-              -              -              -              29             -              -              
-              -              -              -              25             -              -              
-              -              -              -              23             -              -              
-              -              -              -              35             -              -              
-              -              -              -              23             -              -              
-              -              -              -              33             -              -              
-              -              -              -              32             -              -              
-              -              -              -              20             -              -              
-              -              -              -              29             -              -              
-              -              -              -              29             -              -              
-              -              -              -              32             -              -              
-              -              -              -              10             -              -              
-              -              -              -              41             -              -              
-              -              -              -              34             -              -              
-              -              -              -              28             -              -              
-              -              -              -              25             -              -              
-              -              -              -              27             -              -              
-              -              -              -              29             -              -              
-              -              -              -              33             -              -              
-              -              -              -              39             -              -              
-              -              -              -              18             -              -              
-              -              -              -              24             -              -              
-              -              -              -              24             -              -              
-              -              -              -              25             -              -              
-              -              -              -              24             -              -              
-              -              -              -              22             -              -              
-              -              -              -              18             -              -              
-              -              -              -              17             -              -              
-              -              -              -              21             -              -              
-              -              -              -              34             -              -              
-              -              -              -              24             -              -              
-              -              -              -              12             -              -              
-              -              -              -              23             -              -              
-              -              -              -              14             -              -              
-              -              -              -              27             -              -              
-              -              -              -              33             -              -              
-              -              -              -              21             -              -              
-              -              -              -              20             -              -              
-              -              -              -              26             -              -              
-              -              -              -              19             -              -              
-              -              -              -              31             -              -              
-              -              -              -              30             -              -              
-              -              -              -              28             -              -              
-              -              -              -              30             -              -              
-              -              -              -              30             -              -              
-              -              -              -              25             -              -              
-              -              -              -              30             -              -              
-              -              -              -              27             -              -              
-              -              -              -              25             -              -              
-              -              -              -              25             -              -              
-              -              -              -              28             -              -              
-              -              -              -              7              -              -              
-              -              -              -              11             -              -              
-              -              -              -              13             -              -              
-              -              -              -              11             -              -              
-              -              -              -              24             -              -              
-              -              -              -              21             -              -              
-              -              -              -              21             -              -              
-              -              -              -              18             -              -              
-              -              -              -              19             -              -              
-              -              -              -              16             -              -              
-              -              -              -              20             -              -              
-              -              -              -              31             -              -              
-              -              -              -              18             -              -              
-              -              -              -              17             -              -              
-              -              -              -              15             -              -              
-              -              -              -              28             -              -              
-              -              -              -              20             -              -              
-              -              -              -              15             -              -              
-              -              -              -              18             -              -              
-              -              -              -              18             -              -              
-              -              -              -              21             -              -              
-              -              -              -              32             -              -              
-              -              -              -              19             -              -              
-              -              -              -              30             -              -              
-              -              -              -              22             -              -              
-              -              -              -              15             -              -              
-              -              -              -              18             -              -              
-              -              -              -              18             -              -              
-              -              -              -              21             -              -              
-              -              -              -              19             -              -              
-              -              -              -              20             -              -              
-              -              -              -              15             -              -              
-              -              -              -              21             -              -              
-              -              -              -              27             -              -              
-              -              -              -              22             -              -              
-              -              -              -              21             -              -              
-              -              -              -              25             -              -              
-              -              -              -              32             -              -              
-              -              -              -              -              
