Avian          Bat            Canine         Equine         Human          Seal           Swine          
6              6              6              6              4              6              4              
3              16             6              15             11             6              6              
3              27             11             6              5              0              6              
3              -              6              11             5              0              7              
6              -              -              5              6              0              9              
5              -              -              10             7              0              9              
4              -              -              -              3              0              11             
4              -              -              -              5              0              6              
7              -              -              -              3              0              13             
8              -              -              -              3              0              -              
1              -              -              -              4              0              -              
9              -              -              -              3              0              -              
6              -              -              -              3              0              -              
6              -              -              -              11             0              -              
6              -              -              -              5              0              -              
9              -              -              -              4              0              -              
7              -              -              -              10             0              -              
12             -              -              -              8              0              -              
0              -              -              -              4              -              -              
0              -              -              -              7              -              -              
2              -              -              -              3              -              -              
0              -              -              -              3              -              -              
2              -              -              -              8              -              -              
4              -              -              -              9              -              -              
2              -              -              -              5              -              -              
6              -              -              -              9              -              -              
3              -              -              -              3              -              -              
6              -              -              -              9              -              -              
6              -              -              -              4              -              -              
6              -              -              -              9              -              -              
6              -              -              -              9              -              -              
4              -              -              -              0              -              -              
3              -              -              -              7              -              -              
3              -              -              -              4              -              -              
6              -              -              -              7              -              -              
2              -              -              -              3              -              -              
16             -              -              -              7              -              -              
14             -              -              -              15             -              -              
12             -              -              -              15             -              -              
11             -              -              -              7              -              -              
15             -              -              -              3              -              -              
13             -              -              -              15             -              -              
10             -              -              -              12             -              -              
3              -              -              -              12             -              -              
3              -              -              -              3              -              -              
3              -              -              -              19             -              -              
5              -              -              -              6              -              -              
3              -              -              -              10             -              -              
6              -              -              -              12             -              -              
10             -              -              -              6              -              -              
9              -              -              -              12             -              -              
9              -              -              -              6              -              -              
6              -              -              -              6              -              -              
19             -              -              -              6              -              -              
9              -              -              -              6              -              -              
9              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              11             -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              7              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              5              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              5              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              2              -              -              
-              -              -              -              9              -              -              
-              -              -              -              3              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              7              -              -              
-              -              -              -              2              -              -              
-              -              -              -              12             -              -              
-              -              -              -              3              -              -              
-              -              -              -              10             -              -              
-              -              -              -              12             -              -              
-              -              -              -              1              -              -              
-              -              -              -              6              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              3              -              -              
-              -              -              -              6              -              -              
-              -              -              -              2              -              -              
-              -              -              -              7              -              -              
-              -              -              -              4              -              -              
-              -              -              -              10             -              -              
-              -              -              -              14             -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              8              -              -              
-              -              -              -              7              -              -              
-              -              -              -              13             -              -              
-              -              -              -              12             -              -              
-              -              -              -              13             -              -              
-              -              -              -              14             -              -              
-              -              -              -              15             -              -              
-              -              -              -              11             -              -              
-              -              -              -              15             -              -              
-              -              -              -              13             -              -              
-              -              -              -              9              -              -              
-              -              -              -              9              -              -              
-              -              -              -              10             -              -              
-              -              -              -              6              -              -              
-              -              -              -              2              -              -              
-              -              -              -              4              -              -              
-              -              -              -              5              -              -              
-              -              -              -              3              -              -              
-              -              -              -              7              -              -              
-              -              -              -              6              -              -              
-              -              -              -              5              -              -              
-              -              -              -              4              -              -              
-              -              -              -              10             -              -              
-              -              -              -              4              -              -              
-              -              -              -              10             -              -              
-              -              -              -              9              -              -              
-              -              -              -              4              -              -              
-              -              -              -              9              -              -              
-              -              -              -              18             -              -              
-              -              -              -              5              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              12             -              -              
-              -              -              -              9              -              -              
-              -              -              -              6              -              -              
-              -              -              -              4              -              -              
-              -              -              -              9              -              -              
-              -              -              -              5              -              -              
-              -              -              -              3              -              -              
-              -              -              -              4              -              -              
-              -              -              -              4              -              -              
-              -              -              -              5              -              -              
-              -              -              -              4              -              -              
-              -              -              -              5              -              -              
-              -              -              -              5              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              6              -              -              
-              -              -              -              8              -              -              
-              -              -              -              6              -              -              
-              -              -              -              4              -              -              
-              -              -              -              -              
