Avian          Bat            Canine         Equine         Human          Seal           Swine          
18             11             42             39             20             44             19             
15             20             31             37             8              52             21             
21             22             38             44             14             29             21             
18             -              28             37             26             31             22             
17             -              -              36             23             31             24             
7              -              -              23             19             34             54             
7              -              -              -              11             31             52             
8              -              -              -              17             32             51             
17             -              -              -              14             31             37             
17             -              -              -              11             28             -              
19             -              -              -              7              27             -              
9              -              -              -              20             29             -              
68             -              -              -              20             26             -              
55             -              -              -              8              29             -              
68             -              -              -              9              28             -              
41             -              -              -              23             30             -              
29             -              -              -              9              34             -              
50             -              -              -              22             26             -              
19             -              -              -              18             -              -              
17             -              -              -              22             -              -              
16             -              -              -              18             -              -              
19             -              -              -              13             -              -              
14             -              -              -              10             -              -              
19             -              -              -              18             -              -              
6              -              -              -              23             -              -              
18             -              -              -              16             -              -              
16             -              -              -              21             -              -              
18             -              -              -              20             -              -              
28             -              -              -              33             -              -              
3              -              -              -              20             -              -              
30             -              -              -              22             -              -              
22             -              -              -              18             -              -              
14             -              -              -              3              -              -              
15             -              -              -              21             -              -              
24             -              -              -              36             -              -              
21             -              -              -              22             -              -              
11             -              -              -              13             -              -              
22             -              -              -              15             -              -              
16             -              -              -              17             -              -              
15             -              -              -              14             -              -              
22             -              -              -              12             -              -              
14             -              -              -              20             -              -              
13             -              -              -              12             -              -              
36             -              -              -              24             -              -              
30             -              -              -              24             -              -              
31             -              -              -              20             -              -              
32             -              -              -              20             -              -              
31             -              -              -              22             -              -              
45             -              -              -              22             -              -              
27             -              -              -              25             -              -              
17             -              -              -              17             -              -              
9              -              -              -              70             -              -              
39             -              -              -              35             -              -              
44             -              -              -              69             -              -              
14             -              -              -              41             -              -              
14             -              -              -              36             -              -              
-              -              -              -              40             -              -              
-              -              -              -              41             -              -              
-              -              -              -              36             -              -              
-              -              -              -              41             -              -              
-              -              -              -              39             -              -              
-              -              -              -              38             -              -              
-              -              -              -              39             -              -              
-              -              -              -              39             -              -              
-              -              -              -              37             -              -              
-              -              -              -              49             -              -              
-              -              -              -              37             -              -              
-              -              -              -              57             -              -              
-              -              -              -              40             -              -              
-              -              -              -              37             -              -              
-              -              -              -              37             -              -              
-              -              -              -              41             -              -              
-              -              -              -              37             -              -              
-              -              -              -              34             -              -              
-              -              -              -              27             -              -              
-              -              -              -              53             -              -              
-              -              -              -              35             -              -              
-              -              -              -              56             -              -              
-              -              -              -              50             -              -              
-              -              -              -              47             -              -              
-              -              -              -              56             -              -              
-              -              -              -              28             -              -              
-              -              -              -              47             -              -              
-              -              -              -              52             -              -              
-              -              -              -              49             -              -              
-              -              -              -              58             -              -              
-              -              -              -              36             -              -              
-              -              -              -              42             -              -              
-              -              -              -              48             -              -              
-              -              -              -              48             -              -              
-              -              -              -              57             -              -              
-              -              -              -              61             -              -              
-              -              -              -              38             -              -              
-              -              -              -              48             -              -              
-              -              -              -              56             -              -              
-              -              -              -              53             -              -              
-              -              -              -              51             -              -              
-              -              -              -              47             -              -              
-              -              -              -              32             -              -              
-              -              -              -              30             -              -              
-              -              -              -              38             -              -              
-              -              -              -              41             -              -              
-              -              -              -              36             -              -              
-              -              -              -              38             -              -              
-              -              -              -              17             -              -              
-              -              -              -              31             -              -              
-              -              -              -              17             -              -              
-              -              -              -              21             -              -              
-              -              -              -              24             -              -              
-              -              -              -              21             -              -              
-              -              -              -              33             -              -              
-              -              -              -              22             -              -              
-              -              -              -              18             -              -              
-              -              -              -              18             -              -              
-              -              -              -              30             -              -              
-              -              -              -              19             -              -              
-              -              -              -              25             -              -              
-              -              -              -              21             -              -              
-              -              -              -              15             -              -              
-              -              -              -              23             -              -              
-              -              -              -              29             -              -              
-              -              -              -              9              -              -              
-              -              -              -              31             -              -              
-              -              -              -              24             -              -              
-              -              -              -              15             -              -              
-              -              -              -              15             -              -              
-              -              -              -              11             -              -              
-              -              -              -              13             -              -              
-              -              -              -              6              -              -              
-              -              -              -              7              -              -              
-              -              -              -              11             -              -              
-              -              -              -              13             -              -              
-              -              -              -              6              -              -              
-              -              -              -              9              -              -              
-              -              -              -              15             -              -              
-              -              -              -              32             -              -              
-              -              -              -              31             -              -              
-              -              -              -              34             -              -              
-              -              -              -              35             -              -              
-              -              -              -              15             -              -              
-              -              -              -              21             -              -              
-              -              -              -              37             -              -              
-              -              -              -              27             -              -              
-              -              -              -              20             -              -              
-              -              -              -              27             -              -              
-              -              -              -              33             -              -              
-              -              -              -              25             -              -              
-              -              -              -              30             -              -              
-              -              -              -              32             -              -              
-              -              -              -              24             -              -              
-              -              -              -              35             -              -              
-              -              -              -              10             -              -              
-              -              -              -              36             -              -              
-              -              -              -              30             -              -              
-              -              -              -              33             -              -              
-              -              -              -              21             -              -              
-              -              -              -              36             -              -              
-              -              -              -              25             -              -              
-              -              -              -              34             -              -              
-              -              -              -              30             -              -              
-              -              -              -              29             -              -              
-              -              -              -              31             -              -              
-              -              -              -              33             -              -              
-              -              -              -              33             -              -              
-              -              -              -              31             -              -              
-              -              -              -              32             -              -              
-              -              -              -              28             -              -              
-              -              -              -              32             -              -              
-              -              -              -              42             -              -              
-              -              -              -              34             -              -              
-              -              -              -              38             -              -              
-              -              -              -              33             -              -              
-              -              -              -              33             -              -              
-              -              -              -              -              
