Avian          Bat            Canine         Equine         Human          Seal           Swine          
0              0              0              0              0              2              0              
0              0              0              0              0              1              0              
0              0              0              0              0              4              0              
0              -              0              0              0              5              3              
0              -              -              0              0              6              0              
0              -              -              2              0              4              5              
0              -              -              -              0              4              3              
0              -              -              -              0              4              0              
0              -              -              -              0              3              0              
0              -              -              -              0              3              -              
0              -              -              -              0              3              -              
0              -              -              -              0              1              -              
0              -              -              -              0              4              -              
0              -              -              -              2              3              -              
0              -              -              -              0              1              -              
0              -              -              -              0              4              -              
0              -              -              -              0              6              -              
0              -              -              -              0              0              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              3              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
19             -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              0              -              -              
0              -              -              -              2              -              -              
0              -              -              -              0              -              -              
5              -              -              -              0              -              -              
5              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              1              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              1              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              2              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              3              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              2              -              -              
-              -              -              -              2              -              -              
-              -              -              -              0              -              -              
-              -              -              -              4              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              3              -              -              
-              -              -              -              0              -              -              
-              -              -              -              1              -              -              
-              -              -              -              3              -              -              
-              -              -              -              1              -              -              
-              -              -              -              3              -              -              
-              -              -              -              1              -              -              
-              -              -              -              3              -              -              
-              -              -              -              2              -              -              
-              -              -              -              2              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              0              -              -              
-              -              -              -              14             -              -              
-              -              -              -              15             -              -              
-              -              -              -              13             -              -              
-              -              -              -              17             -              -              
-              -              -              -              15             -              -              
-              -              -              -              14             -              -              
-              -              -              -              15             -              -              
-              -              -              -              17             -              -              
-              -              -              -              18             -              -              
-              -              -              -              20             -              -              
-              -              -              -              17             -              -              
-              -              -              -              19             -              -              
-              -              -              -              10             -              -              
-              -              -              -              20             -              -              
-              -              -              -              -              
