Avian          Bat            Canine         Equine         Human          Seal           Swine          
15             4              69             68             26             74             26             
12             13             63             61             6              83             31             
21             12             65             79             18             42             38             
18             -              57             66             25             45             23             
29             -              -              60             16             43             22             
10             -              -              55             15             44             86             
12             -              -              -              42             40             79             
15             -              -              -              15             38             73             
9              -              -              -              41             45             53             
14             -              -              -              36             39             -              
15             -              -              -              46             36             -              
14             -              -              -              23             39             -              
83             -              -              -              20             32             -              
76             -              -              -              15             45             -              
83             -              -              -              13             40             -              
54             -              -              -              18             44             -              
52             -              -              -              15             46             -              
72             -              -              -              21             39             -              
32             -              -              -              18             -              -              
35             -              -              -              14             -              -              
37             -              -              -              18             -              -              
31             -              -              -              27             -              -              
39             -              -              -              16             -              -              
29             -              -              -              11             -              -              
28             -              -              -              18             -              -              
14             -              -              -              18             -              -              
27             -              -              -              26             -              -              
17             -              -              -              20             -              -              
14             -              -              -              23             -              -              
24             -              -              -              14             -              -              
21             -              -              -              17             -              -              
20             -              -              -              16             -              -              
37             -              -              -              25             -              -              
22             -              -              -              19             -              -              
23             -              -              -              12             -              -              
21             -              -              -              23             -              -              
15             -              -              -              18             -              -              
20             -              -              -              9              -              -              
19             -              -              -              12             -              -              
25             -              -              -              19             -              -              
29             -              -              -              15             -              -              
20             -              -              -              9              -              -              
29             -              -              -              9              -              -              
33             -              -              -              11             -              -              
36             -              -              -              16             -              -              
34             -              -              -              17             -              -              
45             -              -              -              22             -              -              
40             -              -              -              17             -              -              
46             -              -              -              16             -              -              
51             -              -              -              13             -              -              
27             -              -              -              18             -              -              
22             -              -              -              92             -              -              
59             -              -              -              79             -              -              
56             -              -              -              78             -              -              
39             -              -              -              77             -              -              
39             -              -              -              71             -              -              
-              -              -              -              75             -              -              
-              -              -              -              77             -              -              
-              -              -              -              68             -              -              
-              -              -              -              76             -              -              
-              -              -              -              72             -              -              
-              -              -              -              71             -              -              
-              -              -              -              72             -              -              
-              -              -              -              70             -              -              
-              -              -              -              69             -              -              
-              -              -              -              64             -              -              
-              -              -              -              66             -              -              
-              -              -              -              82             -              -              
-              -              -              -              68             -              -              
-              -              -              -              68             -              -              
-              -              -              -              71             -              -              
-              -              -              -              73             -              -              
-              -              -              -              69             -              -              
-              -              -              -              69             -              -              
-              -              -              -              57             -              -              
-              -              -              -              81             -              -              
-              -              -              -              67             -              -              
-              -              -              -              83             -              -              
-              -              -              -              76             -              -              
-              -              -              -              74             -              -              
-              -              -              -              83             -              -              
-              -              -              -              58             -              -              
-              -              -              -              93             -              -              
-              -              -              -              88             -              -              
-              -              -              -              84             -              -              
-              -              -              -              88             -              -              
-              -              -              -              57             -              -              
-              -              -              -              74             -              -              
-              -              -              -              90             -              -              
-              -              -              -              75             -              -              
-              -              -              -              86             -              -              
-              -              -              -              87             -              -              
-              -              -              -              75             -              -              
-              -              -              -              76             -              -              
-              -              -              -              88             -              -              
-              -              -              -              77             -              -              
-              -              -              -              49             -              -              
-              -              -              -              73             -              -              
-              -              -              -              52             -              -              
-              -              -              -              58             -              -              
-              -              -              -              68             -              -              
-              -              -              -              76             -              -              
-              -              -              -              82             -              -              
-              -              -              -              79             -              -              
-              -              -              -              38             -              -              
-              -              -              -              25             -              -              
-              -              -              -              36             -              -              
-              -              -              -              24             -              -              
-              -              -              -              22             -              -              
-              -              -              -              33             -              -              
-              -              -              -              15             -              -              
-              -              -              -              19             -              -              
-              -              -              -              35             -              -              
-              -              -              -              27             -              -              
-              -              -              -              24             -              -              
-              -              -              -              24             -              -              
-              -              -              -              20             -              -              
-              -              -              -              21             -              -              
-              -              -              -              31             -              -              
-              -              -              -              26             -              -              
-              -              -              -              34             -              -              
-              -              -              -              18             -              -              
-              -              -              -              20             -              -              
-              -              -              -              20             -              -              
-              -              -              -              32             -              -              
-              -              -              -              33             -              -              
-              -              -              -              28             -              -              
-              -              -              -              32             -              -              
-              -              -              -              24             -              -              
-              -              -              -              20             -              -              
-              -              -              -              31             -              -              
-              -              -              -              27             -              -              
-              -              -              -              26             -              -              
-              -              -              -              28             -              -              
-              -              -              -              20             -              -              
-              -              -              -              70             -              -              
-              -              -              -              61             -              -              
-              -              -              -              65             -              -              
-              -              -              -              67             -              -              
-              -              -              -              54             -              -              
-              -              -              -              33             -              -              
-              -              -              -              50             -              -              
-              -              -              -              37             -              -              
-              -              -              -              29             -              -              
-              -              -              -              56             -              -              
-              -              -              -              61             -              -              
-              -              -              -              44             -              -              
-              -              -              -              58             -              -              
-              -              -              -              55             -              -              
-              -              -              -              36             -              -              
-              -              -              -              58             -              -              
-              -              -              -              39             -              -              
-              -              -              -              60             -              -              
-              -              -              -              58             -              -              
-              -              -              -              48             -              -              
-              -              -              -              27             -              -              
-              -              -              -              62             -              -              
-              -              -              -              40             -              -              
-              -              -              -              52             -              -              
-              -              -              -              38             -              -              
-              -              -              -              32             -              -              
-              -              -              -              41             -              -              
-              -              -              -              42             -              -              
-              -              -              -              34             -              -              
-              -              -              -              45             -              -              
-              -              -              -              34             -              -              
-              -              -              -              32             -              -              
-              -              -              -              36             -              -              
-              -              -              -              43             -              -              
-              -              -              -              40             -              -              
-              -              -              -              42             -              -              
-              -              -              -              36             -              -              
-              -              -              -              36             -              -              
-              -              -              -              -              
