Avian          Bat            Canine         Equine         Human          Seal           Swine          
12             0              27             31             19             33             20             
9              5              33             36             4              33             24             
15             3              35             38             14             16             29             
12             -              30             33             16             17             18             
24             -              -              28             13             15             9              
8              -              -              35             12             12             40             
8              -              -              -              37             12             34             
10             -              -              -              11             9              24             
6              -              -              -              33             17             22             
10             -              -              -              31             12             -              
10             -              -              -              42             12             -              
11             -              -              -              16             13             -              
31             -              -              -              14             9              -              
30             -              -              -              13             18             -              
31             -              -              -              11             15             -              
16             -              -              -              14             16             -              
19             -              -              -              14             15             -              
20             -              -              -              18             13             -              
24             -              -              -              13             -              -              
26             -              -              -              10             -              -              
31             -              -              -              9              -              -              
24             -              -              -              15             -              -              
30             -              -              -              13             -              -              
24             -              -              -              8              -              -              
23             -              -              -              11             -              -              
8              -              -              -              14             -              -              
24             -              -              -              17             -              -              
12             -              -              -              18             -              -              
12             -              -              -              14             -              -              
21             -              -              -              10             -              -              
16             -              -              -              12             -              -              
14             -              -              -              10             -              -              
29             -              -              -              22             -              -              
18             -              -              -              11             -              -              
13             -              -              -              6              -              -              
12             -              -              -              17             -              -              
8              -              -              -              15             -              -              
14             -              -              -              9              -              -              
14             -              -              -              12             -              -              
19             -              -              -              15             -              -              
18             -              -              -              12             -              -              
15             -              -              -              9              -              -              
24             -              -              -              9              -              -              
7              -              -              -              8              -              -              
9              -              -              -              12             -              -              
6              -              -              -              12             -              -              
14             -              -              -              16             -              -              
11             -              -              -              9              -              -              
13             -              -              -              8              -              -              
26             -              -              -              9              -              -              
6              -              -              -              11             -              -              
6              -              -              -              49             -              -              
23             -              -              -              48             -              -              
3              -              -              -              33             -              -              
17             -              -              -              40             -              -              
17             -              -              -              37             -              -              
-              -              -              -              37             -              -              
-              -              -              -              36             -              -              
-              -              -              -              34             -              -              
-              -              -              -              36             -              -              
-              -              -              -              35             -              -              
-              -              -              -              36             -              -              
-              -              -              -              30             -              -              
-              -              -              -              33             -              -              
-              -              -              -              34             -              -              
-              -              -              -              26             -              -              
-              -              -              -              31             -              -              
-              -              -              -              25             -              -              
-              -              -              -              30             -              -              
-              -              -              -              33             -              -              
-              -              -              -              38             -              -              
-              -              -              -              36             -              -              
-              -              -              -              35             -              -              
-              -              -              -              38             -              -              
-              -              -              -              32             -              -              
-              -              -              -              31             -              -              
-              -              -              -              35             -              -              
-              -              -              -              30             -              -              
-              -              -              -              29             -              -              
-              -              -              -              30             -              -              
-              -              -              -              30             -              -              
-              -              -              -              33             -              -              
-              -              -              -              46             -              -              
-              -              -              -              36             -              -              
-              -              -              -              38             -              -              
-              -              -              -              33             -              -              
-              -              -              -              30             -              -              
-              -              -              -              34             -              -              
-              -              -              -              45             -              -              
-              -              -              -              30             -              -              
-              -              -              -              32             -              -              
-              -              -              -              29             -              -              
-              -              -              -              40             -              -              
-              -              -              -              31             -              -              
-              -              -              -              33             -              -              
-              -              -              -              41             -              -              
-              -              -              -              33             -              -              
-              -              -              -              38             -              -              
-              -              -              -              24             -              -              
-              -              -              -              30             -              -              
-              -              -              -              38             -              -              
-              -              -              -              41             -              -              
-              -              -              -              49             -              -              
-              -              -              -              35             -              -              
-              -              -              -              32             -              -              
-              -              -              -              18             -              -              
-              -              -              -              27             -              -              
-              -              -              -              20             -              -              
-              -              -              -              19             -              -              
-              -              -              -              27             -              -              
-              -              -              -              9              -              -              
-              -              -              -              16             -              -              
-              -              -              -              26             -              -              
-              -              -              -              19             -              -              
-              -              -              -              24             -              -              
-              -              -              -              19             -              -              
-              -              -              -              14             -              -              
-              -              -              -              15             -              -              
-              -              -              -              23             -              -              
-              -              -              -              20             -              -              
-              -              -              -              27             -              -              
-              -              -              -              15             -              -              
-              -              -              -              11             -              -              
-              -              -              -              14             -              -              
-              -              -              -              20             -              -              
-              -              -              -              20             -              -              
-              -              -              -              19             -              -              
-              -              -              -              20             -              -              
-              -              -              -              15             -              -              
-              -              -              -              13             -              -              
-              -              -              -              21             -              -              
-              -              -              -              17             -              -              
-              -              -              -              18             -              -              
-              -              -              -              19             -              -              
-              -              -              -              8              -              -              
-              -              -              -              24             -              -              
-              -              -              -              15             -              -              
-              -              -              -              17             -              -              
-              -              -              -              24             -              -              
-              -              -              -              21             -              -              
-              -              -              -              8              -              -              
-              -              -              -              7              -              -              
-              -              -              -              6              -              -              
-              -              -              -              5              -              -              
-              -              -              -              26             -              -              
-              -              -              -              24             -              -              
-              -              -              -              16             -              -              
-              -              -              -              28             -              -              
-              -              -              -              21             -              -              
-              -              -              -              9              -              -              
-              -              -              -              24             -              -              
-              -              -              -              23             -              -              
-              -              -              -              27             -              -              
-              -              -              -              25             -              -              
-              -              -              -              12             -              -              
-              -              -              -              3              -              -              
-              -              -              -              22             -              -              
-              -              -              -              8              -              -              
-              -              -              -              21             -              -              
-              -              -              -              11             -              -              
-              -              -              -              6              -              -              
-              -              -              -              13             -              -              
-              -              -              -              12             -              -              
-              -              -              -              5              -              -              
-              -              -              -              14             -              -              
-              -              -              -              6              -              -              
-              -              -              -              8              -              -              
-              -              -              -              8              -              -              
-              -              -              -              16             -              -              
-              -              -              -              10             -              -              
-              -              -              -              12             -              -              
-              -              -              -              8              -              -              
-              -              -              -              10             -              -              
-              -              -              -              -              
