Avian          Bat            Canine         Equine         Human          Seal           Swine          
36             11             69             71             47             79             42             
24             25             64             81             12             86             58             
36             25             76             92             35             52             56             
30             -              58             73             44             55             52             
41             -              -              64             42             52             40             
15             -              -              66             39             53             104            
15             -              -              -              48             51             95             
18             -              -              -              37             50             79             
23             -              -              -              47             55             63             
28             -              -              -              42             46             -              
32             -              -              -              50             43             -              
20             -              -              -              42             46             -              
110            -              -              -              42             42             -              
99             -              -              -              39             53             -              
110            -              -              -              22             46             -              
68             -              -              -              45             53             -              
58             -              -              -              23             59             -              
81             -              -              -              45             40             -              
43             -              -              -              33             -              -              
43             -              -              -              38             -              -              
47             -              -              -              27             -              -              
44             -              -              -              36             -              -              
44             -              -              -              38             -              -              
43             -              -              -              41             -              -              
29             -              -              -              34             -              -              
26             -              -              -              41             -              -              
40             -              -              -              38             -              -              
30             -              -              -              50             -              -              
40             -              -              -              58             -              -              
24             -              -              -              41             -              -              
46             -              -              -              41             -              -              
37             -              -              -              36             -              -              
43             -              -              -              34             -              -              
33             -              -              -              32             -              -              
41             -              -              -              42             -              -              
33             -              -              -              42             -              -              
21             -              -              -              35             -              -              
37             -              -              -              42             -              -              
30             -              -              -              44             -              -              
34             -              -              -              41             -              -              
40             -              -              -              33             -              -              
31             -              -              -              48             -              -              
37             -              -              -              36             -              -              
46             -              -              -              32             -              -              
42             -              -              -              36             -              -              
42             -              -              -              34             -              -              
51             -              -              -              39             -              -              
69             -              -              -              34             -              -              
63             -              -              -              32             -              -              
53             -              -              -              34             -              -              
35             -              -              -              28             -              -              
28             -              -              -              122            -              -              
63             -              -              -              88             -              -              
59             -              -              -              102            -              -              
55             -              -              -              89             -              -              
53             -              -              -              80             -              -              
-              -              -              -              84             -              -              
-              -              -              -              85             -              -              
-              -              -              -              77             -              -              
-              -              -              -              86             -              -              
-              -              -              -              81             -              -              
-              -              -              -              80             -              -              
-              -              -              -              80             -              -              
-              -              -              -              76             -              -              
-              -              -              -              78             -              -              
-              -              -              -              80             -              -              
-              -              -              -              72             -              -              
-              -              -              -              88             -              -              
-              -              -              -              78             -              -              
-              -              -              -              76             -              -              
-              -              -              -              81             -              -              
-              -              -              -              82             -              -              
-              -              -              -              75             -              -              
-              -              -              -              72             -              -              
-              -              -              -              64             -              -              
-              -              -              -              93             -              -              
-              -              -              -              76             -              -              
-              -              -              -              95             -              -              
-              -              -              -              88             -              -              
-              -              -              -              86             -              -              
-              -              -              -              95             -              -              
-              -              -              -              63             -              -              
-              -              -              -              101            -              -              
-              -              -              -              97             -              -              
-              -              -              -              95             -              -              
-              -              -              -              100            -              -              
-              -              -              -              66             -              -              
-              -              -              -              84             -              -              
-              -              -              -              93             -              -              
-              -              -              -              84             -              -              
-              -              -              -              95             -              -              
-              -              -              -              96             -              -              
-              -              -              -              80             -              -              
-              -              -              -              88             -              -              
-              -              -              -              101            -              -              
-              -              -              -              99             -              -              
-              -              -              -              89             -              -              
-              -              -              -              89             -              -              
-              -              -              -              56             -              -              
-              -              -              -              65             -              -              
-              -              -              -              85             -              -              
-              -              -              -              85             -              -              
-              -              -              -              88             -              -              
-              -              -              -              82             -              -              
-              -              -              -              49             -              -              
-              -              -              -              49             -              -              
-              -              -              -              44             -              -              
-              -              -              -              41             -              -              
-              -              -              -              45             -              -              
-              -              -              -              49             -              -              
-              -              -              -              42             -              -              
-              -              -              -              38             -              -              
-              -              -              -              44             -              -              
-              -              -              -              38             -              -              
-              -              -              -              57             -              -              
-              -              -              -              38             -              -              
-              -              -              -              40             -              -              
-              -              -              -              36             -              -              
-              -              -              -              39             -              -              
-              -              -              -              47             -              -              
-              -              -              -              56             -              -              
-              -              -              -              24             -              -              
-              -              -              -              45             -              -              
-              -              -              -              41             -              -              
-              -              -              -              37             -              -              
-              -              -              -              38             -              -              
-              -              -              -              33             -              -              
-              -              -              -              36             -              -              
-              -              -              -              25             -              -              
-              -              -              -              23             -              -              
-              -              -              -              35             -              -              
-              -              -              -              33             -              -              
-              -              -              -              28             -              -              
-              -              -              -              30             -              -              
-              -              -              -              31             -              -              
-              -              -              -              76             -              -              
-              -              -              -              66             -              -              
-              -              -              -              69             -              -              
-              -              -              -              75             -              -              
-              -              -              -              57             -              -              
-              -              -              -              35             -              -              
-              -              -              -              53             -              -              
-              -              -              -              42             -              -              
-              -              -              -              31             -              -              
-              -              -              -              62             -              -              
-              -              -              -              73             -              -              
-              -              -              -              45             -              -              
-              -              -              -              67             -              -              
-              -              -              -              61             -              -              
-              -              -              -              42             -              -              
-              -              -              -              67             -              -              
-              -              -              -              42             -              -              
-              -              -              -              69             -              -              
-              -              -              -              63             -              -              
-              -              -              -              51             -              -              
-              -              -              -              30             -              -              
-              -              -              -              63             -              -              
-              -              -              -              40             -              -              
-              -              -              -              62             -              -              
-              -              -              -              58             -              -              
-              -              -              -              53             -              -              
-              -              -              -              60             -              -              
-              -              -              -              65             -              -              
-              -              -              -              57             -              -              
-              -              -              -              64             -              -              
-              -              -              -              57             -              -              
-              -              -              -              55             -              -              
-              -              -              -              61             -              -              
-              -              -              -              81             -              -              
-              -              -              -              66             -              -              
-              -              -              -              70             -              -              
-              -              -              -              54             -              -              
-              -              -              -              66             -              -              
-              -              -              -              -              
