H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
1978           1589           1629           1661           1685           1903           1790           1756           1926           1627           1779           1695           1949           1925           1840           1686           1598           1681           1906           1465           1640           1602           1918           1838           1610           1647           1877           1856           1779           
1885           -              1638           1700           -              1993           1770           1708           1778           -              -              -              1940           1967           1869           1608           1491           1767           -              1554           1589           1577           -              1773           -              -              1880           -              1913           
1889           -              1577           1617           -              1664           1735           1691           1805           -              -              -              1984           -              1743           1693           1653           1752           -              1412           1586           1639           -              -              -              -              -              -              -              
1930           -              -              1643           -              1826           1768           1725           1813           -              -              -              1939           -              -              1606           1667           1689           -              1347           1654           1684           -              -              -              -              -              -              -              
1900           -              -              1749           -              1841           1737           1779           1804           -              -              -              1824           -              -              1569           -              1645           -              -              1679           1569           -              -              -              -              -              -              -              
2005           -              -              1576           -              1765           1803           -              1726           -              -              -              1867           -              -              -              -              1557           -              -              1476           1590           -              -              -              -              -              -              -              
1945           -              -              1742           -              1809           1667           -              1677           -              -              -              1897           -              -              -              -              1552           -              -              1551           1619           -              -              -              -              -              -              -              
1874           -              -              1601           -              1804           1734           -              1748           -              -              -              1946           -              -              -              -              1648           -              -              1459           1552           -              -              -              -              -              -              -              
1921           -              -              1688           -              1821           1653           -              1693           -              -              -              1793           -              -              -              -              1772           -              -              1403           1529           -              -              -              -              -              -              -              
1893           -              -              1713           -              1837           1534           -              1809           -              -              -              1841           -              -              -              -              1563           -              -              1549           1451           -              -              -              -              -              -              -              
1938           -              -              1566           -              1814           1594           -              1753           -              -              -              1869           -              -              -              -              1683           -              -              1448           1515           -              -              -              -              -              -              -              
1943           -              -              1723           -              1757           1670           -              1697           -              -              -              1878           -              -              -              -              1660           -              -              1531           1506           -              -              -              -              -              -              -              
1851           -              -              -              -              1783           1670           -              1591           -              -              -              -              -              -              -              -              1584           -              -              1464           1526           -              -              -              -              -              -              -              
1556           -              -              -              -              1828           1588           -              1739           -              -              -              -              -              -              -              -              1614           -              -              1381           1443           -              -              -              -              -              -              -              
1851           -              -              -              -              1751           -              -              1641           -              -              -              -              -              -              -              -              1671           -              -              1387           -              -              -              -              -              -              -              -              
1840           -              -              -              -              1785           -              -              1650           -              -              -              -              -              -              -              -              -              -              -              1468           -              -              -              -              -              -              -              -              
1997           -              -              -              -              1817           -              -              1703           -              -              -              -              -              -              -              -              -              -              -              1590           -              -              -              -              -              -              -              -              
2074           -              -              -              -              1807           -              -              1678           -              -              -              -              -              -              -              -              -              -              -              1459           -              -              -              -              -              -              -              -              
1855           -              -              -              -              1798           -              -              1368           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1818           -              -              -              -              1781           -              -              1861           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1768           -              -              -              -              1832           -              -              1744           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1715           -              -              -              -              1874           -              -              1751           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1852           -              -              -              -              1845           -              -              1819           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1675           -              -              -              -              1779           -              -              1823           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1834           -              -              -              -              1892           -              -              1786           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1859           -              -              -              -              1819           -              -              1791           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1671           -              -              -              -              1856           -              -              1710           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1886           -              -              -              -              1855           -              -              1808           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1876           -              -              -              -              1872           -              -              1715           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1790           -              -              -              -              1878           -              -              1473           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
