H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
19             20             17             15             23             38             38             32             27             14             23             21             14             20             19             19             9              11             16             8              18             29             16             15             14             18             32             49             4              
10             -              13             17             -              38             37             28             18             -              -              -              14             18             21             12             17             16             -              10             17             35             -              22             -              -              33             -              5              
20             -              11             9              -              25             30             28             30             -              -              -              12             -              18             10             7              13             -              9              18             33             -              -              -              -              -              -              -              
12             -              -              21             -              33             29             32             21             -              -              -              13             -              -              14             10             9              -              12             12             34             -              -              -              -              -              -              -              
20             -              -              21             -              37             30             34             24             -              -              -              15             -              -              0              -              11             -              -              24             32             -              -              -              -              -              -              -              
26             -              -              18             -              32             40             -              33             -              -              -              12             -              -              -              -              21             -              -              10             30             -              -              -              -              -              -              -              
16             -              -              14             -              33             40             -              20             -              -              -              14             -              -              -              -              12             -              -              12             32             -              -              -              -              -              -              -              
22             -              -              2              -              30             37             -              14             -              -              -              13             -              -              -              -              29             -              -              3              29             -              -              -              -              -              -              -              
14             -              -              22             -              37             39             -              33             -              -              -              13             -              -              -              -              12             -              -              9              32             -              -              -              -              -              -              -              
12             -              -              23             -              29             31             -              21             -              -              -              12             -              -              -              -              20             -              -              9              35             -              -              -              -              -              -              -              
4              -              -              18             -              34             40             -              26             -              -              -              12             -              -              -              -              32             -              -              15             32             -              -              -              -              -              -              -              
12             -              -              17             -              28             37             -              24             -              -              -              14             -              -              -              -              19             -              -              13             31             -              -              -              -              -              -              -              
9              -              -              -              -              36             36             -              21             -              -              -              -              -              -              -              -              14             -              -              6              29             -              -              -              -              -              -              -              
14             -              -              -              -              37             27             -              28             -              -              -              -              -              -              -              -              18             -              -              12             35             -              -              -              -              -              -              -              
12             -              -              -              -              25             -              -              14             -              -              -              -              -              -              -              -              4              -              -              10             -              -              -              -              -              -              -              -              
18             -              -              -              -              32             -              -              20             -              -              -              -              -              -              -              -              -              -              -              4              -              -              -              -              -              -              -              -              
11             -              -              -              -              21             -              -              29             -              -              -              -              -              -              -              -              -              -              -              33             -              -              -              -              -              -              -              -              
31             -              -              -              -              30             -              -              17             -              -              -              -              -              -              -              -              -              -              -              15             -              -              -              -              -              -              -              -              
15             -              -              -              -              35             -              -              22             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              17             -              -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
11             -              -              -              -              36             -              -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              -              -              -              35             -              -              30             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
8              -              -              -              -              29             -              -              21             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
25             -              -              -              -              29             -              -              20             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
10             -              -              -              -              32             -              -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
23             -              -              -              -              37             -              -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
7              -              -              -              -              35             -              -              21             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
27             -              -              -              -              31             -              -              23             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
11             -              -              -              -              36             -              -              19             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              -              -              -              32             -              -              17             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
27             -              -              -              -              23             -              -              23             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
14             -              -              -              -              40             -              -              22             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
18             -              -              -              -              32             -              -              23             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              46             -              -              19             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
16             -              -              -              -              36             -              -              16             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
14             -              -              -              -              41             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
26             -              -              -              -              34             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
15             -              -              -              -              26             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
30             -              -              -              -              31             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
29             -              -              -              -              40             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
27             -              -              -              -              23             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              26             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
4              -              -              -              -              39             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
14             -              -              -              -              29             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              25             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
18             -              -              -              -              35             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              34             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
8              -              -              -              -              26             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
22             -              -              -              -              27             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              -              -              -              32             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
10             -              -              -              -              26             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              27             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              29             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              22             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              19             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              27             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              -              
