H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
2802           2304           2287           2366           2331           2676           2573           2506           2813           2367           2403           2389           2800           2519           2575           2417           2208           2362           2578           2128           2340           2284           2562           2586           2351           2346           2753           2464           2541           
2689           -              2325           2368           -              2789           2525           2410           2592           -              -              -              2777           2594           2584           2300           2135           2520           -              2256           2306           2260           -              2488           -              -              2733           -              2736           
2690           -              2188           2428           -              2387           2556           2442           2621           -              -              -              2821           -              2429           2444           2322           2442           -              2129           2287           2365           -              -              -              -              -              -              -              
2767           -              -              2384           -              2549           2527           2471           2560           -              -              -              2773           -              -              2287           2280           2367           -              1986           2389           2393           -              -              -              -              -              -              -              
2697           -              -              2440           -              2574           2559           2467           2525           -              -              -              2606           -              -              2386           -              2370           -              -              2412           2298           -              -              -              -              -              -              -              
2867           -              -              2251           -              2481           2625           -              2534           -              -              -              2646           -              -              -              -              2183           -              -              2177           2305           -              -              -              -              -              -              -              
2733           -              -              2455           -              2563           2367           -              2347           -              -              -              2713           -              -              -              -              2264           -              -              2246           2333           -              -              -              -              -              -              -              
2633           -              -              2320           -              2498           2461           -              2463           -              -              -              2799           -              -              -              -              2206           -              -              2199           2220           -              -              -              -              -              -              -              
2730           -              -              2512           -              2539           2346           -              2480           -              -              -              2582           -              -              -              -              2490           -              -              2082           2222           -              -              -              -              -              -              -              
2669           -              -              2494           -              2559           2218           -              2570           -              -              -              2622           -              -              -              -              2247           -              -              2237           2098           -              -              -              -              -              -              -              
2474           -              -              2305           -              2519           2226           -              2284           -              -              -              2689           -              -              -              -              2376           -              -              2118           2177           -              -              -              -              -              -              -              
2734           -              -              2473           -              2465           2359           -              2457           -              -              -              2605           -              -              -              -              2324           -              -              2217           2080           -              -              -              -              -              -              -              
2646           -              -              -              -              2493           2362           -              2156           -              -              -              -              -              -              -              -              2228           -              -              2195           2175           -              -              -              -              -              -              -              
2181           -              -              -              -              2554           2235           -              2444           -              -              -              -              -              -              -              -              2266           -              -              2071           2039           -              -              -              -              -              -              -              
2545           -              -              -              -              2463           -              -              2358           -              -              -              -              -              -              -              -              2394           -              -              2113           -              -              -              -              -              -              -              -              
2619           -              -              -              -              2498           -              -              2127           -              -              -              -              -              -              -              -              -              -              -              2175           -              -              -              -              -              -              -              -              
2616           -              -              -              -              2626           -              -              2487           -              -              -              -              -              -              -              -              -              -              -              2327           -              -              -              -              -              -              -              -              
2955           -              -              -              -              2516           -              -              2431           -              -              -              -              -              -              -              -              -              -              -              2131           -              -              -              -              -              -              -              -              
