H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
611            522            479            498            471            573            602            552            665            527            458            527            622            452            539            513            435            494            450            499            534            507            484            532            541            510            597            452            584            
554            -              478            466            -              616            583            513            565            -              -              -              629            472            529            484            487            561            -              520            544            514            -              514            -              -              574            -              607            
567            -              421            573            -              521            592            568            618            -              -              -              606            -              506            523            479            498            -              526            528            545            -              -              -              -              -              -              -              
591            -              -              539            -              531            544            565            550            -              -              -              619            -              -              485            438            490            -              463            559            528            -              -              -              -              -              -              -              
569            -              -              502            -              543            592            521            521            -              -              -              591            -              -              498            -              527            -              -              559            561            -              -              -              -              -              -              -              
615            -              -              472            -              535            622            -              606            -              -              -              572            -              -              -              -              467            -              -              521            528            -              -              -              -              -              -              -              
534            -              -              466            -              559            516            -              495            -              -              -              608            -              -              -              -              539            -              -              522            547            -              -              -              -              -              -              -              
544            -              -              488            -              519            547            -              524            -              -              -              622            -              -              -              -              407            -              -              534            490            -              -              -              -              -              -              -              
548            -              -              603            -              543            518            -              594            -              -              -              571            -              -              -              -              535            -              -              499            536            -              -              -              -              -              -              -              
524            -              -              573            -              531            506            -              527            -              -              -              560            -              -              -              -              512            -              -              518            484            -              -              -              -              -              -              -              
359            -              -              554            -              523            479            -              383            -              -              -              594            -              -              -              -              540            -              -              493            498            -              -              -              -              -              -              -              
557            -              -              491            -              519            501            -              566            -              -              -              498            -              -              -              -              465            -              -              503            424            -              -              -              -              -              -              -              
561            -              -              -              -              535            508            -              428            -              -              -              -              -              -              -              -              457            -              -              544            500            -              -              -              -              -              -              -              
402            -              -              -              -              539            465            -              551            -              -              -              -              -              -              -              -              466            -              -              523            426            -              -              -              -              -              -              -              
473            -              -              -              -              542            -              -              515            -              -              -              -              -              -              -              -              509            -              -              533            -              -              -              -              -              -              -              -              
549            -              -              -              -              536            -              -              354            -              -              -              -              -              -              -              -              -              -              -              526            -              -              -              -              -              -              -              -              
398            -              -              -              -              579            -              -              590            -              -              -              -              -              -              -              -              -              -              -              562            -              -              -              -              -              -              -              -              
625            -              -              -              -              527            -              -              566            -              -              -              -              -              -              -              -              -              -              -              518            -              -              -              -              -              -              -              -              
496            -              -              -              -              519            -              -              386            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
478            -              -              -              -              520            -              -              580            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
456            -              -              -              -              562            -              -              282            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
539            -              -              -              -              569            -              -              515            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
428            -              -              -              -              577            -              -              539            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
471            -              -              -              -              518            -              -              571            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
481            -              -              -              -              601            -              -              527            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
447            -              -              -              -              511            -              -              316            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
466            -              -              -              -              592            -              -              522            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
447            -              -              -              -              608            -              -              640            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
496            -              -              -              -              602            -              -              607            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
439            -              -              -              -              596            -              -              525            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
448            -              -              -              -              496            -              -              310            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
515            -              -              -              -              549            -              -              556            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
516            -              -              -              -              534            -              -              505            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
424            -              -              -              -              593            -              -              564            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
541            -              -              -              -              610            -              -              604            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
578            -              -              -              -              489            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
551            -              -              -              -              520            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
429            -              -              -              -              541            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
405            -              -              -              -              599            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
510            -              -              -              -              619            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
381            -              -              -              -              520            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
411            -              -              -              -              523            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
399            -              -              -              -              581            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
512            -              -              -              -              628            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
