H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
3047           2497           2509           2612           2574           2989           2879           2807           3063           2565           2653           2588           3028           2698           2761           2630           2351           2529           2762           2336           2558           2509           2703           2747           2561           2521           2957           2673           2778           
2904           -              2549           2622           -              3136           2840           2697           2849           -              -              -              3008           2779           2788           2490           2312           2752           -              2479           2514           2493           -              2642           -              -              2932           -              2985           
2924           -              2394           2616           -              2704           2882           2756           2852           -              -              -              3044           -              2609           2638           2489           2605           -              2326           2502           2600           -              -              -              -              -              -              -              
2998           -              -              2632           -              2887           2824           2784           2806           -              -              -              2994           -              -              2484           2442           2535           -              2178           2602           2632           -              -              -              -              -              -              -              
2948           -              -              2692           -              2903           2885           2765           2791           -              -              -              2812           -              -              2443           -              2521           -              -              2649           2550           -              -              -              -              -              -              -              
3119           -              -              2468           -              2804           2975           -              2768           -              -              -              2856           -              -              -              -              2354           -              -              2380           2513           -              -              -              -              -              -              -              
2933           -              -              2740           -              2883           2694           -              2584           -              -              -              2920           -              -              -              -              2448           -              -              2444           2587           -              -              -              -              -              -              -              
2871           -              -              2482           -              2821           2776           -              2685           -              -              -              3018           -              -              -              -              2357           -              -              2402           2436           -              -              -              -              -              -              -              
2933           -              -              2764           -              2880           2640           -              2710           -              -              -              2778           -              -              -              -              2698           -              -              2278           2460           -              -              -              -              -              -              -              
2857           -              -              2754           -              2879           2480           -              2790           -              -              -              2826           -              -              -              -              2420           -              -              2441           2340           -              -              -              -              -              -              -              
2638           -              -              2536           -              2844           2530           -              2543           -              -              -              2893           -              -              -              -              2596           -              -              2317           2392           -              -              -              -              -              -              -              
2973           -              -              2683           -              2751           2673           -              2664           -              -              -              2816           -              -              -              -              2485           -              -              2421           2328           -              -              -              -              -              -              -              
2863           -              -              -              -              2816           2652           -              2392           -              -              -              -              -              -              -              -              2386           -              -              2383           2397           -              -              -              -              -              -              -              
2399           -              -              -              -              2876           2500           -              2659           -              -              -              -              -              -              -              -              2428           -              -              2279           2240           -              -              -              -              -              -              -              
2753           -              -              -              -              2730           -              -              2531           -              -              -              -              -              -              -              -              2603           -              -              2318           -              -              -              -              -              -              -              -              
2869           -              -              -              -              2817           -              -              2337           -              -              -              -              -              -              -              -              -              -              -              2237           -              -              -              -              -              -              -              -              
2801           -              -              -              -              2930           -              -              2718           -              -              -              -              -              -              -              -              -              -              -              2574           -              -              -              -              -              -              -              -              
3195           -              -              -              -              2838           -              -              2636           -              -              -              -              -              -              -              -              -              -              -              2340           -              -              -              -              -              -              -              -              
2799           -              -              -              -              2817           -              -              2132           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
2711           -              -              -              -              2727           -              -              2897           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
2617           -              -              -              -              2878           -              -              2316           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
2671           -              -              -              -              2949           -              -              2672           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
2694           -              -              -              -              2919           -              -              2791           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
2581           -              -              -              -              2797           -              -              2816           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
2730           -              -              -              -              3050           -              -              2719           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
2730           -              -              -              -              2821           -              -              2440           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
2526           -              -              -              -              2997           -              -              2661           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
2802           -              -              -              -              3014           -              -              2913           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
2836           -              -              -              -              3020           -              -              2762           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
2683           -              -              -              -              3031           -              -              2316           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
