H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
241            213            172            181            193            220            247            222            245            193            189            220            252            208            210            228            204            225            184            253            230            256            203            222            208            204            238            186            242            
229            -              177            173            -              266            243            213            235            -              -              -              257            209            212            216            213            252            -              247            245            258            -              213            -              -              240            -              235            
241            -              167            226            -              207            253            251            201            -              -              -              243            -              208            226            209            212            -              257            237            265            -              -              -              -              -              -              -              
249            -              -              208            -              230            234            219            238            -              -              -              242            -              -              218            213            198            -              224            243            255            -              -              -              -              -              -              -              
252            -              -              204            -              226            253            202            217            -              -              -              234            -              -              192            -              234            -              -              254            267            -              -              -              -              -              -              -              
246            -              -              194            -              231            245            -              202            -              -              -              247            -              -              -              -              202            -              -              227            261            -              -              -              -              -              -              -              
212            -              -              170            -              238            222            -              162            -              -              -              242            -              -              -              -              252            -              -              240            268            -              -              -              -              -              -              -              
241            -              -              192            -              226            222            -              197            -              -              -              249            -              -              -              -              192            -              -              241            239            -              -              -              -              -              -              -              
222            -              -              234            -              228            219            -              193            -              -              -              235            -              -              -              -              230            -              -              222            263            -              -              -              -              -              -              -              
214            -              -              222            -              230            222            -              176            -              -              -              222            -              -              -              -              234            -              -              243            237            -              -              -              -              -              -              -              
123            -              -              213            -              233            193            -              199            -              -              -              233            -              -              -              -              238            -              -              215            242            -              -              -              -              -              -              -              
236            -              -              192            -              218            210            -              236            -              -              -              201            -              -              -              -              200            -              -              219            216            -              -              -              -              -              -              -              
239            -              -              -              -              237            215            -              192            -              -              -              -              -              -              -              -              186            -              -              253            243            -              -              -              -              -              -              -              
181            -              -              -              -              229            220            -              218            -              -              -              -              -              -              -              -              209            -              -              241            211            -              -              -              -              -              -              -              
199            -              -              -              -              228            -              -              204            -              -              -              -              -              -              -              -              212            -              -              218            -              -              -              -              -              -              -              -              
251            -              -              -              -              223            -              -              164            -              -              -              -              -              -              -              -              -              -              -              234            -              -              -              -              -              -              -              -              
154            -              -              -              -              233            -              -              236            -              -              -              -              -              -              -              -              -              -              -              279            -              -              -              -              -              -              -              -              
248            -              -              -              -              225            -              -              200            -              -              -              -              -              -              -              -              -              -              -              253            -              -              -              -              -              -              -              -              
192            -              -              -              -              221            -              -              144            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
194            -              -              -              -              210            -              -              196            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
224            -              -              -              -              244            -              -              97             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
236            -              -              -              -              244            -              -              180            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
148            -              -              -              -              239            -              -              193            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
224            -              -              -              -              242            -              -              211            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
194            -              -              -              -              254            -              -              193            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
162            -              -              -              -              225            -              -              117            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
