H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
54             25             53             54             66             61             52             52             63             43             52             53             49             41             42             43             27             30             54             45             35             40             31             52             36             25             66             43             41             
50             -              52             57             -              56             58             46             65             -              -              -              48             39             49             35             42             37             -              45             31             44             -              44             -              -              67             -              45             
53             -              48             38             -              51             52             51             61             -              -              -              44             -              44             33             32             30             -              44             37             47             -              -              -              -              -              -              -              
62             -              -              57             -              57             56             50             74             -              -              -              42             -              -              31             32             27             -              45             36             43             -              -              -              -              -              -              -              
58             -              -              61             -              59             52             58             73             -              -              -              52             -              -              12             -              27             -              -              48             46             -              -              -              -              -              -              -              
53             -              -              57             -              54             68             -              63             -              -              -              46             -              -              -              -              28             -              -              44             41             -              -              -              -              -              -              -              
41             -              -              56             -              55             60             -              51             -              -              -              44             -              -              -              -              32             -              -              39             47             -              -              -              -              -              -              -              
54             -              -              32             -              53             58             -              51             -              -              -              44             -              -              -              -              43             -              -              36             39             -              -              -              -              -              -              -              
39             -              -              58             -              58             53             -              66             -              -              -              42             -              -              -              -              32             -              -              40             42             -              -              -              -              -              -              -              
37             -              -              63             -              52             59             -              49             -              -              -              49             -              -              -              -              27             -              -              41             42             -              -              -              -              -              -              -              
28             -              -              57             -              53             64             -              68             -              -              -              40             -              -              -              -              62             -              -              38             37             -              -              -              -              -              -              -              
62             -              -              50             -              45             72             -              71             -              -              -              46             -              -              -              -              35             -              -              41             37             -              -              -              -              -              -              -              
53             -              -              -              -              59             49             -              54             -              -              -              -              -              -              -              -              31             -              -              39             48             -              -              -              -              -              -              -              
43             -              -              -              -              56             61             -              78             -              -              -              -              -              -              -              -              43             -              -              45             34             -              -              -              -              -              -              -              
45             -              -              -              -              38             -              -              43             -              -              -              -              -              -              -              -              33             -              -              34             -              -              -              -              -              -              -              -              
60             -              -              -              -              53             -              -              50             -              -              -              -              -              -              -              -              -              -              -              15             -              -              -              -              -              -              -              -              
28             -              -              -              -              52             -              -              75             -              -              -              -              -              -              -              -              -              -              -              47             -              -              -              -              -              -              -              -              
54             -              -              -              -              52             -              -              45             -              -              -              -              -              -              -              -              -              -              -              49             -              -              -              -              -              -              -              -              
41             -              -              -              -              55             -              -              49             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
43             -              -              -              -              35             -              -              60             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
25             -              -              -              -              55             -              -              42             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
44             -              -              -              -              55             -              -              63             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
43             -              -              -              -              53             -              -              57             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
60             -              -              -              -              47             -              -              57             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
39             -              -              -              -              55             -              -              60             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
