H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
12             13             18             20             26             16             20             20             21             17             19             16             20             9              13             13             9              14             17             26             21             23             5              27             12             4              36             18             25             
23             -              18             22             -              21             23             20             33             -              -              -              18             9              13             12             11             12             -              26             22             23             -              25             -              -              34             -              25             
24             -              19             14             -              15             27             22             12             -              -              -              17             -              14             13             13             10             -              25             25             27             -              -              -              -              -              -              -              
22             -              -              20             -              21             26             20             36             -              -              -              17             -              -              11             13             12             -              23             24             23             -              -              -              -              -              -              -              
29             -              -              24             -              21             27             17             35             -              -              -              22             -              -              0              -              9              -              -              23             25             -              -              -              -              -              -              -              
20             -              -              23             -              21             19             -              12             -              -              -              18             -              -              -              -              1              -              -              25             23             -              -              -              -              -              -              -              
15             -              -              21             -              21             21             -              18             -              -              -              16             -              -              -              -              14             -              -              23             27             -              -              -              -              -              -              -              
24             -              -              13             -              21             19             -              19             -              -              -              19             -              -              -              -              12             -              -              24             25             -              -              -              -              -              -              -              
16             -              -              16             -              21             20             -              15             -              -              -              17             -              -              -              -              16             -              -              22             23             -              -              -              -              -              -              -              
13             -              -              19             -              21             19             -              9              -              -              -              24             -              -              -              -              9              -              -              28             24             -              -              -              -              -              -              -              
8              -              -              18             -              21             21             -              28             -              -              -              14             -              -              -              -              21             -              -              25             19             -              -              -              -              -              -              -              
19             -              -              19             -              17             25             -              29             -              -              -              20             -              -              -              -              7              -              -              23             25             -              -              -              -              -              -              -              
19             -              -              -              -              21             20             -              20             -              -              -              -              -              -              -              -              7              -              -              24             23             -              -              -              -              -              -              -              
22             -              -              -              -              21             22             -              29             -              -              -              -              -              -              -              -              15             -              -              29             19             -              -              -              -              -              -              -              
21             -              -              -              -              17             -              -              13             -              -              -              -              -              -              -              -              21             -              -              24             -              -              -              -              -              -              -              -              
28             -              -              -              -              21             -              -              16             -              -              -              -              -              -              -              -              -              -              -              8              -              -              -              -              -              -              -              -              
13             -              -              -              -              16             -              -              27             -              -              -              -              -              -              -              -              -              -              -              32             -              -              -              -              -              -              -              -              
17             -              -              -              -              21             -              -              14             -              -              -              -              -              -              -              -              -              -              -              24             -              -              -              -              -              -              -              -              
13             -              -              -              -              21             -              -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
15             -              -              -              -              15             -              -              17             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
10             -              -              -              -              22             -              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
16             -              -              -              -              23             -              -              13             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              23             -              -              17             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
22             -              -              -              -              21             -              -              19             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              22             -              -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
16             -              -              -              -              21             -              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              23             -              -              25             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
17             -              -              -              -              25             -              -              29             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
21             -              -              -              -              28             -              -              27             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
