H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
879            729            683            690            743            766            828            805            835            713            747            754            814            789            761            691            697            739            753            781            795            789            685            812            781            715            837            718            815            
798            -              693            689            -              894            830            787            724            -              -              -              810            804            763            696            721            784            -              808            798            796            -              771            -              -              855            -              834            
816            -              671            824            -              756            817            806            800            -              -              -              808            -              739            715            695            722            -              825            794            814            -              -              -              -              -              -              -              
814            -              -              739            -              805            772            818            710            -              -              -              804            -              -              690            698            717            -              719            804            808            -              -              -              -              -              -              -              
846            -              -              742            -              812            819            780            701            -              -              -              774            -              -              672            -              739            -              -              807            816            -              -              -              -              -              -              -              
877            -              -              700            -              780            847            -              788            -              -              -              810            -              -              -              -              690            -              -              738            800            -              -              -              -              -              -              -              
791            -              -              682            -              820            785            -              634            -              -              -              800            -              -              -              -              719            -              -              784            831            -              -              -              -              -              -              -              
812            -              -              722            -              809            809            -              785            -              -              -              790            -              -              -              -              659            -              -              736            750            -              -              -              -              -              -              -              
804            -              -              826            -              804            771            -              776            -              -              -              773            -              -              -              -              738            -              -              688            788            -              -              -              -              -              -              -              
796            -              -              806            -              805            754            -              722            -              -              -              728            -              -              -              -              748            -              -              753            731            -              -              -              -              -              -              -              
764            -              -              771            -              813            698            -              703            -              -              -              809            -              -              -              -              734            -              -              718            746            -              -              -              -              -              -              -              
821            -              -              707            -              784            744            -              735            -              -              -              798            -              -              -              -              712            -              -              738            684            -              -              -              -              -              -              -              
793            -              -              -              -              825            773            -              623            -              -              -              -              -              -              -              -              672            -              -              780            746            -              -              -              -              -              -              -              
611            -              -              -              -              820            752            -              724            -              -              -              -              -              -              -              -              718            -              -              719            680            -              -              -              -              -              -              -              
773            -              -              -              -              763            -              -              716            -              -              -              -              -              -              -              -              728            -              -              705            -              -              -              -              -              -              -              -              
823            -              -              -              -              780            -              -              609            -              -              -              -              -              -              -              -              -              -              -              744            -              -              -              -              -              -              -              -              
747            -              -              -              -              778            -              -              766            -              -              -              -              -              -              -              -              -              -              -              832            -              -              -              -              -              -              -              -              
834            -              -              -              -              824            -              -              750            -              -              -              -              -              -              -              -              -              -              -              794            -              -              -              -              -              -              -              -              
784            -              -              -              -              799            -              -              554            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
776            -              -              -              -              768            -              -              790            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
791            -              -              -              -              812            -              -              670            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
793            -              -              -              -              812            -              -              749            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
623            -              -              -              -              816            -              -              779            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
700            -              -              -              -              826            -              -              810            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
769            -              -              -              -              858            -              -              764            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
690            -              -              -              -              812            -              -              674            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
754            -              -              -              -              861            -              -              774            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
687            -              -              -              -              847            -              -              827            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
762            -              -              -              -              876            -              -              780            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
709            -              -              -              -              857            -              -              732            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
761            -              -              -              -              778            -              -              646            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
734            -              -              -              -              777            -              -              799            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
806            -              -              -              -              764            -              -              671            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
772            -              -              -              -              874            -              -              799            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
747            -              -              -              -              866            -              -              803            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
906            -              -              -              -              719            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
