H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
229            200            154            161            167            204            227            202            224            176            170            204            232            199            197            215            195            211            167            227            209            233            198            195            196            200            202            168            217            
206            -              159            151            -              245            220            193            202            -              -              -              239            200            199            204            202            240            -              221            223            235            -              188            -              -              206            -              210            
217            -              148            212            -              192            226            229            189            -              -              -              226            -              194            213            196            202            -              232            212            238            -              -              -              -              -              -              -              
227            -              -              188            -              209            208            199            202            -              -              -              225            -              -              207            200            186            -              201            219            232            -              -              -              -              -              -              -              
223            -              -              180            -              205            226            185            182            -              -              -              212            -              -              192            -              225            -              -              231            242            -              -              -              -              -              -              -              
226            -              -              171            -              210            226            -              190            -              -              -              229            -              -              -              -              201            -              -              202            238            -              -              -              -              -              -              -              
197            -              -              149            -              217            201            -              144            -              -              -              226            -              -              -              -              238            -              -              217            241            -              -              -              -              -              -              -              
217            -              -              179            -              205            203            -              178            -              -              -              230            -              -              -              -              180            -              -              217            214            -              -              -              -              -              -              -              
206            -              -              218            -              207            199            -              178            -              -              -              218            -              -              -              -              214            -              -              200            240            -              -              -              -              -              -              -              
201            -              -              203            -              209            203            -              167            -              -              -              198            -              -              -              -              225            -              -              215            213            -              -              -              -              -              -              -              
115            -              -              195            -              212            172            -              171            -              -              -              219            -              -              -              -              217            -              -              190            223            -              -              -              -              -              -              -              
217            -              -              173            -              201            185            -              207            -              -              -              181            -              -              -              -              193            -              -              196            191            -              -              -              -              -              -              -              
220            -              -              -              -              216            195            -              172            -              -              -              -              -              -              -              -              179            -              -              229            220            -              -              -              -              -              -              -              
159            -              -              -              -              208            198            -              189            -              -              -              -              -              -              -              -              194            -              -              212            192            -              -              -              -              -              -              -              
178            -              -              -              -              211            -              -              191            -              -              -              -              -              -              -              -              191            -              -              194            -              -              -              -              -              -              -              -              
223            -              -              -              -              202            -              -              148            -              -              -              -              -              -              -              -              -              -              -              226            -              -              -              -              -              -              -              -              
141            -              -              -              -              217            -              -              209            -              -              -              -              -              -              -              -              -              -              -              247            -              -              -              -              -              -              -              -              
231            -              -              -              -              204            -              -              186            -              -              -              -              -              -              -              -              -              -              -              229            -              -              -              -              -              -              -              -              
179            -              -              -              -              200            -              -              126            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
179            -              -              -              -              195            -              -              179            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
214            -              -              -              -              222            -              -              88             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
220            -              -              -              -              221            -              -              167            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
136            -              -              -              -              216            -              -              176            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
202            -              -              -              -              221            -              -              192            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
182            -              -              -              -              232            -              -              175            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
146            -              -              -              -              204            -              -              106            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
173            -              -              -              -              233            -              -              165            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
164            -              -              -              -              234            -              -              209            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
199            -              -              -              -              238            -              -              198            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
163            -              -              -              -              230            -              -              187            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
176            -              -              -              -              185            -              -              90             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
175            -              -              -              -              209            -              -              194            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
194            -              -              -              -              212            -              -              168            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
179            -              -              -              -              235            -              -              194            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
193            -              -              -              -              235            -              -              182            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
261            -              -              -              -              171            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
215            -              -              -              -              199            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
168            -              -              -              -              212            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
171            -              -              -              -              230            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
198            -              -              -              -              233            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
144            -              -              -              -              220            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
180            -              -              -              -              226            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
168            -              -              -              -              230            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
181            -              -              -              -              224            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
105            -              -              -              -              173            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
108            -              -              -              -              197            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
123            -              -              -              -              184            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
143            -              -              -              -              206            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
192            -              -              -              -              177            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
211            -              -              -              -              225            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
183            -              -              -              -              225            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              246            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              226            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              202            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              221            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              192            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              -              
