H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
933            754            736            744            809            827            880            857            898            756            799            807            863            830            803            734            724            769            807            826            830            829            716            864            817            740            903            761            856            
848            -              745            746            -              950            888            833            789            -              -              -              858            843            812            731            763            821            -              853            829            840            -              815            -              -              922            -              879            
869            -              719            862            -              807            869            857            861            -              -              -              852            -              783            748            727            752            -              869            831            861            -              -              -              -              -              -              -              
876            -              -              796            -              862            828            868            784            -              -              -              846            -              -              721            730            744            -              764            840            851            -              -              -              -              -              -              -              
904            -              -              803            -              871            871            838            774            -              -              -              826            -              -              684            -              766            -              -              855            862            -              -              -              -              -              -              -              
930            -              -              757            -              834            915            -              851            -              -              -              856            -              -              -              -              718            -              -              782            841            -              -              -              -              -              -              -              
832            -              -              738            -              875            845            -              685            -              -              -              844            -              -              -              -              751            -              -              823            878            -              -              -              -              -              -              -              
866            -              -              754            -              862            867            -              836            -              -              -              834            -              -              -              -              702            -              -              772            789            -              -              -              -              -              -              -              
843            -              -              884            -              862            824            -              842            -              -              -              815            -              -              -              -              770            -              -              728            830            -              -              -              -              -              -              -              
833            -              -              869            -              857            813            -              771            -              -              -              777            -              -              -              -              775            -              -              794            773            -              -              -              -              -              -              -              
792            -              -              828            -              866            762            -              771            -              -              -              849            -              -              -              -              796            -              -              756            783            -              -              -              -              -              -              -              
883            -              -              757            -              829            816            -              806            -              -              -              844            -              -              -              -              747            -              -              779            721            -              -              -              -              -              -              -              
846            -              -              -              -              884            822            -              677            -              -              -              -              -              -              -              -              703            -              -              819            794            -              -              -              -              -              -              -              
654            -              -              -              -              876            813            -              802            -              -              -              -              -              -              -              -              761            -              -              764            714            -              -              -              -              -              -              -              
818            -              -              -              -              801            -              -              759            -              -              -              -              -              -              -              -              761            -              -              739            -              -              -              -              -              -              -              -              
883            -              -              -              -              833            -              -              659            -              -              -              -              -              -              -              -              -              -              -              759            -              -              -              -              -              -              -              -              
