H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
70             48             39             51             41             37             39             39             62             47             45             56             61             41             54             44             34             39             60             33             41             27             40             65             41             41             91             41             46             
64             -              41             48             -              42             42             39             55             -              -              -              63             42             59             40             36             42             -              30             43             30             -              56             -              -              99             -              58             
62             -              43             60             -              43             50             39             67             -              -              -              63             -              52             43             38             35             -              37             49             30             -              -              -              -              -              -              -              
59             -              -              56             -              44             48             46             50             -              -              -              60             -              -              40             35             33             -              37             39             30             -              -              -              -              -              -              -              
61             -              -              53             -              43             50             37             50             -              -              -              58             -              -              57             -              40             -              -              42             34             -              -              -              -              -              -              -              
66             -              -              50             -              42             47             -              68             -              -              -              59             -              -              -              -              44             -              -              42             30             -              -              -              -              -              -              -              
72             -              -              49             -              42             41             -              41             -              -              -              62             -              -              -              -              29             -              -              39             33             -              -              -              -              -              -              -              
64             -              -              50             -              41             46             -              49             -              -              -              56             -              -              -              -              35             -              -              42             28             -              -              -              -              -              -              -              
72             -              -              63             -              41             39             -              63             -              -              -              64             -              -              -              -              34             -              -              40             31             -              -              -              -              -              -              -              
69             -              -              59             -              41             43             -              56             -              -              -              59             -              -              -              -              27             -              -              39             34             -              -              -              -              -              -              -              
54             -              -              56             -              41             30             -              58             -              -              -              66             -              -              -              -              39             -              -              34             31             -              -              -              -              -              -              -              
61             -              -              47             -              39             43             -              61             -              -              -              65             -              -              -              -              43             -              -              32             23             -              -              -              -              -              -              -              
60             -              -              -              -              43             34             -              41             -              -              -              -              -              -              -              -              42             -              -              35             25             -              -              -              -              -              -              -              
49             -              -              -              -              43             47             -              59             -              -              -              -              -              -              -              -              41             -              -              33             28             -              -              -              -              -              -              -              
54             -              -              -              -              28             -              -              54             -              -              -              -              -              -              -              -              38             -              -              36             -              -              -              -              -              -              -              -              
64             -              -              -              -              39             -              -              39             -              -              -              -              -              -              -              -              -              -              -              30             -              -              -              -              -              -              -              -              
57             -              -              -              -              55             -              -              60             -              -              -              -              -              -              -              -              -              -              -              42             -              -              -              -              -              -              -              -              
63             -              -              -              -              41             -              -              59             -              -              -              -              -              -              -              -              -              -              -              38             -              -              -              -              -              -              -              -              
62             -              -              -              -              44             -              -              44             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
64             -              -              -              -              33             -              -              64             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
56             -              -              -              -              37             -              -              45             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
54             -              -              -              -              38             -              -              55             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
45             -              -              -              -              39             -              -              61             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
49             -              -              -              -              41             -              -              62             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
64             -              -              -              -              48             -              -              59             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
49             -              -              -              -              41             -              -              45             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
62             -              -              -              -              47             -              -              60             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
60             -              -              -              -              49             -              -              59             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
53             -              -              -              -              50             -              -              66             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
55             -              -              -              -              49             -              -              51             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
63             -              -              -              -              41             -              -              39             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
52             -              -              -              -              41             -              -              55             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
53             -              -              -              -              39             -              -              37             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
60             -              -              -              -              45             -              -              51             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
64             -              -              -              -              51             -              -              42             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
63             -              -              -              -              51             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
50             -              -              -              -              39             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
36             -              -              -              -              35             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
38             -              -              -              -              46             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
