H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
11             0              12             7              12             17             8              2              18             11             11             16             12             14             14             8              6              2              3              6              3              9              7              9              2              12             9              19             0              
5              -              11             11             -              10             8              2              11             -              -              -              11             11             14             5              10             10             -              6              3              11             -              9              -              -              9              -              0              
3              -              6              5              -              5              7              4              21             -              -              -              11             -              13             2              3              4              -              5              3              11             -              -              -              -              -              -              -              
8              -              -              13             -              10             8              10             12             -              -              -              11             -              -              7              7              3              -              7              3              9              -              -              -              -              -              -              -              
3              -              -              12             -              8              7              8              15             -              -              -              11             -              -              0              -              4              -              -              8              4              -              -              -              -              -              -              -              
4              -              -              10             -              10             11             -              24             -              -              -              12             -              -              -              -              12             -              -              6              9              -              -              -              -              -              -              -              
3              -              -              7              -              10             6              -              8              -              -              -              11             -              -              -              -              7              -              -              4              3              -              -              -              -              -              -              -              
3              -              -              0              -              8              9              -              6              -              -              -              12             -              -              -              -              16             -              -              0              3              -              -              -              -              -              -              -              
2              -              -              11             -              8              5              -              24             -              -              -              12             -              -              -              -              6              -              -              6              3              -              -              -              -              -              -              -              
2              -              -              13             -              9              9              -              15             -              -              -              9              -              -              -              -              13             -              -              3              5              -              -              -              -              -              -              -              
2              -              -              9              -              8              13             -              17             -              -              -              8              -              -              -              -              20             -              -              3              9              -              -              -              -              -              -              -              
8              -              -              8              -              6              7              -              14             -              -              -              12             -              -              -              -              10             -              -              4              4              -              -              -              -              -              -              -              
7              -              -              -              -              8              6              -              12             -              -              -              -              -              -              -              -              8              -              -              3              17             -              -              -              -              -              -              -              
2              -              -              -              -              10             5              -              21             -              -              -              -              -              -              -              -              7              -              -              6              5              -              -              -              -              -              -              -              
3              -              -              -              -              1              -              -              10             -              -              -              -              -              -              -              -              1              -              -              2              -              -              -              -              -              -              -              -              
3              -              -              -              -              6              -              -              12             -              -              -              -              -              -              -              -              -              -              -              4              -              -              -              -              -              -              -              -              
1              -              -              -              -              7              -              -              18             -              -              -              -              -              -              -              -              -              -              -              5              -              -              -              -              -              -              -              -              
8              -              -              -              -              8              -              -              12             -              -              -              -              -              -              -              -              -              -              -              8              -              -              -              -              -              -              -              -              
8              -              -              -              -              9              -              -              13             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              0              -              -              16             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1              -              -              -              -              10             -              -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              7              -              -              21             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              -              -              -              6              -              -              15             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              4              -              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
5              -              -              -              -              4              -              -              15             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
4              -              -              -              -              9              -              -              17             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
4              -              -              -              -              6              -              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              5              -              -              17             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
8              -              -              -              -              5              -              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              -              -              -              6              -              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              2              -              -              17             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              8              -              -              13             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
5              -              -              -              -              3              -              -              15             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
7              -              -              -              -              9              -              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
10             -              -              -              -              5              -              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              15             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
8              -              -              -              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              4              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
5              -              -              -              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              -              -              -              7              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              4              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
4              -              -              -              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              4              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              10             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              10             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
4              -              -              -              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              4              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              4              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              -              
