H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
54             40             29             40             30             28             30             36             50             37             32             40             46             25             45             37             28             33             44             28             35             27             27             53             35             41             75             38             33             
46             -              30             35             -              33             32             36             44             -              -              -              47             25             45             35             27             39             -              27             38             28             -              52             -              -              81             -              41             
42             -              33             46             -              31             39             33             49             -              -              -              48             -              41             39             29             29             -              34             43             30             -              -              -              -              -              -              -              
39             -              -              44             -              35             37             40             35             -              -              -              49             -              -              37             29             27             -              35             35             28             -              -              -              -              -              -              -              
41             -              -              40             -              34             39             29             37             -              -              -              45             -              -              48             -              35             -              -              36             28             -              -              -              -              -              -              -              
47             -              -              37             -              34             30             -              50             -              -              -              46             -              -              -              -              38             -              -              35             28             -              -              -              -              -              -              -              
52             -              -              37             -              34             31             -              28             -              -              -              49             -              -              -              -              26             -              -              34             28             -              -              -              -              -              -              -              
43             -              -              41             -              33             32             -              34             -              -              -              45             -              -              -              -              32             -              -              36             28             -              -              -              -              -              -              -              
54             -              -              46             -              32             31             -              45             -              -              -              51             -              -              -              -              31             -              -              34             26             -              -              -              -              -              -              -              
50             -              -              41             -              34             28             -              37             -              -              -              46             -              -              -              -              26             -              -              34             30             -              -              -              -              -              -              -              
41             -              -              39             -              34             24             -              44             -              -              -              51             -              -              -              -              30             -              -              30             28             -              -              -              -              -              -              -              
40             -              -              37             -              31             26             -              46             -              -              -              52             -              -              -              -              37             -              -              27             21             -              -              -              -              -              -              -              
42             -              -              -              -              34             28             -              28             -              -              -              -              -              -              -              -              35             -              -              30             24             -              -              -              -              -              -              -              
36             -              -              -              -              36             31             -              41             -              -              -              -              -              -              -              -              35             -              -              29             26             -              -              -              -              -              -              -              
39             -              -              -              -              24             -              -              40             -              -              -              -              -              -              -              -              33             -              -              31             -              -              -              -              -              -              -              -              
42             -              -              -              -              30             -              -              26             -              -              -              -              -              -              -              -              -              -              -              29             -              -              -              -              -              -              -              -              
47             -              -              -              -              39             -              -              44             -              -              -              -              -              -              -              -              -              -              -              39             -              -              -              -              -              -              -              -              
43             -              -              -              -              32             -              -              45             -              -              -              -              -              -              -              -              -              -              -              34             -              -              -              -              -              -              -              -              
51             -              -              -              -              35             -              -              37             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
48             -              -              -              -              25             -              -              48             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
45             -              -              -              -              29             -              -              36             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
39             -              -              -              -              29             -              -              39             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
29             -              -              -              -              28             -              -              45             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
36             -              -              -              -              31             -              -              47             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
50             -              -              -              -              39             -              -              43             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
32             -              -              -              -              33             -              -              37             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
47             -              -              -              -              38             -              -              46             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
41             -              -              -              -              40             -              -              47             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
38             -              -              -              -              41             -              -              50             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
40             -              -              -              -              40             -              -              38             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
44             -              -              -              -              31             -              -              31             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
40             -              -              -              -              31             -              -              39             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
35             -              -              -              -              30             -              -              27             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
47             -              -              -              -              39             -              -              39             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
41             -              -              -              -              42             -              -              34             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
49             -              -              -              -              36             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
37             -              -              -              -              30             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              -              -              -              26             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
27             -              -              -              -              37             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
42             -              -              -              -              36             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
33             -              -              -              -              31             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
25             -              -              -              -              27             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
26             -              -              -              -              40             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
38             -              -              -              -              39             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
21             -              -              -              -              32             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
28             -              -              -              -              23             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
33             -              -              -              -              26             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              -              -              -              28             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
53             -              -              -              -              28             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
58             -              -              -              -              27             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
45             -              -              -              -              32             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
