H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
18             7              16             21             23             31             27             42             19             9              18             12             10             5              13             15             6              16             29             28             20             25             6              10             25             9              11             11             10             
14             -              13             20             -              28             30             34             22             -              -              -              9              5              15             13             14             12             -              27             17             25             -              11             -              -              12             -              10             
13             -              18             9              -              31             24             31             10             -              -              -              7              -              13             14             7              12             -              28             22             28             -              -              -              -              -              -              -              
19             -              -              19             -              29             28             23             22             -              -              -              9              -              -              10             6              15             -              28             23             25             -              -              -              -              -              -              -              
15             -              -              22             -              33             24             39             24             -              -              -              16             -              -              3              -              13             -              -              28             27             -              -              -              -              -              -              -              
15             -              -              21             -              27             33             -              9              -              -              -              12             -              -              -              -              10             -              -              25             23             -              -              -              -              -              -              -              
6              -              -              21             -              28             38             -              21             -              -              -              9              -              -              -              -              14             -              -              24             28             -              -              -              -              -              -              -              
13             -              -              13             -              28             29             -              18             -              -              -              9              -              -              -              -              17             -              -              24             31             -              -              -              -              -              -              -              
6              -              -              17             -              32             33             -              9              -              -              -              8              -              -              -              -              15             -              -              22             25             -              -              -              -              -              -              -              
6              -              -              17             -              27             26             -              6              -              -              -              13             -              -              -              -              7              -              -              27             21             -              -              -              -              -              -              -              
8              -              -              17             -              29             37             -              14             -              -              -              8              -              -              -              -              21             -              -              25             20             -              -              -              -              -              -              -              
18             -              -              17             -              26             38             -              20             -              -              -              7              -              -              -              -              16             -              -              24             23             -              -              -              -              -              -              -              
13             -              -              -              -              33             31             -              16             -              -              -              -              -              -              -              -              10             -              -              25             24             -              -              -              -              -              -              -              
15             -              -              -              -              30             30             -              18             -              -              -              -              -              -              -              -              19             -              -              25             22             -              -              -              -              -              -              -              
11             -              -              -              -              30             -              -              6              -              -              -              -              -              -              -              -              12             -              -              20             -              -              -              -              -              -              -              -              
14             -              -              -              -              29             -              -              15             -              -              -              -              -              -              -              -              -              -              -              8              -              -              -              -              -              -              -              -              
7              -              -              -              -              26             -              -              21             -              -              -              -              -              -              -              -              -              -              -              30             -              -              -              -              -              -              -              -              
12             -              -              -              -              26             -              -              7              -              -              -              -              -              -              -              -              -              -              -              30             -              -              -              -              -              -              -              -              
13             -              -              -              -              28             -              -              17             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
10             -              -              -              -              24             -              -              17             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              28             -              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
10             -              -              -              -              30             -              -              13             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
15             -              -              -              -              26             -              -              15             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
19             -              -              -              -              23             -              -              16             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
11             -              -              -              -              32             -              -              19             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
14             -              -              -              -              31             -              -              15             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              32             -              -              15             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
18             -              -              -              -              34             -              -              19             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
14             -              -              -              -              38             -              -              21             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              32             -              -              16             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
16             -              -              -              -              24             -              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
19             -              -              -              -              36             -              -              21             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
11             -              -              -              -              32             -              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
