H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
158            122            134            115            112            183            194            188            160            139            138            138            162            140            124            145            127            136            122            154            160            167            143            139            185            121            162            155            169            
126            -              123            109            -              200            189            183            115            -              -              -              160            149            129            143            119            142            -              161            161            166            -              132            -              -              166            -              169            
155            -              124            158            -              176            177            173            138            -              -              -              159            -              128            154            112            129            -              174            158            174            -              -              -              -              -              -              -              
144            -              -              125            -              195            167            207            128            -              -              -              154            -              -              127            137            141            -              128            180            174            -              -              -              -              -              -              -              
159            -              -              125            -              194            178            200            129            -              -              -              157            -              -              126            -              132            -              -              176            175            -              -              -              -              -              -              -              
158            -              -              114            -              181            204            -              142            -              -              -              151            -              -              -              -              123            -              -              170            173            -              -              -              -              -              -              -              
139            -              -              114            -              189            179            -              96             -              -              -              154            -              -              -              -              119            -              -              179            177            -              -              -              -              -              -              -              
151            -              -              124            -              194            198            -              148            -              -              -              151            -              -              -              -              121            -              -              173            153            -              -              -              -              -              -              -              
138            -              -              120            -              189            170            -              142            -              -              -              138            -              -              -              -              141            -              -              156            169            -              -              -              -              -              -              -              
150            -              -              122            -              189            184            -              123            -              -              -              147            -              -              -              -              127            -              -              169            131            -              -              -              -              -              -              -              
142            -              -              127            -              192            164            -              135            -              -              -              150            -              -              -              -              132            -              -              175            162            -              -              -              -              -              -              -              
141            -              -              121            -              174            174            -              151            -              -              -              146            -              -              -              -              131            -              -              182            136            -              -              -              -              -              -              -              
136            -              -              -              -              191            168            -              112            -              -              -              -              -              -              -              -              116            -              -              174            156            -              -              -              -              -              -              -              
124            -              -              -              -              193            164            -              149            -              -              -              -              -              -              -              -              124            -              -              157            137            -              -              -              -              -              -              -              
129            -              -              -              -              171            -              -              140            -              -              -              -              -              -              -              -              133            -              -              168            -              -              -              -              -              -              -              -              
155            -              -              -              -              180            -              -              110            -              -              -              -              -              -              -              -              -              -              -              171            -              -              -              -              -              -              -              -              
130            -              -              -              -              185            -              -              139            -              -              -              -              -              -              -              -              -              -              -              169            -              -              -              -              -              -              -              -              
167            -              -              -              -              197            -              -              135            -              -              -              -              -              -              -              -              -              -              -              169            -              -              -              -              -              -              -              -              
163            -              -              -              -              198            -              -              116            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
143            -              -              -              -              170            -              -              144            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
141            -              -              -              -              196            -              -              135            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
153            -              -              -              -              207            -              -              130            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
119            -              -              -              -              187            -              -              153            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
120            -              -              -              -              187            -              -              148            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
151            -              -              -              -              215            -              -              133            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
127            -              -              -              -              194            -              -              139            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
157            -              -              -              -              219            -              -              157            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
149            -              -              -              -              215            -              -              160            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
130            -              -              -              -              218            -              -              133            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
139            -              -              -              -              222            -              -              139            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
150            -              -              -              -              178            -              -              122            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
154            -              -              -              -              181            -              -              153            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
146            -              -              -              -              177            -              -              140            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
156            -              -              -              -              213            -              -              151            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
169            -              -              -              -              222            -              -              163            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
183            -              -              -              -              183            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
150            -              -              -              -              194            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
105            -              -              -              -              177            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
111            -              -              -              -              196            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
156            -              -              -              -              219            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
132            -              -              -              -              175            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
126            -              -              -              -              179            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
111            -              -              -              -              220            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
137            -              -              -              -              213            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
84             -              -              -              -              178            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
87             -              -              -              -              161            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
81             -              -              -              -              181            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
96             -              -              -              -              170            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
168            -              -              -              -              173            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
170            -              -              -              -              197            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
166            -              -              -              -              199            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              220            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              171            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              156            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              160            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              182            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              -              
