H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
11             8              5              5              9              12             23             20             6              3              8              10             8              4              10             27             27             27             3              8              9              11             0              12             20             18             21             9              5              
7              -              6              4              -              15             19             18             8              -              -              -              8              6              10             25             24             23             -              12             9              11             -              9              -              -              22             -              5              
14             -              7              8              -              17             14             18             3              -              -              -              8              -              10             27             26             19             -              13             8              10             -              -              -              -              -              -              -              
9              -              -              7              -              17             12             19             5              -              -              -              9              -              -              21             30             27             -              8              14             11             -              -              -              -              -              -              -              
13             -              -              3              -              16             14             13             4              -              -              -              7              -              -              21             -              17             -              -              14             12             -              -              -              -              -              -              -              
12             -              -              4              -              15             23             -              3              -              -              -              10             -              -              -              -              16             -              -              14             13             -              -              -              -              -              -              -              
10             -              -              5              -              18             20             -              6              -              -              -              8              -              -              -              -              21             -              -              11             13             -              -              -              -              -              -              -              
11             -              -              6              -              17             20             -              5              -              -              -              9              -              -              -              -              17             -              -              9              12             -              -              -              -              -              -              -              
11             -              -              8              -              17             16             -              3              -              -              -              9              -              -              -              -              25             -              -              10             7              -              -              -              -              -              -              -              
10             -              -              7              -              21             22             -              7              -              -              -              7              -              -              -              -              24             -              -              8              10             -              -              -              -              -              -              -              
9              -              -              6              -              16             18             -              10             -              -              -              8              -              -              -              -              22             -              -              11             10             -              -              -              -              -              -              -              
10             -              -              9              -              15             19             -              6              -              -              -              9              -              -              -              -              15             -              -              16             7              -              -              -              -              -              -              -              
9              -              -              -              -              17             20             -              5              -              -              -              -              -              -              -              -              22             -              -              15             7              -              -              -              -              -              -              -              
7              -              -              -              -              19             13             -              8              -              -              -              -              -              -              -              -              20             -              -              7              11             -              -              -              -              -              -              -              
12             -              -              -              -              5              -              -              7              -              -              -              -              -              -              -              -              27             -              -              14             -              -              -              -              -              -              -              -              
13             -              -              -              -              16             -              -              8              -              -              -              -              -              -              -              -              -              -              -              14             -              -              -              -              -              -              -              -              
9              -              -              -              -              20             -              -              9              -              -              -              -              -              -              -              -              -              -              -              9              -              -              -              -              -              -              -              -              
11             -              -              -              -              18             -              -              3              -              -              -              -              -              -              -              -              -              -              -              11             -              -              -              -              -              -              -              -              
12             -              -              -              -              17             -              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
10             -              -              -              -              9              -              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              9              -              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
7              -              -              -              -              12             -              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              15             -              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              -              -              -              14             -              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
10             -              -              -              -              15             -              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
8              -              -              -              -              15             -              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              15             -              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
7              -              -              -              -              15             -              -              10             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
8              -              -              -              -              18             -              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
7              -              -              -              -              17             -              -              4              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
8              -              -              -              -              16             -              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
11             -              -              -              -              15             -              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
8              -              -              -              -              15             -              -              7              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
10             -              -              -              -              16             -              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
18             -              -              -              -              18             -              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
14             -              -              -              -              21             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
8              -              -              -              -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              -              -              -              15             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              -              -              -              16             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
10             -              -              -              -              16             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              -              -              -              20             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              -              -              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              -              -              -              16             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
7              -              -              -              -              21             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              21             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              15             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
4              -              -              -              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
11             -              -              -              -              22             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              15             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              17             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              -              
