H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
176            129            150            136            135            214            221            230            179            148            156            150            172            145            137            160            133            152            151            182            180            192            149            149            210            130            173            166            179            
140            -              136            129            -              228            219            217            137            -              -              -              169            154            144            156            133            154            -              188            178            191            -              143            -              -              178            -              179            
168            -              142            167            -              207            201            204            148            -              -              -              166            -              141            168            119            141            -              202            180            202            -              -              -              -              -              -              -              
163            -              -              144            -              224            195            230            150            -              -              -              163            -              -              137            143            156            -              156            203            199            -              -              -              -              -              -              -              
174            -              -              147            -              227            202            239            153            -              -              -              173            -              -              129            -              145            -              -              204            202            -              -              -              -              -              -              -              
173            -              -              135            -              208            237            -              151            -              -              -              163            -              -              -              -              133            -              -              195            196            -              -              -              -              -              -              -              
145            -              -              135            -              217            217            -              117            -              -              -              163            -              -              -              -              133            -              -              203            205            -              -              -              -              -              -              -              
164            -              -              137            -              222            227            -              166            -              -              -              160            -              -              -              -              138            -              -              197            184            -              -              -              -              -              -              -              
144            -              -              137            -              221            203            -              151            -              -              -              146            -              -              -              -              156            -              -              178            194            -              -              -              -              -              -              -              
156            -              -              139            -              216            210            -              129            -              -              -              160            -              -              -              -              134            -              -              196            152            -              -              -              -              -              -              -              
150            -              -              144            -              221            201            -              149            -              -              -              158            -              -              -              -              153            -              -              200            182            -              -              -              -              -              -              -              
159            -              -              138            -              200            212            -              171            -              -              -              153            -              -              -              -              147            -              -              206            159            -              -              -              -              -              -              -              
149            -              -              -              -              224            199            -              128            -              -              -              -              -              -              -              -              126            -              -              199            180            -              -              -              -              -              -              -              
139            -              -              -              -              223            194            -              167            -              -              -              -              -              -              -              -              143            -              -              182            159            -              -              -              -              -              -              -              
