H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
1276           1033           1046           1062           1049           1229           1123           1108           1230           1029           1134           1106           1288           1236           1219           1123           1020           1057           1225           840            990            938            1346           1202           986            1036           1210           1237           1135           
1257           -              1056           1083           -              1242           1088           1072           1193           -              -              -              1293           1269           1239           1043           879            1140           -              890            962            914            -              1160           -              -              1202           -              1237           
1259           -              1011           948            -              1031           1114           1060           1130           -              -              -              1323           -              1115           1124           1073           1125           -              761            954            956            -              -              -              -              -              -              -              
1297           -              -              1036           -              1153           1170           1064           1234           -              -              -              1282           -              -              1032           1102           1049           -              764            992            998            -              -              -              -              -              -              -              
1249           -              -              1134           -              1154           1114           1102           1206           -              -              -              1180           -              -              1023           -              1030           -              -              1021           909            -              -              -              -              -              -              -              
1318           -              -              986            -              1121           1119           -              1060           -              -              -              1220           -              -              -              -              974            -              -              869            918            -              -              -              -              -              -              -              
1301           -              -              1143           -              1135           991            -              1145           -              -              -              1239           -              -              -              -              969            -              -              912            943            -              -              -              -              -              -              -              
1248           -              -              1003           -              1127           1058           -              1096           -              -              -              1315           -              -              -              -              1049           -              -              873            918            -              -              -              -              -              -              -              
1279           -              -              1041           -              1143           1001           -              1024           -              -              -              1176           -              -              -              -              1142           -              -              844            882            -              -              -              -              -              -              -              
1251           -              -              1051           -              1171           935            -              1200           -              -              -              1241           -              -              -              -              928            -              -              938            834            -              -              -              -              -              -              -              
1254           -              -              943            -              1135           982            -              1161           -              -              -              1228           -              -              -              -              1065           -              -              845            881            -              -              -              -              -              -              -              
1307           -              -              1143           -              1097           1051           -              1104           -              -              -              1218           -              -              -              -              1064           -              -              903            913            -              -              -              -              -              -              -              
1245           -              -              -              -              1101           1011           -              1057           -              -              -              -              -              -              -              -              998            -              -              839            898            -              -              -              -              -              -              -              
1069           -              -              -              -              1144           987            -              1138           -              -              -              -              -              -              -              -              1006           -              -              809            865            -              -              -              -              -              -              -              
1228           -              -              -              -              1115           -              -              1050           -              -              -              -              -              -              -              -              1058           -              -              808            -              -              -              -              -              -              -              -              
1218           -              -              -              -              1130           -              -              1090           -              -              -              -              -              -              -              -              -              -              -              883            -              -              -              -              -              -              -              -              
1351           -              -              -              -              1199           -              -              1061           -              -              -              -              -              -              -              -              -              -              -              911            -              -              -              -              -              -              -              -              
1428           -              -              -              -              1115           -              -              1084           -              -              -              -              -              -              -              -              -              -              -              840            -              -              -              -              -              -              -              -              
1220           -              -              -              -              1128           -              -              893            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1187           -              -              -              -              1122           -              -              1190           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1195           -              -              -              -              1156           -              -              1092           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1106           -              -              -              -              1205           -              -              1090           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1321           -              -              -              -              1164           -              -              1162           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1115           -              -              -              -              1107           -              -              1143           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1219           -              -              -              -              1183           -              -              1132           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1267           -              -              -              -              1137           -              -              1158           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1061           -              -              -              -              1144           -              -              1063           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1308           -              -              -              -              1163           -              -              1136           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1278           -              -              -              -              1157           -              -              1080           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1197           -              -              -              -              1172           -              -              876            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1271           -              -              -              -              1028           -              -              1104           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1287           -              -              -              -              1176           -              -              1141           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1170           -              -              -              -              1162           -              -              1086           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1201           -              -              -              -              1111           -              -              1119           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1334           -              -              -              -              1169           -              -              1131           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1286           -              -              -              -              1245           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1238           -              -              -              -              1133           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
860            -              -              -              -              1117           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
825            -              -              -              -              1132           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1149           -              -              -              -              1123           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1083           -              -              -              -              1022           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
837            -              -              -              -              1062           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
870            -              -              -              -              1144           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1128           -              -              -              -              1222           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
811            -              -              -              -              1029           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
746            -              -              -              -              1147           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
822            -              -              -              -              1055           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
760            -              -              -              -              1112           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1220           -              -              -              -              908            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1231           -              -              -              -              1101           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
1228           -              -              -              -              1116           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              1199           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              1032           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              1019           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              1043           -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              994            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              -              
