H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
333            275            273            311            277            244            253            237            376            292            229            261            335            213            310            235            171            214            239            210            252            206            210            267            259            228            339            249            303            
322            -              272            290            -              271            234            209            293            -              -              -              340            229            290            213            203            232            -              231            255            213            -              258            -              -              308            -              330            
315            -              232            312            -              216            241            217            381            -              -              -              332            -              283            232            211            225            -              224            241            235            -              -              -              -              -              -              -              
322            -              -              285            -              218            225            238            279            -              -              -              338            -              -              207            178            236            -              190            261            230            -              -              -              -              -              -              -              
315            -              -              295            -              236            241            229            284            -              -              -              328            -              -              228            -              224            -              -              258            255            -              -              -              -              -              -              -              
352            -              -              276            -              221            303            -              369            -              -              -              311            -              -              -              -              212            -              -              248            223            -              -              -              -              -              -              -              
301            -              -              284            -              228            240            -              286            -              -              -              328            -              -              -              -              213            -              -              237            238            -              -              -              -              -              -              -              
293            -              -              262            -              216            244            -              299            -              -              -              340            -              -              -              -              183            -              -              251            219            -              -              -              -              -              -              -              
307            -              -              340            -              231            240            -              365            -              -              -              314            -              -              -              -              247            -              -              236            232            -              -              -              -              -              -              -              
289            -              -              330            -              224            237            -              297            -              -              -              317            -              -              -              -              205            -              -              235            202            -              -              -              -              -              -              -              
218            -              -              320            -              206            234            -              165            -              -              -              338            -              -              -              -              259            -              -              236            212            -              -              -              -              -              -              -              
300            -              -              281            -              219            231            -              304            -              -              -              287            -              -              -              -              215            -              -              239            172            -              -              -              -              -              -              -              
299            -              -              -              -              225            236            -              201            -              -              -              -              -              -              -              -              190            -              -              248            212            -              -              -              -              -              -              -              
215            -              -              -              -              237            191            -              303            -              -              -              -              -              -              -              -              197            -              -              239            170            -              -              -              -              -              -              -              
272            -              -              -              -              234            -              -              279            -              -              -              -              -              -              -              -              225            -              -              261            -              -              -              -              -              -              -              -              
294            -              -              -              -              232            -              -              148            -              -              -              -              -              -              -              -              -              -              -              238            -              -              -              -              -              -              -              -              
238            -              -              -              -              255            -              -              321            -              -              -              -              -              -              -              -              -              -              -              239            -              -              -              -              -              -              -              -              
357            -              -              -              -              220            -              -              341            -              -              -              -              -              -              -              -              -              -              -              210            -              -              -              -              -              -              -              -              
280            -              -              -              -              221            -              -              211            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
254            -              -              -              -              208            -              -              359            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
207            -              -              -              -              244            -              -              170            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
272            -              -              -              -              250            -              -              296            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
260            -              -              -              -              263            -              -              319            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
238            -              -              -              -              223            -              -              340            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
260            -              -              -              -              247            -              -              303            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
261            -              -              -              -              211            -              -              182            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
243            -              -              -              -              235            -              -              314            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
245            -              -              -              -              256            -              -              372            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
