H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
65             57             66             45             49             125            124            128            77             56             84             59             73             48             40             66             67             77             47             63             77             69             70             44             109            90             63             49             99             
42             -              61             46             -              119            126            140            68             -              -              -              67             56             45             65             77             94             -              72             68             71             -              44             -              -              65             -              102            
50             -              52             55             -              111            123            138            45             -              -              -              71             -              37             73             72             69             -              74             79             69             -              -              -              -              -              -              -              
61             -              -              51             -              122            114            138            73             -              -              -              75             -              -              66             62             80             -              66             76             66             -              -              -              -              -              -              -              
47             -              -              46             -              115            123            133            67             -              -              -              74             -              -              54             -              70             -              -              74             64             -              -              -              -              -              -              -              
56             -              -              43             -              120            98             -              50             -              -              -              54             -              -              -              -              60             -              -              73             65             -              -              -              -              -              -              -              
49             -              -              58             -              127            108            -              72             -              -              -              76             -              -              -              -              83             -              -              70             71             -              -              -              -              -              -              -              
50             -              -              45             -              117            111            -              58             -              -              -              72             -              -              -              -              48             -              -              76             59             -              -              -              -              -              -              -              
44             -              -              58             -              119            99             -              51             -              -              -              56             -              -              -              -              73             -              -              69             65             -              -              -              -              -              -              -              
47             -              -              56             -              114            72             -              59             -              -              -              64             -              -              -              -              73             -              -              73             63             -              -              -              -              -              -              -              
33             -              -              52             -              122            98             -              54             -              -              -              54             -              -              -              -              55             -              -              73             61             -              -              -              -              -              -              -              
61             -              -              45             -              103            79             -              74             -              -              -              42             -              -              -              -              63             -              -              70             53             -              -              -              -              -              -              -              
64             -              -              -              -              108            100            -              63             -              -              -              -              -              -              -              -              82             -              -              71             62             -              -              -              -              -              -              -              
33             -              -              -              -              108            73             -              77             -              -              -              -              -              -              -              -              66             -              -              66             47             -              -              -              -              -              -              -              
42             -              -              -              -              104            -              -              51             -              -              -              -              -              -              -              -              98             -              -              77             -              -              -              -              -              -              -              -              
47             -              -              -              -              119            -              -              62             -              -              -              -              -              -              -              -              -              -              -              46             -              -              -              -              -              -              -              -              
37             -              -              -              -              97             -              -              65             -              -              -              -              -              -              -              -              -              -              -              88             -              -              -              -              -              -              -              -              
53             -              -              -              -              110            -              -              48             -              -              -              -              -              -              -              -              -              -              -              69             -              -              -              -              -              -              -              -              
56             -              -              -              -              115            -              -              44             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
53             -              -              -              -              124            -              -              50             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
42             -              -              -              -              114            -              -              36             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
58             -              -              -              -              117            -              -              63             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
38             -              -              -              -              116            -              -              49             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
42             -              -              -              -              102            -              -              48             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
