H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
43             32             36             42             40             70             72             73             31             25             46             24             44             35             27             35             25             38             27             40             49             43             33             19             62             53             50             50             65             
33             -              35             42             -              78             71             77             26             -              -              -              44             43             29             32             32             63             -              41             43             49             -              20             -              -              50             -              70             
36             -              34             25             -              75             77             85             27             -              -              -              44             -              26             30             31             33             -              43             43             44             -              -              -              -              -              -              -              
46             -              -              28             -              83             72             74             31             -              -              -              44             -              -              32             29             42             -              38             50             47             -              -              -              -              -              -              -              
37             -              -              43             -              79             77             74             39             -              -              -              44             -              -              18             -              33             -              -              50             54             -              -              -              -              -              -              -              
37             -              -              38             -              79             70             -              30             -              -              -              42             -              -              -              -              36             -              -              43             43             -              -              -              -              -              -              -              
37             -              -              45             -              82             77             -              36             -              -              -              45             -              -              -              -              34             -              -              47             51             -              -              -              -              -              -              -              
37             -              -              23             -              79             76             -              26             -              -              -              42             -              -              -              -              26             -              -              45             42             -              -              -              -              -              -              -              
35             -              -              35             -              76             72             -              30             -              -              -              38             -              -              -              -              40             -              -              42             49             -              -              -              -              -              -              -              
36             -              -              37             -              75             55             -              29             -              -              -              40             -              -              -              -              32             -              -              45             46             -              -              -              -              -              -              -              
28             -              -              33             -              81             66             -              31             -              -              -              41             -              -              -              -              34             -              -              50             41             -              -              -              -              -              -              -              
44             -              -              29             -              69             51             -              30             -              -              -              35             -              -              -              -              33             -              -              47             40             -              -              -              -              -              -              -              
44             -              -              -              -              77             71             -              36             -              -              -              -              -              -              -              -              42             -              -              46             38             -              -              -              -              -              -              -              
31             -              -              -              -              71             46             -              33             -              -              -              -              -              -              -              -              28             -              -              38             30             -              -              -              -              -              -              -              
36             -              -              -              -              67             -              -              21             -              -              -              -              -              -              -              -              38             -              -              46             -              -              -              -              -              -              -              -              
36             -              -              -              -              78             -              -              39             -              -              -              -              -              -              -              -              -              -              -              15             -              -              -              -              -              -              -              -              
31             -              -              -              -              70             -              -              31             -              -              -              -              -              -              -              -              -              -              -              58             -              -              -              -              -              -              -              -              
33             -              -              -              -              76             -              -              30             -              -              -              -              -              -              -              -              -              -              -              41             -              -              -              -              -              -              -              -              
