H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
9              10             9              13             9              4              2              3              6              6              9              9              6              6              6              3              5              3              9              7              9              7              6              2              0              3              6              3              11             
9              -              9              11             -              3              4              3              10             -              -              -              6              6              6              2              0              18             -              6              5              8              -              2              -              -              6              -              15             
9              -              8              5              -              11             4              3              6              -              -              -              7              -              6              0              3              2              -              6              3              8              -              -              -              -              -              -              -              
11             -              -              13             -              8              5              0              10             -              -              -              6              -              -              2              6              3              -              7              8              8              -              -              -              -              -              -              -              
9              -              -              13             -              6              4              0              16             -              -              -              6              -              -              6              -              5              -              -              7              11             -              -              -              -              -              -              -              
10             -              -              12             -              6              8              -              6              -              -              -              8              -              -              -              -              6              -              -              7              8              -              -              -              -              -              -              -              
9              -              -              11             -              9              4              -              11             -              -              -              6              -              -              -              -              2              -              -              8              8              -              -              -              -              -              -              -              
9              -              -              7              -              6              7              -              6              -              -              -              6              -              -              -              -              3              -              -              7              8              -              -              -              -              -              -              -              
9              -              -              9              -              2              3              -              6              -              -              -              8              -              -              -              -              3              -              -              7              8              -              -              -              -              -              -              -              
9              -              -              9              -              3              9              -              6              -              -              -              6              -              -              -              -              3              -              -              7              6              -              -              -              -              -              -              -              
7              -              -              9              -              7              6              -              12             -              -              -              9              -              -              -              -              7              -              -              7              7              -              -              -              -              -              -              -              
10             -              -              9              -              6              13             -              5              -              -              -              7              -              -              -              -              3              -              -              10             8              -              -              -              -              -              -              -              
10             -              -              -              -              6              2              -              9              -              -              -              -              -              -              -              -              2              -              -              9              7              -              -              -              -              -              -              -              
11             -              -              -              -              2              9              -              5              -              -              -              -              -              -              -              -              2              -              -              8              5              -              -              -              -              -              -              -              
9              -              -              -              -              13             -              -              3              -              -              -              -              -              -              -              -              3              -              -              8              -              -              -              -              -              -              -              -              
9              -              -              -              -              3              -              -              12             -              -              -              -              -              -              -              -              -              -              -              2              -              -              -              -              -              -              -              -              
6              -              -              -              -              6              -              -              6              -              -              -              -              -              -              -              -              -              -              -              6              -              -              -              -              -              -              -              -              
7              -              -              -              -              5              -              -              6              -              -              -              -              -              -              -              -              -              -              -              9              -              -              -              -              -              -              -              -              
9              -              -              -              -              6              -              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              2              -              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              5              -              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              4              -              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              3              -              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              8              -              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
11             -              -              -              -              6              -              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
7              -              -              -              -              5              -              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              6              -              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
8              -              -              -              -              6              -              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
