H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
170            131            139            141            131            222            195            208            180            145            159            125            183            159            123            190            188            205            199            186            194            210            160            121            191            239            189            141            172            
134            -              138            149            -              209            205            217            151            -              -              -              172            166            128            188            204            221            -              197            169            217            -              128            -              -              196            -              183            
140            -              129            146            -              213            180            210            122            -              -              -              188            -              137            193            207            199            -              194            180            212            -              -              -              -              -              -              -              
156            -              -              136            -              201            173            204            146            -              -              -              189            -              -              193            184            215            -              169            211            210            -              -              -              -              -              -              -              
131            -              -              119            -              194            180            214            154            -              -              -              187            -              -              213            -              216            -              -              207            201            -              -              -              -              -              -              -              
147            -              -              123            -              197            184            -              131            -              -              -              166            -              -              -              -              193            -              -              204            214            -              -              -              -              -              -              -              
146            -              -              153            -              206            202            -              131            -              -              -              190            -              -              -              -              196            -              -              192            206            -              -              -              -              -              -              -              
141            -              -              136            -              199            199            -              132            -              -              -              179            -              -              -              -              175            -              -              210            202            -              -              -              -              -              -              -              
143            -              -              139            -              196            185            -              132            -              -              -              164            -              -              -              -              212            -              -              190            202            -              -              -              -              -              -              -              
148            -              -              145            -              193            152            -              138            -              -              -              169            -              -              -              -              205            -              -              200            198            -              -              -              -              -              -              -              
89             -              -              138            -              206            169            -              130            -              -              -              159            -              -              -              -              174            -              -              206            206            -              -              -              -              -              -              -              
144            -              -              119            -              199            158            -              167            -              -              -              128            -              -              -              -              185            -              -              197            182            -              -              -              -              -              -              -              
156            -              -              -              -              185            190            -              155            -              -              -              -              -              -              -              -              210            -              -              198            189            -              -              -              -              -              -              -              
105            -              -              -              -              184            147            -              167            -              -              -              -              -              -              -              -              197            -              -              172            175            -              -              -              -              -              -              -              
125            -              -              -              -              209            -              -              135            -              -              -              -              -              -              -              -              218            -              -              199            -              -              -              -              -              -              -              -              
129            -              -              -              -              202            -              -              162            -              -              -              -              -              -              -              -              -              -              -              163            -              -              -              -              -              -              -              -              
129            -              -              -              -              203            -              -              169            -              -              -              -              -              -              -              -              -              -              -              235            -              -              -              -              -              -              -              -              
134            -              -              -              -              195            -              -              114            -              -              -              -              -              -              -              -              -              -              -              159            -              -              -              -              -              -              -              -              
144            -              -              -              -              196            -              -              116            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
145            -              -              -              -              210            -              -              143            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
113            -              -              -              -              195            -              -              119            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
133            -              -              -              -              194            -              -              143            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
117            -              -              -              -              200            -              -              138            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
142            -              -              -              -              186            -              -              136            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
141            -              -              -              -              255            -              -              147            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
140            -              -              -              -              190            -              -              126            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
156            -              -              -              -              252            -              -              131            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
150            -              -              -              -              255            -              -              152            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
139            -              -              -              -              252            -              -              166            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
141            -              -              -              -              251            -              -              131            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
150            -              -              -              -              191            -              -              123            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
153            -              -              -              -              197            -              -              149            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
138            -              -              -              -              204            -              -              146            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
129            -              -              -              -              243            -              -              150            -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
