H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
29             30             20             33             36             105            80             73             29             44             41             30             29             36             22             44             35             43             23             45             34             37             37             45             51             56             28             26             31             
14             -              18             34             -              69             81             58             51             -              -              -              30             34             29             46             43             55             -              38             35             35             -              39             -              -              30             -              33             
23             -              19             31             -              98             101            78             35             -              -              -              23             -              23             47             40             42             -              39             36             37             -              -              -              -              -              -              -              
31             -              -              52             -              74             87             76             44             -              -              -              26             -              -              47             33             48             -              41             43             43             -              -              -              -              -              -              -              
33             -              -              34             -              74             101            62             42             -              -              -              19             -              -              36             -              49             -              -              36             40             -              -              -              -              -              -              -              
24             -              -              30             -              72             70             -              39             -              -              -              19             -              -              -              -              42             -              -              37             34             -              -              -              -              -              -              -              
20             -              -              36             -              73             60             -              57             -              -              -              25             -              -              -              -              58             -              -              36             39             -              -              -              -              -              -              -              
25             -              -              28             -              69             68             -              31             -              -              -              25             -              -              -              -              37             -              -              31             32             -              -              -              -              -              -              -              
21             -              -              32             -              75             62             -              33             -              -              -              16             -              -              -              -              57             -              -              32             38             -              -              -              -              -              -              -              
18             -              -              31             -              70             50             -              41             -              -              -              22             -              -              -              -              56             -              -              33             54             -              -              -              -              -              -              -              
17             -              -              27             -              72             44             -              42             -              -              -              28             -              -              -              -              51             -              -              32             38             -              -              -              -              -              -              -              
26             -              -              16             -              71             59             -              24             -              -              -              18             -              -              -              -              42             -              -              35             45             -              -              -              -              -              -              -              
26             -              -              -              -              72             63             -              44             -              -              -              -              -              -              -              -              56             -              -              34             47             -              -              -              -              -              -              -              
18             -              -              -              -              70             52             -              25             -              -              -              -              -              -              -              -              44             -              -              36             48             -              -              -              -              -              -              -              
15             -              -              -              -              70             -              -              22             -              -              -              -              -              -              -              -              57             -              -              41             -              -              -              -              -              -              -              -              
32             -              -              -              -              73             -              -              46             -              -              -              -              -              -              -              -              -              -              -              29             -              -              -              -              -              -              -              -              
17             -              -              -              -              84             -              -              44             -              -              -              -              -              -              -              -              -              -              -              38             -              -              -              -              -              -              -              -              
29             -              -              -              -              79             -              -              25             -              -              -              -              -              -              -              -              -              -              -              55             -              -              -              -              -              -              -              -              
26             -              -              -              -              69             -              -              43             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
31             -              -              -              -              68             -              -              28             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
27             -              -              -              -              63             -              -              23             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
22             -              -              -              -              60             -              -              23             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              -              -              -              63             -              -              33             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
30             -              -              -              -              57             -              -              25             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
31             -              -              -              -              86             -              -              28             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              -              -              -              65             -              -              16             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
30             -              -              -              -              88             -              -              26             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
29             -              -              -              -              79             -              -              28             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
40             -              -              -              -              88             -              -              35             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
32             -              -              -              -              91             -              -              43             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
28             -              -              -              -              54             -              -              13             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              -              -              -              75             -              -              41             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              79             -              -              37             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
30             -              -              -              -              79             -              -              28             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
42             -              -              -              -              87             -              -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
28             -              -              -              -              60             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
19             -              -              -              -              78             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              -              -              -              71             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
23             -              -              -              -              82             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
20             -              -              -              -              89             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              87             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
26             -              -              -              -              70             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
18             -              -              -              -              77             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
28             -              -              -              -              88             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
27             -              -              -              -              63             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
42             -              -              -              -              89             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
33             -              -              -              -              76             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
35             -              -              -              -              66             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
26             -              -              -              -              46             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
27             -              -              -              -              70             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
27             -              -              -              -              67             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              68             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              67             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              78             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              79             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              64             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              -              
