H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
13             18             7              23             27             39             12             18             16             22             29             12             9              18             9              15             13             16             8              13             3              6              4              2              12             14             6              8              12             
6              -              6              24             -              13             11             13             33             -              -              -              9              14             11             14             6              15             -              7              3              6              -              0              -              -              6              -              13             
11             -              4              17             -              32             26             12             11             -              -              -              9              -              11             12             12             9              -              6              3              5              -              -              -              -              -              -              -              
17             -              -              22             -              17             23             12             27             -              -              -              7              -              -              13             12             21             -              4              3              10             -              -              -              -              -              -              -              
21             -              -              23             -              14             26             14             31             -              -              -              4              -              -              0              -              13             -              -              3              7              -              -              -              -              -              -              -              
16             -              -              22             -              15             13             -              18             -              -              -              7              -              -              -              -              18             -              -              3              3              -              -              -              -              -              -              -              
8              -              -              27             -              13             20             -              39             -              -              -              8              -              -              -              -              21             -              -              3              9              -              -              -              -              -              -              -              
13             -              -              10             -              15             10             -              22             -              -              -              9              -              -              -              -              18             -              -              3              6              -              -              -              -              -              -              -              
6              -              -              19             -              15             13             -              9              -              -              -              3              -              -              -              -              19             -              -              3              7              -              -              -              -              -              -              -              
6              -              -              19             -              14             10             -              14             -              -              -              7              -              -              -              -              18             -              -              3              15             -              -              -              -              -              -              -              
3              -              -              16             -              15             9              -              30             -              -              -              13             -              -              -              -              15             -              -              3              7              -              -              -              -              -              -              -              
13             -              -              6              -              12             15             -              18             -              -              -              4              -              -              -              -              18             -              -              2              11             -              -              -              -              -              -              -              
14             -              -              -              -              15             17             -              25             -              -              -              -              -              -              -              -              10             -              -              3              12             -              -              -              -              -              -              -              
6              -              -              -              -              15             12             -              15             -              -              -              -              -              -              -              -              9              -              -              2              13             -              -              -              -              -              -              -              
7              -              -              -              -              23             -              -              10             -              -              -              -              -              -              -              -              27             -              -              4              -              -              -              -              -              -              -              -              
20             -              -              -              -              15             -              -              23             -              -              -              -              -              -              -              -              -              -              -              0              -              -              -              -              -              -              -              -              
