H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
6              9              7              7              20             6              3              14             9              19             6              6              10             6              6              18             17             9              3              16             8              13             3              6              6              15             18             0              0              
6              -              5              10             -              3              3              21             1              -              -              -              10             3              6              23             21             13             -              14             8              9              -              7              -              -              16             -              0              
5              -              5              22             -              4              8              14             6              -              -              -              10             -              5              22             16             16             -              12             8              10             -              -              -              -              -              -              -              
3              -              -              14             -              8              10             8              2              -              -              -              9              -              -              15             18             12             -              9              9              11             -              -              -              -              -              -              -              
5              -              -              9              -              10             8              8              4              -              -              -              9              -              -              18             -              11             -              -              3              12             -              -              -              -              -              -              -              
4              -              -              9              -              5              6              -              6              -              -              -              9              -              -              -              -              9              -              -              11             15             -              -              -              -              -              -              -              
10             -              -              9              -              7              4              -              0              -              -              -              8              -              -              -              -              7              -              -              11             13             -              -              -              -              -              -              -              
4              -              -              11             -              6              5              -              11             -              -              -              8              -              -              -              -              12             -              -              11             8              -              -              -              -              -              -              -              
9              -              -              7              -              8              1              -              6              -              -              -              11             -              -              -              -              4              -              -              13             12             -              -              -              -              -              -              -              
12             -              -              9              -              7              0              -              12             -              -              -              10             -              -              -              -              7              -              -              13             9              -              -              -              -              -              -              -              
6              -              -              6              -              6              5              -              6              -              -              -              15             -              -              -              -              6              -              -              15             15             -              -              -              -              -              -              -              
3              -              -              6              -              9              2              -              9              -              -              -              5              -              -              -              -              12             -              -              11             9              -              -              -              -              -              -              -              
3              -              -              -              -              7              1              -              3              -              -              -              -              -              -              -              -              20             -              -              11             12             -              -              -              -              -              -              -              
11             -              -              -              -              5              0              -              6              -              -              -              -              -              -              -              -              12             -              -              12             19             -              -              -              -              -              -              -              
5              -              -              -              -              1              -              -              13             -              -              -              -              -              -              -              -              22             -              -              11             -              -              -              -              -              -              -              -              
5              -              -              -              -              4              -              -              2              -              -              -              -              -              -              -              -              -              -              -              7              -              -              -              -              -              -              -              -              
9              -              -              -              -              7              -              -              8              -              -              -              -              -              -              -              -              -              -              -              18             -              -              -              -              -              -              -              -              
9              -              -              -              -              6              -              -              8              -              -              -              -              -              -              -              -              -              -              -              14             -              -              -              -              -              -              -              -              
