H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
9              8              13             9              12             35             36             32             12             20             17             9              14             14             7              12             14             16             10             9              5              7              10             28             12             12             14             15             11             
6              -              11             10             -              34             29             29             20             -              -              -              15             18             7              15             6              22             -              8              4              6              -              30             -              -              16             -              11             
9              -              11             11             -              29             33             28             18             -              -              -              12             -              9              13             13             17             -              8              5              6              -              -              -              -              -              -              -              
5              -              -              32             -              33             32             25             23             -              -              -              13             -              -              12             13             18             -              9              9              10             -              -              -              -              -              -              -              
10             -              -              12             -              38             33             25             18             -              -              -              13             -              -              21             -              17             -              -              5              7              -              -              -              -              -              -              -              
5              -              -              8              -              32             31             -              18             -              -              -              12             -              -              -              -              18             -              -              5              3              -              -              -              -              -              -              -              
9              -              -              11             -              32             23             -              24             -              -              -              14             -              -              -              -              23             -              -              5              7              -              -              -              -              -              -              -              
8              -              -              11             -              33             24             -              9              -              -              -              12             -              -              -              -              27             -              -              3              4              -              -              -              -              -              -              -              
7              -              -              15             -              34             25             -              15             -              -              -              10             -              -              -              -              21             -              -              5              6              -              -              -              -              -              -              -              
7              -              -              14             -              31             14             -              23             -              -              -              13             -              -              -              -              26             -              -              4              12             -              -              -              -              -              -              -              
10             -              -              8              -              34             21             -              12             -              -              -              13             -              -              -              -              18             -              -              6              4              -              -              -              -              -              -              -              
6              -              -              7              -              32             28             -              5              -              -              -              7              -              -              -              -              21             -              -              6              7              -              -              -              -              -              -              -              
6              -              -              -              -              33             25             -              19             -              -              -              -              -              -              -              -              20             -              -              6              14             -              -              -              -              -              -              -              
10             -              -              -              -              33             24             -              4              -              -              -              -              -              -              -              -              19             -              -              6              15             -              -              -              -              -              -              -              
6              -              -              -              -              21             -              -              7              -              -              -              -              -              -              -              -              23             -              -              7              -              -              -              -              -              -              -              -              
9              -              -              -              -              36             -              -              23             -              -              -              -              -              -              -              -              -              -              -              3              -              -              -              -              -              -              -              -              
8              -              -              -              -              27             -              -              15             -              -              -              -              -              -              -              -              -              -              -              7              -              -              -              -              -              -              -              -              
7              -              -              -              -              39             -              -              16             -              -              -              -              -              -              -              -              -              -              -              10             -              -              -              -              -              -              -              -              
8              -              -              -              -              32             -              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              31             -              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              22             -              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              23             -              -              7              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
14             -              -              -              -              29             -              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              30             -              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
8              -              -              -              -              33             -              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
8              -              -              -              -              30             -              -              10             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              32             -              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              29             -              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
7              -              -              -              -              41             -              -              17             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              35             -              -              15             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              26             -              -              10             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              28             -              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              27             -              -              15             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              30             -              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              29             -              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              36             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              23             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
