H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
19             21             8              8              9              49             35             16             32             13             17             12             20             14             19             26             8              29             24             7              20             25             26             6              23             3              22             0              5              
4              -              8              12             -              50             34             19             18             -              -              -              20             14             18             17             7              24             -              9              22             21             -              6              -              -              22             -              3              
14             -              10             12             -              33             31             20             27             -              -              -              19             -              15             17             6              17             -              6              21             26             -              -              -              -              -              -              -              
16             -              -              16             -              40             30             24             20             -              -              -              20             -              -              28             5              31             -              14             16             29             -              -              -              -              -              -              -              
13             -              -              9              -              37             31             22             19             -              -              -              15             -              -              21             -              22             -              -              16             20             -              -              -              -              -              -              -              
12             -              -              8              -              37             31             -              27             -              -              -              13             -              -              -              -              12             -              -              13             28             -              -              -              -              -              -              -              
37             -              -              9              -              36             36             -              9              -              -              -              21             -              -              -              -              25             -              -              20             21             -              -              -              -              -              -              -              
11             -              -              11             -              34             38             -              16             -              -              -              17             -              -              -              -              26             -              -              15             25             -              -              -              -              -              -              -              
33             -              -              6              -              36             33             -              26             -              -              -              18             -              -              -              -              29             -              -              15             26             -              -              -              -              -              -              -              
31             -              -              10             -              35             28             -              19             -              -              -              19             -              -              -              -              27             -              -              14             36             -              -              -              -              -              -              -              
42             -              -              10             -              36             37             -              24             -              -              -              8              -              -              -              -              12             -              -              13             27             -              -              -              -              -              -              -              
16             -              -              11             -              30             33             -              19             -              -              -              8              -              -              -              -              3              -              -              21             31             -              -              -              -              -              -              -              
14             -              -              -              -              33             35             -              14             -              -              -              -              -              -              -              -              22             -              -              16             18             -              -              -              -              -              -              -              
15             -              -              -              -              34             30             -              15             -              -              -              -              -              -              -              -              8              -              -              20             30             -              -              -              -              -              -              -              
11             -              -              -              -              27             -              -              23             -              -              -              -              -              -              -              -              21             -              -              21             -              -              -              -              -              -              -              -              
14             -              -              -              -              31             -              -              20             -              -              -              -              -              -              -              -              -              -              -              13             -              -              -              -              -              -              -              -              
14             -              -              -              -              25             -              -              27             -              -              -              -              -              -              -              -              -              -              -              30             -              -              -              -              -              -              -              -              
18             -              -              -              -              30             -              -              15             -              -              -              -              -              -              -              -              -              -              -              13             -              -              -              -              -              -              -              -              
13             -              -              -              -              33             -              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
10             -              -              -              -              38             -              -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              37             -              -              26             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
18             -              -              -              -              35             -              -              31             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
13             -              -              -              -              38             -              -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
8              -              -              -              -              32             -              -              30             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
11             -              -              -              -              31             -              -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
14             -              -              -              -              35             -              -              23             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
17             -              -              -              -              30             -              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
18             -              -              -              -              29             -              -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
14             -              -              -              -              30             -              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
10             -              -              -              -              30             -              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              33             -              -              21             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
10             -              -              -              -              46             -              -              16             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
22             -              -              -              -              36             -              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
11             -              -              -              -              38             -              -              29             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              33             -              -              18             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
17             -              -              -              -              30             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
15             -              -              -              -              34             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              45             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              30             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
15             -              -              -              -              32             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              29             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              40             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              31             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              33             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              41             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
15             -              -              -              -              33             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              40             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              -              -              -              24             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
20             -              -              -              -              30             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              -              -              -              38             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
29             -              -              -              -              41             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              49             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              35             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              45             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              37             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              27             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              -              -              -              
