H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
21             29             5              21             18             30             5              14             11             18             21             12             5              17             9              6              2              6              8              13             10             20             2              8              4              3              16             7              12             
6              -              3              20             -              9              3              6              24             -              -              -              5              11             11             5              3              12             -              6              10             21             -              6              -              -              14             -              13             
17             -              3              17             -              24             27             9              8              -              -              -              5              -              11             4              5              1              -              8              9              19             -              -              -              -              -              -              -              
19             -              -              17             -              12             23             6              17             -              -              -              4              -              -              8              2              9              -              6              9              23             -              -              -              -              -              -              -              
26             -              -              17             -              9              27             10             23             -              -              -              1              -              -              3              -              6              -              -              11             23             -              -              -              -              -              -              -              
24             -              -              16             -              9              3              -              16             -              -              -              3              -              -              -              -              6              -              -              12             19             -              -              -              -              -              -              -              
6              -              -              21             -              8              20             -              27             -              -              -              4              -              -              -              -              9              -              -              10             23             -              -              -              -              -              -              -              
22             -              -              10             -              9              13             -              19             -              -              -              6              -              -              -              -              3              -              -              7              23             -              -              -              -              -              -              -              
6              -              -              14             -              10             7              -              9              -              -              -              2              -              -              -              -              9              -              -              7              25             -              -              -              -              -              -              -              
6              -              -              14             -              9              4              -              11             -              -              -              2              -              -              -              -              5              -              -              7              38             -              -              -              -              -              -              -              
4              -              -              17             -              9              11             -              33             -              -              -              11             -              -              -              -              3              -              -              10             26             -              -              -              -              -              -              -              
19             -              -              6              -              8              1              -              14             -              -              -              6              -              -              -              -              3              -              -              8              28             -              -              -              -              -              -              -              
22             -              -              -              -              6              11             -              20             -              -              -              -              -              -              -              -              1              -              -              6              18             -              -              -              -              -              -              -              
24             -              -              -              -              9              1              -              15             -              -              -              -              -              -              -              -              0              -              -              9              30             -              -              -              -              -              -              -              
9              -              -              -              -              16             -              -              8              -              -              -              -              -              -              -              -              10             -              -              13             -              -              -              -              -              -              -              -              
27             -              -              -              -              6              -              -              21             -              -              -              -              -              -              -              -              -              -              -              1              -              -              -              -              -              -              -              -              
8              -              -              -              -              6              -              -              22             -              -              -              -              -              -              -              -              -              -              -              29             -              -              -              -              -              -              -              -              
24             -              -              -              -              10             -              -              6              -              -              -              -              -              -              -              -              -              -              -              17             -              -              -              -              -              -              -              -              
15             -              -              -              -              8              -              -              25             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
24             -              -              -              -              10             -              -              11             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              9              -              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              6              -              -              10             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
22             -              -              -              -              3              -              -              13             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
30             -              -              -              -              7              -              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
16             -              -              -              -              12             -              -              14             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
23             -              -              -              -              9              -              -              1              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              12             -              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
30             -              -              -              -              12             -              -              13             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
