H1N1           H1N2           H2N1           H2N2           H2N3           H3N2           H3N8           H4N6           H5N1           H5N2           H5N6           H5N8           H6N1           H6N2           H6N6           H7N2           H7N7           H7N9           H8N4           H10N2          H10N7          H10N8          H11N9          H13N6          H14N5          H15N9          H16N3          H17N10         H18N11         
7              5              2              3              6              40             41             32             6              8              6              9              10             5              6              28             19             24             5              26             26             26             25             15             36             41             8              4              8              
2              -              4              4              -              31             50             27             7              -              -              -              11             5              11             28             34             30             -              27             28             25             -              9              -              -              8              -              9              
4              -              5              3              -              45             50             47             9              -              -              -              7              -              3              30             22             25             -              28             28             27             -              -              -              -              -              -              -              
9              -              -              6              -              36             43             48             4              -              -              -              10             -              -              31             18             24             -              30             31             29             -              -              -              -              -              -              -              
3              -              -              5              -              33             50             31             3              -              -              -              6              -              -              15             -              27             -              -              28             29             -              -              -              -              -              -              -              
3              -              -              6              -              37             36             -              6              -              -              -              7              -              -              -              -              21             -              -              29             28             -              -              -              -              -              -              -              
5              -              -              4              -              38             25             -              6              -              -              -              8              -              -              -              -              27             -              -              28             26             -              -              -              -              -              -              -              
4              -              -              7              -              33             41             -              3              -              -              -              8              -              -              -              -              10             -              -              25             23             -              -              -              -              -              -              -              
8              -              -              3              -              38             33             -              9              -              -              -              6              -              -              -              -              29             -              -              24             28             -              -              -              -              -              -              -              
5              -              -              4              -              36             32             -              8              -              -              -              7              -              -              -              -              27             -              -              26             27             -              -              -              -              -              -              -              
4              -              -              5              -              34             19             -              0              -              -              -              6              -              -              -              -              30             -              -              23             28             -              -              -              -              -              -              -              
7              -              -              3              -              36             30             -              5              -              -              -              7              -              -              -              -              18             -              -              27             29             -              -              -              -              -              -              -              
6              -              -              -              -              36             30             -              6              -              -              -              -              -              -              -              -              35             -              -              25             27             -              -              -              -              -              -              -              
2              -              -              -              -              34             27             -              6              -              -              -              -              -              -              -              -              25             -              -              28             23             -              -              -              -              -              -              -              
2              -              -              -              -              37             -              -              7              -              -              -              -              -              -              -              -              24             -              -              31             -              -              -              -              -              -              -              -              
4              -              -              -              -              34             -              -              6              -              -              -              -              -              -              -              -              -              -              -              26             -              -              -              -              -              -              -              -              
1              -              -              -              -              51             -              -              7              -              -              -              -              -              -              -              -              -              -              -              28             -              -              -              -              -              -              -              -              
3              -              -              -              -              37             -              -              3              -              -              -              -              -              -              -              -              -              -              -              32             -              -              -              -              -              -              -              -              
5              -              -              -              -              34             -              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
4              -              -              -              -              33             -              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              36             -              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
12             -              -              -              -              34             -              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              -              -              -              31             -              -              7              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              -              -              -              25             -              -              9              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
7              -              -              -              -              50             -              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
4              -              -              -              -              32             -              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              53             -              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
2              -              -              -              -              47             -              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
9              -              -              -              -              44             -              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
4              -              -              -              -              53             -              -              2              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
4              -              -              -              -              25             -              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              46             -              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              -              -              -              49             -              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
8              -              -              -              -              46             -              -              8              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              55             -              -              4              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              27             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              -              -              -              39             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              -              -              -              45             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              -              -              -              45             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
4              -              -              -              -              54             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              -              -              -              58             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              -              -              -              35             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              -              -              -              45             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              -              -              -              55             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
3              -              -              -              -              35             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
6              -              -              -              -              16             -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              -              
