H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
245            222            313            301            250            228            213            184            208            141            161            210            175            204            209            237            
215            224            347            287            257            231            190            -              223            -              154            -              -              199            -              249            
234            206            317            314            231            223            194            -              197            -              -              -              -              -              -              -              
231            246            338            313            246            221            197            -              192            -              -              -              -              -              -              -              
251            254            329            298            266            206            57             -              218            -              -              -              -              -              -              -              
252            188            323            -              234            210            143            -              208            -              -              -              -              -              -              -              
200            248            320            -              237            207            177            -              215            -              -              -              -              -              -              -              
238            252            323            -              222            219            167            -              213            -              -              -              -              -              -              -              
203            217            341            -              230            196            162            -              237            -              -              -              -              -              -              -              
188            285            320            -              220            204            167            -              203            -              -              -              -              -              -              -              
164            162            325            -              259            204            232            -              198            -              -              -              -              -              -              -              
239            252            286            -              207            211            163            -              203            -              -              -              -              -              -              -              
217            260            323            -              236            179            168            -              196            -              -              -              -              -              -              -              
218            231            322            -              215            185            151            -              204            -              -              -              -              -              -              -              
208            210            267            -              173            186            171            -              199            -              -              -              -              -              -              -              
250            243            319            -              210            204            184            -              204            -              -              -              -              -              -              -              
185            -              304            -              231            180            151            -              188            -              -              -              -              -              -              -              
240            -              322            -              205            -              208            -              208            -              -              -              -              -              -              -              
204            -              320            -              215            -              173            -              205            -              -              -              -              -              -              -              
195            -              247            -              225            -              220            -              62             -              -              -              -              -              -              -              
180            -              316            -              154            -              161            -              247            -              -              -              -              -              -              -              
204            -              329            -              218            -              158            -              209            -              -              -              -              -              -              -              
210            -              306            -              227            -              162            -              225            -              -              -              -              -              -              -              
228            -              312            -              220            -              209            -              233            -              -              -              -              -              -              -              
198            -              330            -              206            -              -              -              235            -              -              -              -              -              -              -              
213            -              325            -              155            -              -              -              239            -              -              -              -              -              -              -              
179            -              335            -              212            -              -              -              252            -              -              -              -              -              -              -              
255            -              330            -              248            -              -              -              208            -              -              -              -              -              -              -              
230            -              343            -              209            -              -              -              254            -              -              -              -              -              -              -              
223            -              333            -              166            -              -              -              216            -              -              -              -              -              -              -              
235            -              247            -              143            -              -              -              238            -              -              -              -              -              -              -              
223            -              327            -              231            -              -              -              242            -              -              -              -              -              -              -              
169            -              319            -              207            -              -              -              215            -              -              -              -              -              -              -              
178            -              334            -              216            -              -              -              248            -              -              -              -              -              -              -              
210            -              337            -              196            -              -              -              222            -              -              -              -              -              -              -              
232            -              322            -              198            -              -              -              201            -              -              -              -              -              -              -              
201            -              323            -              250            -              -              -              -              -              -              -              -              -              -              -              
175            -              307            -              199            -              -              -              -              -              -              -              -              -              -              -              
187            -              332            -              -              -              -              -              -              -              -              -              -              -              -              -              
222            -              351            -              -              -              -              -              -              -              -              -              -              -              -              -              
169            -              313            -              -              -              -              -              -              -              -              -              -              -              -              -              
152            -              301            -              -              -              -              -              -              -              -              -              -              -              -              -              
160            -              331            -              -              -              -              -              -              -              -              -              -              -              -              -              
238            -              350            -              -              -              -              -              -              -              -              -              -              -              -              -              
136            -              270            -              -              -              -              -              -              -              -              -              -              -              -              -              
141            -              300            -              -              -              -              -              -              -              -              -              -              -              -              -              
130            -              257            -              -              -              -              -              -              -              -              -              -              -              -              -              
130            -              225            -              -              -              -              -              -              -              -              -              -              -              -              -              
212            -              181            -              -              -              -              -              -              -              -              -              -              -              -              -              
234            -              234            -              -              -              -              -              -              -              -              -              -              -              -              -              
214            -              305            -              -              -              -              -              -              -              -              -              -              -              -              -              
193            -              330            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              285            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              296            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              295            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              265            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              306            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              315            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              326            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              297            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              326            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              350            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              327            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              315            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              294            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              262            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              304            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              314            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              290            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              265            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
