H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
1959           1612           1865           1724           1899           1935           1667           1890           1457           1902           1823           1596           1629           1845           1807           1775           
1875           1625           1955           1680           1760           1926           1596           -              1544           -              1751           -              -              1847           -              1908           
1869           1566           1639           1663           1775           1972           1683           -              1403           -              -              -              -              -              -              -              
1918           1646           1793           1693           1792           1926           1592           -              1335           -              -              -              -              -              -              -              
1880           1683           1804           1745           1780           1809           1569           -              1622           -              -              -              -              -              -              -              
1979           1608           1733           -              1693           1855           1589           -              1572           -              -              -              -              -              -              -              
1929           1622           1776           -              1657           1883           1474           -              1568           -              -              -              -              -              -              -              
1852           1728           1774           -              1734           1933           1646           -              1642           -              -              -              -              -              -              -              
1907           1558           1784           -              1660           1780           1657           -              1655           -              -              -              -              -              -              -              
1881           1728           1808           -              1788           1829           1670           -              1466           -              -              -              -              -              -              -              
1934           1599           1780           -              1727           1857           1751           -              1539           -              -              -              -              -              -              -              
1931           1666           1729           -              1673           1864           1739           -              1456           -              -              -              -              -              -              -              
1842           1690           1747           -              1570           1905           1680           -              1394           -              -              -              -              -              -              -              
1542           1548           1791           -              1711           1949           1634           -              1540           -              -              -              -              -              -              -              
1839           1706           1726           -              1627           1821           1536           -              1433           -              -              -              -              -              -              -              
1822           1662           1753           -              1630           1848           1540           -              1518           -              -              -              -              -              -              -              
1986           -              1796           -              1674           1725           1619           -              1458           -              -              -              -              -              -              -              
2043           -              1777           -              1661           -              1760           -              1369           -              -              -              -              -              -              -              
1840           -              1763           -              1346           -              1543           -              1377           -              -              -              -              -              -              -              
1809           -              1764           -              1837           -              1651           -              1464           -              -              -              -              -              -              -              
1757           -              1796           -              1720           -              1641           -              1557           -              -              -              -              -              -              -              
1691           -              1839           -              1721           -              1570           -              1444           -              -              -              -              -              -              -              
1844           -              1816           -              1798           -              1596           -              1573           -              -              -              -              -              -              -              
1650           -              1750           -              1803           -              1667           -              1542           -              -              -              -              -              -              -              
1824           -              1860           -              1762           -              -              -              1606           -              -              -              -              -              -              -              
1836           -              1782           -              1767           -              -              -              1650           -              -              -              -              -              -              -              
1664           -              1821           -              1689           -              -              -              1537           -              -              -              -              -              -              -              
1859           -              1824           -              1785           -              -              -              1560           -              -              -              -              -              -              -              
1865           -              1836           -              1696           -              -              -              1587           -              -              -              -              -              -              -              
1766           -              1846           -              1456           -              -              -              1523           -              -              -              -              -              -              -              
1876           -              1666           -              1715           -              -              -              1497           -              -              -              -              -              -              -              
1859           -              1796           -              1777           -              -              -              1416           -              -              -              -              -              -              -              
1817           -              1759           -              1637           -              -              -              1483           -              -              -              -              -              -              -              
1810           -              1814           -              1781           -              -              -              1475           -              -              -              -              -              -              -              
1903           -              1852           -              1793           -              -              -              1497           -              -              -              -              -              -              -              
1951           -              1835           -              1613           -              -              -              1408           -              -              -              -              -              -              -              
1889           -              1777           -              1756           -              -              -              -              -              -              -              -              -              -              -              
1385           -              1763           -              1674           -              -              -              -              -              -              -              -              -              -              -              
1350           -              1798           -              -              -              -              -              -              -              -              -              -              -              -              -              
1750           -              1846           -              -              -              -              -              -              -              -              -              -              -              -              -              
1512           -              1631           -              -              -              -              -              -              -              -              -              -              -              -              -              
1380           -              1691           -              -              -              -              -              -              -              -              -              -              -              -              -              
1389           -              1821           -              -              -              -              -              -              -              -              -              -              -              -              -              
1717           -              1940           -              -              -              -              -              -              -              -              -              -              -              -              -              
1231           -              1665           -              -              -              -              -              -              -              -              -              -              -              -              -              
1163           -              1739           -              -              -              -              -              -              -              -              -              -              -              -              -              
1275           -              1705           -              -              -              -              -              -              -              -              -              -              -              -              -              
1257           -              1729           -              -              -              -              -              -              -              -              -              -              -              -              -              
1865           -              1501           -              -              -              -              -              -              -              -              -              -              -              -              -              
1894           -              1747           -              -              -              -              -              -              -              -              -              -              -              -              -              
1902           -              1773           -              -              -              -              -              -              -              -              -              -              -              -              -              
1569           -              1919           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1647           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1634           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1630           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1624           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1752           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1733           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1705           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1739           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1707           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1763           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1627           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1697           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1614           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1503           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1554           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1633           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1634           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              1561           -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
