H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
241            172            220            222            245            252            228            184            253            203            222            208            204            238            186            242            
229            177            266            213            235            257            216            -              247            -              213            -              -              240            -              235            
241            167            207            251            201            243            226            -              257            -              -              -              -              -              -              -              
249            181            230            219            238            242            218            -              224            -              -              -              -              -              -              -              
252            173            226            202            217            234            192            -              230            -              -              -              -              -              -              -              
246            226            231            -              202            247            204            -              245            -              -              -              -              -              -              -              
212            208            238            -              162            242            213            -              237            -              -              -              -              -              -              -              
241            204            226            -              197            249            209            -              243            -              -              -              -              -              -              -              
222            194            228            -              193            235            213            -              254            -              -              -              -              -              -              -              
214            170            230            -              176            222            225            -              227            -              -              -              -              -              -              -              
123            192            233            -              199            233            252            -              240            -              -              -              -              -              -              -              
236            234            218            -              236            201            212            -              241            -              -              -              -              -              -              -              
239            222            237            -              192            208            198            -              222            -              -              -              -              -              -              -              
181            213            229            -              218            209            234            -              243            -              -              -              -              -              -              -              
199            192            228            -              204            210            202            -              215            -              -              -              -              -              -              -              
251            193            223            -              164            212            252            -              219            -              -              -              -              -              -              -              
154            -              233            -              236            208            192            -              253            -              -              -              -              -              -              -              
248            -              225            -              200            -              230            -              241            -              -              -              -              -              -              -              
192            -              221            -              144            -              234            -              218            -              -              -              -              -              -              -              
194            -              210            -              196            -              238            -              234            -              -              -              -              -              -              -              
224            -              244            -              97             -              200            -              279            -              -              -              -              -              -              -              
236            -              244            -              180            -              186            -              253            -              -              -              -              -              -              -              
148            -              239            -              193            -              209            -              256            -              -              -              -              -              -              -              
224            -              242            -              211            -              212            -              258            -              -              -              -              -              -              -              
194            -              254            -              193            -              -              -              265            -              -              -              -              -              -              -              
162            -              225            -              117            -              -              -              255            -              -              -              -              -              -              -              
185            -              256            -              190            -              -              -              267            -              -              -              -              -              -              -              
181            -              259            -              238            -              -              -              261            -              -              -              -              -              -              -              
220            -              266            -              225            -              -              -              268            -              -              -              -              -              -              -              
175            -              257            -              209            -              -              -              239            -              -              -              -              -              -              -              
191            -              199            -              100            -              -              -              263            -              -              -              -              -              -              -              
193            -              233            -              219            -              -              -              237            -              -              -              -              -              -              -              
212            -              236            -              183            -              -              -              242            -              -              -              -              -              -              -              
191            -              258            -              215            -              -              -              216            -              -              -              -              -              -              -              
217            -              258            -              209            -              -              -              243            -              -              -              -              -              -              -              
276            -              183            -              193            -              -              -              211            -              -              -              -              -              -              -              
235            -              220            -              189            -              -              -              -              -              -              -              -              -              -              -              
188            -              233            -              220            -              -              -              -              -              -              -              -              -              -              -              
191            -              259            -              -              -              -              -              -              -              -              -              -              -              -              -              
222            -              262            -              -              -              -              -              -              -              -              -              -              -              -              -              
153            -              250            -              -              -              -              -              -              -              -              -              -              -              -              -              
198            -              248            -              -              -              -              -              -              -              -              -              -              -              -              -              
189            -              255            -              -              -              -              -              -              -              -              -              -              -              -              -              
204            -              247            -              -              -              -              -              -              -              -              -              -              -              -              -              
122            -              196            -              -              -              -              -              -              -              -              -              -              -              -              -              
123            -              222            -              -              -              -              -              -              -              -              -              -              -              -              -              
154            -              194            -              -              -              -              -              -              -              -              -              -              -              -              -              
158            -              220            -              -              -              -              -              -              -              -              -              -              -              -              -              
205            -              191            -              -              -              -              -              -              -              -              -              -              -              -              -              
223            -              241            -              -              -              -              -              -              -              -              -              -              -              -              -              
196            -              245            -              -              -              -              -              -              -              -              -              -              -              -              -              
213            -              267            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              250            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              224            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              243            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              210            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              247            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              243            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              253            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              234            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              253            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              245            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              222            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              222            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              219            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              222            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              193            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              210            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              215            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              220            -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
