H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
54             53             61             52             63             49             43             54             45             31             52             36             25             66             43             41             
50             52             56             46             65             48             35             -              45             -              44             -              -              67             -              45             
53             48             51             51             61             44             33             -              44             -              -              -              -              -              -              -              
62             54             57             50             74             42             31             -              45             -              -              -              -              -              -              -              
58             57             59             58             73             52             12             -              35             -              -              -              -              -              -              -              
53             38             54             -              63             46             27             -              31             -              -              -              -              -              -              -              
41             57             55             -              51             44             42             -              37             -              -              -              -              -              -              -              
54             61             53             -              51             44             32             -              36             -              -              -              -              -              -              -              
39             57             58             -              66             42             32             -              48             -              -              -              -              -              -              -              
37             56             52             -              49             49             30             -              44             -              -              -              -              -              -              -              
28             32             53             -              68             40             37             -              39             -              -              -              -              -              -              -              
62             58             45             -              71             46             30             -              36             -              -              -              -              -              -              -              
53             63             59             -              54             41             27             -              40             -              -              -              -              -              -              -              
43             57             56             -              78             39             27             -              41             -              -              -              -              -              -              -              
45             50             38             -              43             42             28             -              38             -              -              -              -              -              -              -              
60             66             53             -              50             49             32             -              41             -              -              -              -              -              -              -              
28             -              52             -              75             44             43             -              39             -              -              -              -              -              -              -              
54             -              52             -              45             -              32             -              45             -              -              -              -              -              -              -              
41             -              55             -              49             -              27             -              34             -              -              -              -              -              -              -              
43             -              35             -              60             -              62             -              15             -              -              -              -              -              -              -              
25             -              55             -              42             -              35             -              47             -              -              -              -              -              -              -              
44             -              55             -              63             -              31             -              49             -              -              -              -              -              -              -              
43             -              53             -              57             -              43             -              40             -              -              -              -              -              -              -              
60             -              47             -              57             -              33             -              44             -              -              -              -              -              -              -              
39             -              55             -              60             -              -              -              47             -              -              -              -              -              -              -              
47             -              57             -              43             -              -              -              43             -              -              -              -              -              -              -              
37             -              56             -              61             -              -              -              46             -              -              -              -              -              -              -              
57             -              57             -              66             -              -              -              41             -              -              -              -              -              -              -              
53             -              64             -              66             -              -              -              47             -              -              -              -              -              -              -              
39             -              59             -              54             -              -              -              39             -              -              -              -              -              -              -              
52             -              38             -              41             -              -              -              42             -              -              -              -              -              -              -              
52             -              63             -              66             -              -              -              42             -              -              -              -              -              -              -              
46             -              53             -              51             -              -              -              37             -              -              -              -              -              -              -              
40             -              66             -              55             -              -              -              37             -              -              -              -              -              -              -              
69             -              59             -              54             -              -              -              48             -              -              -              -              -              -              -              
56             -              56             -              43             -              -              -              34             -              -              -              -              -              -              -              
50             -              56             -              52             -              -              -              -              -              -              -              -              -              -              -              
52             -              48             -              53             -              -              -              -              -              -              -              -              -              -              -              
58             -              62             -              -              -              -              -              -              -              -              -              -              -              -              -              
51             -              64             -              -              -              -              -              -              -              -              -              -              -              -              -              
30             -              64             -              -              -              -              -              -              -              -              -              -              -              -              -              
40             -              56             -              -              -              -              -              -              -              -              -              -              -              -              -              
47             -              57             -              -              -              -              -              -              -              -              -              -              -              -              -              
58             -              54             -              -              -              -              -              -              -              -              -              -              -              -              -              
35             -              51             -              -              -              -              -              -              -              -              -              -              -              -              -              
48             -              50             -              -              -              -              -              -              -              -              -              -              -              -              -              
49             -              37             -              -              -              -              -              -              -              -              -              -              -              -              -              
33             -              32             -              -              -              -              -              -              -              -              -              -              -              -              -              
41             -              36             -              -              -              -              -              -              -              -              -              -              -              -              -              
45             -              35             -              -              -              -              -              -              -              -              -              -              -              -              -              
44             -              48             -              -              -              -              -              -              -              -              -              -              -              -              -              
25             -              52             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              59             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              45             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              43             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              48             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              52             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              58             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              52             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              56             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              52             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              68             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              60             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              58             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              53             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              59             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              64             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              72             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              49             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              61             -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
